Date,Open,High,Low,Close,Volume
28-Feb-18,68.54,68.91,66.56,66.67,126925
27-Feb-18,69.31,69.45,67.93,68.38,181708
26-Feb-18,68.67,69.77,67.67,69.32,173533
23-Feb-18,66.91,68.74,66.57,68.65,145607
22-Feb-18,68.71,68.71,66.35,66.95,108024
21-Feb-18,67.67,69.37,67.38,68.48,144884
20-Feb-18,68.62,69.08,67.27,67.43,112178
16-Feb-18,68.76,69.98,68.76,69.06,125234
15-Feb-18,68.24,69.29,67.31,69.01,142745
14-Feb-18,64.86,67.90,64.86,67.79,192258
13-Feb-18,65.02,66.11,64.50,65.51,179976
12-Feb-18,65.42,67.97,64.57,65.54,264107
9-Feb-18,63.48,65.45,61.96,64.59,314354
8-Feb-18,65.18,65.22,62.83,62.84,202936
7-Feb-18,65.50,66.56,64.65,64.99,205964
6-Feb-18,65.43,67.44,64.10,65.62,360028
5-Feb-18,68.99,69.49,66.08,66.91,531818
2-Feb-18,72.16,72.17,70.18,70.61,215339
1-Feb-18,71.40,73.20,70.28,72.68,235578
31-Jan-18,75.00,75.41,71.24,71.65,439358
30-Jan-18,74.19,75.69,73.80,74.22,479805
29-Jan-18,75.75,78.53,75.03,76.00,474121
26-Jan-18,65.73,78.15,65.73,75.71,981221
25-Jan-18,65.67,66.75,63.89,64.44,291505
24-Jan-18,64.32,65.51,62.43,65.07,202189
23-Jan-18,62.55,64.45,62.22,64.32,252707
22-Jan-18,61.56,62.94,61.38,62.72,177485
19-Jan-18,60.74,61.39,60.66,61.16,144591
18-Jan-18,60.90,61.22,60.10,60.81,270505
17-Jan-18,62.78,63.10,60.50,60.99,227784
16-Jan-18,62.27,63.18,61.94,62.21,128818
12-Jan-18,62.29,62.91,61.66,62.44,235965
11-Jan-18,61.90,62.98,61.54,62.28,142280
10-Jan-18,61.66,61.99,59.63,61.65,240412
9-Jan-18,54.04,62.70,53.19,61.52,568487
8-Jan-18,55.12,55.51,52.80,52.91,125604
5-Jan-18,51.02,55.52,50.36,55.06,419461
4-Jan-18,49.70,50.21,49.05,49.51,189417
3-Jan-18,50.07,50.22,49.37,49.52,107423
2-Jan-18,49.57,50.83,48.58,50.00,206631
29-Dec-17,49.97,50.00,49.40,49.52,139547
28-Dec-17,49.10,49.86,48.85,49.80,159896
27-Dec-17,49.64,49.72,48.80,49.02,136590
26-Dec-17,49.38,50.08,48.83,49.62,143141
22-Dec-17,48.79,49.70,48.46,49.61,112147
21-Dec-17,49.25,49.42,48.84,48.98,75637
20-Dec-17,49.05,49.11,48.85,48.94,56160
19-Dec-17,49.02,49.92,48.63,49.04,132682
18-Dec-17,48.20,49.27,48.20,49.02,88560
15-Dec-17,47.76,48.45,47.54,48.04,320600
14-Dec-17,47.30,47.87,47.16,47.77,195306
13-Dec-17,47.23,48.10,47.07,47.38,181929
12-Dec-17,47.42,47.90,47.27,47.32,110457
