Date,Open,High,Low,Close,Volume
28-Feb-18,13.85,14.45,13.50,13.85,690516
27-Feb-18,14.10,14.70,13.90,13.95,874595
26-Feb-18,13.40,14.45,13.25,14.05,1002452
23-Feb-18,13.35,13.85,12.75,13.45,1035853
22-Feb-18,11.95,13.65,11.87,13.35,2142359
21-Feb-18,11.50,12.40,11.40,11.70,979161
20-Feb-18,12.55,12.60,11.48,11.60,1006387
16-Feb-18,11.85,13.20,11.60,12.50,1575224
15-Feb-18,11.50,12.20,10.50,12.05,2597162
14-Feb-18,11.70,12.24,11.00,11.45,1799788
13-Feb-18,12.60,12.80,11.50,11.90,2106788
12-Feb-18,14.45,14.55,12.55,12.60,2638985
9-Feb-18,16.05,16.05,13.80,14.08,2508847
8-Feb-18,18.30,18.90,14.69,15.55,3056846
7-Feb-18,16.20,18.90,16.11,18.20,2974786
6-Feb-18,14.50,15.95,14.41,15.95,928770
5-Feb-18,15.00,15.85,14.70,14.90,651303
2-Feb-18,15.40,15.70,14.95,15.10,621788
1-Feb-18,15.25,15.90,14.80,15.65,780059
31-Jan-18,15.50,15.66,15.05,15.25,996334
30-Jan-18,16.05,16.05,14.72,15.30,1409489
29-Jan-18,17.00,18.45,16.20,16.30,2291646
26-Jan-18,17.20,17.20,16.10,16.25,964719
25-Jan-18,15.60,17.10,15.10,17.00,1342546
24-Jan-18,15.50,16.05,15.05,15.40,689820
23-Jan-18,15.60,16.45,15.05,15.40,1090760
22-Jan-18,14.70,14.90,14.20,14.85,965550
19-Jan-18,14.65,14.92,14.24,14.60,422169
18-Jan-18,15.25,15.40,14.55,14.55,432286
17-Jan-18,15.00,15.55,14.85,15.25,590609
16-Jan-18,15.85,15.90,14.75,14.85,646505
12-Jan-18,15.90,15.95,15.45,15.70,364112
11-Jan-18,16.00,16.15,15.70,15.85,467284
10-Jan-18,16.10,16.25,15.60,16.00,621587
9-Jan-18,15.35,16.25,15.20,16.10,806523
8-Jan-18,15.65,15.71,15.05,15.25,453608
5-Jan-18,16.90,16.90,15.50,15.65,527364
4-Jan-18,17.40,17.50,16.56,16.80,443288
3-Jan-18,17.25,17.70,16.95,17.30,632371
2-Jan-18,15.90,17.20,15.59,17.20,641127
29-Dec-17,16.00,16.45,15.80,15.85,603434
28-Dec-17,16.10,16.24,15.82,16.10,407458
27-Dec-17,16.05,16.20,15.75,16.10,444195
26-Dec-17,15.90,16.40,15.65,16.20,550845
22-Dec-17,15.00,16.05,14.75,15.85,740392
21-Dec-17,15.05,15.20,14.75,14.95,435167
20-Dec-17,15.45,15.59,14.82,15.10,655728
19-Dec-17,15.20,15.85,14.66,15.32,606186
18-Dec-17,16.65,17.25,14.50,15.20,1262378
15-Dec-17,16.20,17.62,15.90,16.50,4610801
14-Dec-17,16.00,16.75,15.75,16.10,485144
13-Dec-17,15.55,16.20,15.45,16.00,498473
12-Dec-17,15.50,16.05,15.35,15.45,460212
11-Dec-17,16.30,16.32,15.40,15.55,681684
