Date,Open,High,Low,Close,Volume
28-Feb-18,0.40,0.41,0.38,0.38,137234
27-Feb-18,0.40,0.44,0.40,0.41,208954
26-Feb-18,0.40,0.50,0.40,0.45,1220526
23-Feb-18,0.39,0.40,0.38,0.40,28348
22-Feb-18,0.38,0.39,0.37,0.38,29001
21-Feb-18,0.39,0.39,0.37,0.38,41836
20-Feb-18,0.39,0.39,0.38,0.38,82360
16-Feb-18,0.39,0.40,0.36,0.36,111029
15-Feb-18,0.38,0.40,0.37,0.37,100946
14-Feb-18,0.38,0.38,0.37,0.38,98554
13-Feb-18,0.40,0.40,0.37,0.38,121664
12-Feb-18,0.39,0.41,0.36,0.41,124480
9-Feb-18,0.40,0.40,0.37,0.39,90759
8-Feb-18,0.40,0.40,0.37,0.39,104115
7-Feb-18,0.38,0.40,0.37,0.39,157317
6-Feb-18,0.43,0.43,0.38,0.39,135291
5-Feb-18,0.44,0.44,0.41,0.41,93496
2-Feb-18,0.46,0.46,0.41,0.43,105357
1-Feb-18,0.46,0.48,0.42,0.42,364912
31-Jan-18,0.47,0.49,0.41,0.47,162370
30-Jan-18,0.45,0.47,0.45,0.47,93912
29-Jan-18,0.48,0.49,0.45,0.45,79739
26-Jan-18,0.48,0.49,0.45,0.47,80341
25-Jan-18,0.49,0.50,0.45,0.45,86135
24-Jan-18,0.48,0.51,0.48,0.49,100906
23-Jan-18,0.54,0.54,0.49,0.49,224918
22-Jan-18,0.49,0.55,0.49,0.53,616826
19-Jan-18,0.50,0.51,0.48,0.49,114957
18-Jan-18,0.52,0.52,0.48,0.49,114952
17-Jan-18,0.54,0.54,0.47,0.51,352108
16-Jan-18,0.54,0.58,0.50,0.53,653366
12-Jan-18,0.50,0.58,0.48,0.56,1022167
11-Jan-18,0.47,0.51,0.47,0.48,281160
10-Jan-18,0.50,0.50,0.46,0.47,135038
9-Jan-18,0.54,0.54,0.46,0.49,273048
8-Jan-18,0.46,0.54,0.46,0.52,395758
5-Jan-18,0.48,0.50,0.46,0.46,209254
4-Jan-18,0.45,0.48,0.45,0.46,52320
3-Jan-18,0.45,0.47,0.45,0.45,48507
2-Jan-18,0.45,0.49,0.44,0.47,73701
29-Dec-17,0.42,0.44,0.41,0.44,211534
28-Dec-17,0.49,0.60,0.42,0.42,1779737
27-Dec-17,0.41,0.47,0.40,0.45,71079
26-Dec-17,0.42,0.44,0.41,0.43,51366
22-Dec-17,0.47,0.48,0.40,0.44,369881
21-Dec-17,0.41,0.49,0.40,0.49,862903
20-Dec-17,0.41,0.41,0.39,0.40,96423
19-Dec-17,0.44,0.44,0.40,0.41,29071
18-Dec-17,0.43,0.45,0.39,0.42,49992
15-Dec-17,0.40,0.47,0.40,0.42,99648
14-Dec-17,0.41,0.44,0.38,0.41,80593
13-Dec-17,0.40,0.43,0.40,0.43,37513
12-Dec-17,0.40,0.42,0.40,0.42,83127
11-Dec-17,0.44,0.44,0.40,0.40,101865
8-Dec-17,0.44,0.45,0.35,0.40,339902
7-Dec-17,0.48,0.48,0.44,0.45,122144
6-Dec-17,0.47,0.49,0.46,0.49,54327
5-Dec-17,0.50,0.50,0.47,0.48,69647
4-Dec-17,0.46,0.50,0.46,0.50,108996
1-Dec-17,0.48,0.51,0.43,0.48,193128
30-Nov-17,0.53,0.57,0.46,0.51,324359
29-Nov-17,0.54,0.61,0.51,0.53,1351870
28-Nov-17,0.51,0.53,0.51,0.52,118530
27-Nov-17,0.52,0.58,0.49,0.54,527700
24-Nov-17,0.55,0.55,0.43,0.52,126032
22-Nov-17,0.52,0.55,0.51,0.54,245312
21-Nov-17,0.53,0.53,0.51,0.52,77476
20-Nov-17,0.55,0.55,0.50,0.53,163254
17-Nov-17,0.57,0.57,0.50,0.53,300390
16-Nov-17,0.58,0.58,0.52,0.53,162266
15-Nov-17,0.63,0.63,0.52,0.53,519498
14-Nov-17,0.65,0.70,0.59,0.61,593207
13-Nov-17,0.65,0.77,0.62,0.65,1518370
10-Nov-17,0.61,0.67,0.58,0.65,2370641
9-Nov-17,0.60,0.61,0.59,0.60,65758
8-Nov-17,0.62,0.63,0.60,0.60,55418
7-Nov-17,0.67,0.67,0.61,0.62,69012
6-Nov-17,0.63,0.63,0.62,0.62,53851
3-Nov-17,0.63,0.63,0.62,0.63,49996
2-Nov-17,0.64,0.64,0.63,0.63,21791
1-Nov-17,0.64,0.66,0.64,0.65,15969
31-Oct-17,0.68,0.68,0.63,0.66,23381
30-Oct-17,0.63,0.68,0.63,0.67,117483
27-Oct-17,0.66,0.67,0.61,0.62,128195
26-Oct-17,0.68,0.68,0.65,0.66,10836
25-Oct-17,0.66,0.67,0.65,0.65,66604
24-Oct-17,0.69,0.70,0.63,0.66,171599
23-Oct-17,0.72,0.72,0.69,0.70,31679
20-Oct-17,0.71,0.72,0.69,0.70,80937
19-Oct-17,0.72,0.73,0.71,0.72,57141
18-Oct-17,0.71,0.75,0.69,0.72,95804
17-Oct-17,0.74,0.75,0.66,0.73,151584
16-Oct-17,0.76,0.81,0.73,0.74,154653
13-Oct-17,0.76,0.76,0.74,0.76,77504
12-Oct-17,0.75,0.76,0.74,0.74,44764
11-Oct-17,0.76,0.79,0.75,0.76,68089
10-Oct-17,0.83,0.83,0.76,0.78,152120
9-Oct-17,0.80,0.89,0.79,0.82,112704
6-Oct-17,0.85,0.93,0.79,0.80,443833
5-Oct-17,0.81,0.86,0.80,0.82,168809
4-Oct-17,0.77,0.84,0.76,0.80,168510
3-Oct-17,0.80,0.80,0.75,0.77,115277
2-Oct-17,0.83,0.83,0.75,0.79,167791
29-Sep-17,0.75,0.78,0.71,0.72,334191
28-Sep-17,0.77,0.80,0.71,0.71,228462
27-Sep-17,0.86,0.88,0.75,0.77,518318
26-Sep-17,0.76,1.01,0.74,0.91,2890913
25-Sep-17,0.74,0.79,0.71,0.76,75079
22-Sep-17,0.76,0.78,0.75,0.76,36882
21-Sep-17,0.79,0.79,0.75,0.79,28124
20-Sep-17,0.77,0.80,0.75,0.79,42442
19-Sep-17,0.77,0.80,0.72,0.79,70502
18-Sep-17,0.78,0.78,0.73,0.74,62036
15-Sep-17,0.79,0.79,0.71,0.76,150733
14-Sep-17,0.74,0.81,0.74,0.77,355774
13-Sep-17,0.77,0.77,0.72,0.74,47288
12-Sep-17,0.76,0.77,0.71,0.73,75278
11-Sep-17,0.76,0.77,0.70,0.73,136369
8-Sep-17,0.76,0.80,0.73,0.77,65312
7-Sep-17,0.80,0.80,0.76,0.76,69192
6-Sep-17,0.84,0.84,0.77,0.80,180365
5-Sep-17,0.80,0.85,0.79,0.81,170174
1-Sep-17,0.84,0.85,0.79,0.80,160223
31-Aug-17,0.81,0.86,0.78,0.82,615743
30-Aug-17,0.85,1.21,0.85,0.92,4664845
29-Aug-17,0.77,0.81,0.72,0.75,460383
28-Aug-17,0.97,1.00,0.81,0.85,594414
25-Aug-17,0.87,1.28,0.87,1.01,5139651
24-Aug-17,0.70,0.98,0.69,0.84,1226971
23-Aug-17,0.61,0.79,0.58,0.70,274337
22-Aug-17,0.65,0.65,0.60,0.60,27770
