Date,Open,High,Low,Close,Volume
28-Feb-18,53.46,53.55,53.07,53.07,164700
27-Feb-18,53.88,53.89,53.25,53.30,70606
26-Feb-18,54.06,54.06,53.75,53.84,180699
23-Feb-18,53.92,54.13,53.85,53.95,62246
22-Feb-18,54.09,54.18,53.90,53.91,52320
21-Feb-18,54.09,54.17,53.83,53.89,68386
20-Feb-18,54.13,54.30,53.98,53.98,98634
16-Feb-18,54.45,54.58,54.21,54.35,34647
15-Feb-18,54.52,54.72,54.41,54.65,160085
14-Feb-18,53.84,54.32,53.72,54.25,146583
13-Feb-18,53.90,54.06,53.82,53.99,52729
12-Feb-18,53.58,53.78,53.50,53.75,222688
9-Feb-18,53.20,53.28,52.89,53.18,391514
8-Feb-18,53.42,53.47,52.85,52.90,401804
7-Feb-18,53.85,53.99,52.89,53.28,342380
6-Feb-18,53.83,54.05,53.72,54.02,237455
5-Feb-18,54.41,54.43,53.82,54.10,734775
2-Feb-18,54.63,54.87,54.39,54.57,725306
1-Feb-18,54.54,54.85,54.48,54.74,704226
31-Jan-18,54.49,54.64,54.30,54.45,2271248
30-Jan-18,54.42,54.50,53.80,54.00,2302166
29-Jan-18,54.33,54.54,53.02,53.65,3347617
26-Jan-18,46.40,47.92,45.90,47.65,378734
25-Jan-18,44.48,45.18,44.44,44.74,82312
24-Jan-18,44.09,44.67,43.41,44.12,124131
23-Jan-18,43.52,44.11,43.52,43.97,136341
22-Jan-18,42.90,44.90,42.72,43.80,603345
19-Jan-18,42.22,42.38,41.25,41.63,188136
18-Jan-18,42.87,43.15,42.11,42.35,404380
17-Jan-18,41.90,42.05,41.07,41.43,445008
16-Jan-18,41.86,42.09,40.73,41.10,256976
12-Jan-18,44.53,44.64,41.55,42.28,737382
11-Jan-18,42.26,45.78,42.13,44.92,613505
10-Jan-18,42.37,42.57,41.00,41.55,1159180
9-Jan-18,40.21,42.24,39.34,42.13,1743376
8-Jan-18,36.64,39.32,36.37,38.62,1819501
5-Jan-18,25.20,26.00,25.20,25.91,147825
4-Jan-18,24.64,25.18,24.64,25.06,289030
3-Jan-18,24.67,24.76,24.24,24.40,80072
2-Jan-18,24.44,24.70,24.32,24.50,84890
29-Dec-17,24.71,25.07,24.57,24.99,105977
28-Dec-17,24.39,24.83,24.13,24.29,122036
27-Dec-17,24.19,24.27,24.00,24.08,228363
26-Dec-17,23.66,23.79,23.42,23.61,56986
22-Dec-17,24.14,24.18,23.33,23.72,76728
21-Dec-17,24.17,24.28,23.96,23.96,42758
20-Dec-17,24.70,24.72,24.28,24.34,92094
19-Dec-17,24.49,24.76,24.49,24.56,74101
18-Dec-17,24.60,24.82,24.43,24.62,74378
15-Dec-17,24.04,24.44,23.99,24.30,44103
14-Dec-17,24.19,24.22,23.85,24.04,107309
13-Dec-17,24.10,24.17,23.90,23.97,61804
12-Dec-17,23.73,24.10,23.67,23.98,99617
11-Dec-17,24.16,24.25,23.88,23.93,289903
8-Dec-17,23.64,24.16,23.59,23.92,217681
7-Dec-17,22.73,23.55,22.73,23.49,133757
6-Dec-17,22.63,22.77,22.43,22.61,93691
5-Dec-17,22.76,23.27,22.67,22.96,128207
4-Dec-17,23.47,23.49,23.08,23.34,129227
1-Dec-17,23.01,23.76,23.01,23.44,76625
30-Nov-17,22.67,23.47,22.61,23.04,178131
29-Nov-17,22.35,22.46,22.20,22.40,132020
28-Nov-17,22.75,22.81,22.47,22.62,177203
27-Nov-17,22.81,23.20,22.70,22.90,168592
24-Nov-17,23.10,23.15,22.70,22.80,93072
22-Nov-17,23.46,23.63,23.35,23.54,201126
21-Nov-17,22.79,23.56,22.75,23.52,585577
20-Nov-17,22.38,23.24,22.25,23.00,414681
17-Nov-17,20.62,21.63,20.59,21.14,206443
16-Nov-17,20.44,21.12,20.30,20.66,228631
15-Nov-17,20.56,20.86,20.37,20.55,176984
14-Nov-17,20.96,21.15,20.88,21.06,122066
13-Nov-17,20.52,20.85,20.41,20.75,142144
10-Nov-17,20.94,21.11,20.82,20.87,176592
9-Nov-17,20.74,20.91,20.50,20.75,168638
8-Nov-17,20.94,21.85,20.86,21.28,296332
7-Nov-17,20.79,21.04,20.68,20.88,290480
6-Nov-17,20.68,21.89,20.65,21.10,237531
3-Nov-17,20.57,20.96,20.53,20.87,141633
2-Nov-17,20.76,21.17,20.53,20.65,298308
1-Nov-17,20.73,21.18,20.61,21.00,772794
31-Oct-17,20.21,20.99,20.16,20.80,694965
30-Oct-17,20.27,20.52,20.14,20.29,209001
27-Oct-17,20.67,20.98,20.11,20.51,703416
26-Oct-17,20.89,21.94,20.48,21.17,1101987
25-Oct-17,17.85,23.66,17.75,22.51,2853845
23-Oct-17,19.50,19.50,19.50,19.50,100
20-Oct-17,19.50,19.50,19.50,19.50,1000
