Date,Open,High,Low,Close,Volume
28-Feb-18,272.63,274.40,267.98,268.18,208097
27-Feb-18,273.60,273.60,269.39,271.25,214973
26-Feb-18,270.52,274.00,269.15,273.18,339641
23-Feb-18,265.01,268.57,261.24,268.45,367297
22-Feb-18,269.64,271.10,261.32,263.97,640131
21-Feb-18,271.99,274.00,267.78,268.25,515635
20-Feb-18,267.90,273.27,264.45,270.48,475470
16-Feb-18,260.43,268.72,260.01,267.74,512496
15-Feb-18,259.08,262.61,255.03,261.04,536246
14-Feb-18,237.27,256.13,236.66,255.47,1013934
13-Feb-18,230.04,236.14,225.50,233.99,313818
12-Feb-18,232.15,235.49,228.99,233.72,371412
9-Feb-18,230.21,231.73,219.13,229.38,556968
8-Feb-18,240.00,240.39,229.23,229.50,495300
7-Feb-18,232.11,240.14,232.11,239.02,518816
6-Feb-18,232.46,242.36,227.20,232.11,916496
5-Feb-18,245.00,245.00,236.51,239.37,872766
2-Feb-18,251.10,255.42,246.61,248.20,426663
1-Feb-18,238.00,253.88,238.00,253.13,949727
31-Jan-18,236.10,237.31,233.49,235.00,332713
30-Jan-18,233.56,237.61,219.61,235.06,488141
29-Jan-18,239.00,239.92,235.87,236.65,306116
26-Jan-18,237.30,239.10,233.50,238.89,199120
25-Jan-18,234.00,237.40,232.93,236.32,264776
24-Jan-18,231.25,233.50,228.78,232.95,331392
23-Jan-18,228.71,231.39,227.45,230.27,231505
22-Jan-18,229.23,229.43,226.83,228.18,245040
19-Jan-18,227.33,229.05,226.09,228.29,179201
18-Jan-18,224.76,228.08,224.00,225.89,332510
17-Jan-18,219.11,225.24,217.58,224.13,535188
16-Jan-18,216.69,219.11,216.00,218.09,558672
12-Jan-18,210.72,216.15,210.36,215.11,283376
11-Jan-18,209.61,210.24,207.50,210.15,215975
10-Jan-18,209.57,209.76,206.54,208.14,166431
9-Jan-18,209.11,210.15,206.82,209.76,234945
8-Jan-18,208.24,211.34,204.67,207.80,387478
5-Jan-18,200.78,202.96,200.78,202.32,277387
