Date,Open,High,Low,Close,Volume
28-Feb-18,27.77,27.77,24.50,24.92,11609468
27-Feb-18,32.13,32.53,31.12,31.16,1933873
26-Feb-18,31.68,32.43,31.61,32.33,1531034
23-Feb-18,30.38,31.70,30.36,31.52,1502373
22-Feb-18,30.75,31.70,30.22,30.24,1719429
21-Feb-18,31.03,31.36,30.18,30.43,1853038
20-Feb-18,30.70,31.71,30.50,31.05,1167477
16-Feb-18,31.00,31.55,30.81,30.92,620853
15-Feb-18,31.00,31.20,30.50,31.06,879529
14-Feb-18,29.14,30.79,28.97,30.60,1705370
13-Feb-18,28.88,29.51,28.48,29.50,879760
12-Feb-18,28.58,29.18,27.89,28.87,924502
9-Feb-18,28.62,29.00,26.73,28.27,1884417
8-Feb-18,29.51,29.78,28.07,28.35,1880632
7-Feb-18,28.53,29.64,28.46,29.32,1749388
6-Feb-18,26.73,28.84,26.43,28.80,2647078
5-Feb-18,28.55,28.96,26.91,26.91,1904146
2-Feb-18,30.00,30.43,28.83,28.96,1057081
1-Feb-18,29.61,30.49,29.50,30.26,883783
31-Jan-18,30.68,30.96,29.50,29.91,1155571
30-Jan-18,30.98,31.70,30.57,30.65,1152959
29-Jan-18,32.20,32.99,31.61,31.74,1849198
26-Jan-18,30.90,32.14,30.59,32.13,1934070
25-Jan-18,31.00,31.00,29.85,30.68,1276391
24-Jan-18,30.75,31.76,29.91,30.57,3601000
23-Jan-18,29.00,30.99,28.84,30.32,4035832
22-Jan-18,27.35,28.99,27.05,28.93,3435355
19-Jan-18,27.82,28.09,26.85,26.92,3534841
18-Jan-18,28.25,28.30,27.73,27.78,1140525
17-Jan-18,28.43,28.47,28.05,28.25,1262267
16-Jan-18,28.58,28.73,28.07,28.15,1539171
12-Jan-18,27.80,28.44,27.60,28.37,1694999
11-Jan-18,28.60,28.75,27.60,27.90,1721179
10-Jan-18,28.17,28.76,27.75,28.63,1546426
9-Jan-18,27.11,28.72,27.07,28.29,2154333
8-Jan-18,28.97,29.25,27.06,27.11,3358133
5-Jan-18,28.88,29.05,28.50,28.90,1371136
4-Jan-18,29.64,29.81,28.35,28.78,2746193
3-Jan-18,30.52,31.24,29.45,29.51,2208614
2-Jan-18,30.39,30.58,29.70,30.43,1801651
29-Dec-17,31.18,31.20,30.08,30.11,852947
28-Dec-17,30.72,31.23,30.53,31.18,726532
27-Dec-17,30.50,30.88,30.21,30.70,1142137
26-Dec-17,29.10,30.71,29.10,30.46,2318158
22-Dec-17,28.66,29.35,28.65,29.26,1327949
21-Dec-17,28.30,29.18,28.28,28.75,1437569
20-Dec-17,28.30,28.55,28.01,28.30,1302753
19-Dec-17,28.40,28.84,28.07,28.12,1596842
18-Dec-17,29.06,29.39,28.13,28.42,1996519
15-Dec-17,29.18,29.57,28.85,28.98,1642497
14-Dec-17,30.03,30.03,28.92,28.97,1124964
13-Dec-17,29.33,30.05,29.23,29.94,973140
12-Dec-17,30.65,30.75,28.95,29.18,1570805
11-Dec-17,30.50,30.87,29.76,29.97,1307260
8-Dec-17,30.41,30.64,29.82,30.49,1005407
7-Dec-17,29.79,30.71,29.55,30.09,906055
