Date,Open,High,Low,Close,Volume
28-Feb-18,18.10,18.23,17.50,17.89,33589
27-Feb-18,18.40,19.50,17.81,18.00,25966
26-Feb-18,17.64,18.36,17.64,18.36,28778
23-Feb-18,17.81,18.15,17.28,17.28,23188
22-Feb-18,18.99,18.99,18.03,18.16,8272
21-Feb-18,18.35,18.90,18.32,18.64,2330
20-Feb-18,16.89,19.32,16.85,18.12,37894
16-Feb-18,17.99,18.60,17.08,17.37,73685
15-Feb-18,16.82,17.35,16.82,16.91,8081
14-Feb-18,16.92,17.19,16.17,17.00,28925
13-Feb-18,17.13,18.00,17.13,17.20,3556
12-Feb-18,17.60,17.97,17.32,17.48,6685
9-Feb-18,17.38,18.00,17.05,18.00,4901
8-Feb-18,17.83,18.52,17.36,17.64,23728
7-Feb-18,18.17,18.17,17.01,18.00,17841
6-Feb-18,18.82,18.82,18.03,18.05,17715
5-Feb-18,18.71,19.14,18.01,19.14,18635
2-Feb-18,19.11,19.11,18.01,19.00,25887
1-Feb-18,19.37,19.70,19.25,19.35,21055
31-Jan-18,19.22,19.69,19.15,19.69,35991
30-Jan-18,19.28,19.40,19.18,19.34,24039
29-Jan-18,19.45,19.50,19.11,19.34,30582
26-Jan-18,18.90,19.49,18.85,19.49,38341
25-Jan-18,18.85,19.20,18.52,19.09,34522
24-Jan-18,18.77,18.80,18.50,18.64,31688
23-Jan-18,18.58,19.00,18.07,18.80,32908
22-Jan-18,18.56,18.89,18.29,18.71,30694
19-Jan-18,19.07,19.25,18.78,19.10,25731
18-Jan-18,19.10,19.40,18.88,19.03,21603
17-Jan-18,19.02,19.73,18.72,19.00,35484
16-Jan-18,19.00,19.09,17.35,19.02,27021
12-Jan-18,19.82,20.25,17.80,18.28,72815
11-Jan-18,18.80,20.75,18.80,19.50,147454
10-Jan-18,17.63,19.35,16.69,18.53,121853
9-Jan-18,16.32,17.79,16.32,17.42,58493
8-Jan-18,16.14,16.90,15.01,15.69,40783
5-Jan-18,17.00,17.00,16.09,16.38,28860
4-Jan-18,16.00,16.63,15.50,16.36,40971
3-Jan-18,15.03,16.63,14.76,15.81,62450
2-Jan-18,13.86,15.53,13.71,14.81,16171
29-Dec-17,13.75,13.96,13.65,13.85,12947
28-Dec-17,13.97,14.21,13.33,13.78,24188
27-Dec-17,14.06,14.36,13.95,14.08,20809
26-Dec-17,13.72,14.43,13.30,13.87,42383
22-Dec-17,13.36,13.85,13.00,13.50,51372
