Date,Open,High,Low,Close,Volume
28-Feb-18,7.47,7.52,7.17,7.17,236040
27-Feb-18,7.50,7.76,7.40,7.45,242884
26-Feb-18,7.55,7.58,7.38,7.51,265495
23-Feb-18,7.27,7.54,7.27,7.54,285750
22-Feb-18,7.31,7.41,6.99,7.21,508893
21-Feb-18,7.11,7.43,7.11,7.33,592643
20-Feb-18,7.25,7.40,7.08,7.11,565592
16-Feb-18,7.20,7.40,7.19,7.27,732292
15-Feb-18,7.25,7.35,7.20,7.24,528647
14-Feb-18,7.10,7.32,7.10,7.24,702545
13-Feb-18,7.64,7.75,7.06,7.14,768514
12-Feb-18,7.46,7.77,7.45,7.70,616292
9-Feb-18,7.50,7.55,7.19,7.39,784737
8-Feb-18,7.30,7.74,7.30,7.43,1040975
7-Feb-18,7.30,7.72,7.20,7.26,1984022
6-Feb-18,7.60,7.84,7.26,7.27,1221299
5-Feb-18,8.08,8.08,7.48,7.72,1657957
2-Feb-18,10.24,10.30,7.77,7.92,3084945
1-Feb-18,10.90,11.07,10.67,10.91,472936
31-Jan-18,11.57,11.69,10.94,11.01,477227
30-Jan-18,11.76,11.77,11.44,11.52,330075
29-Jan-18,11.37,11.98,11.29,11.82,409032
26-Jan-18,11.47,11.50,11.11,11.35,214366
25-Jan-18,11.20,11.36,10.92,11.36,443987
24-Jan-18,11.22,11.38,10.98,11.10,343838
23-Jan-18,11.26,11.26,10.87,11.16,226600
22-Jan-18,11.19,11.26,11.03,11.22,167372
19-Jan-18,11.05,11.19,10.96,11.16,132153
18-Jan-18,11.16,11.16,10.96,11.05,143187
17-Jan-18,11.42,11.45,11.05,11.18,274315
16-Jan-18,11.46,11.70,11.27,11.37,251127
12-Jan-18,11.47,11.54,11.22,11.33,253092
11-Jan-18,10.80,11.50,10.77,11.45,337207
10-Jan-18,10.71,10.88,10.60,10.78,161516
9-Jan-18,10.84,10.89,10.69,10.73,207344
8-Jan-18,10.70,10.90,10.51,10.82,283876
5-Jan-18,10.79,10.81,10.61,10.70,171219
4-Jan-18,11.00,11.00,10.59,10.73,262907
3-Jan-18,10.58,10.95,10.58,10.92,392506
2-Jan-18,10.43,10.63,10.42,10.62,282396
29-Dec-17,10.20,10.51,10.20,10.33,248160
28-Dec-17,10.29,10.34,10.15,10.33,236533
27-Dec-17,10.46,10.56,10.18,10.29,250553
26-Dec-17,10.31,10.51,10.30,10.48,200116
22-Dec-17,10.32,10.49,10.07,10.30,186718
21-Dec-17,10.44,10.46,10.18,10.28,252024
20-Dec-17,10.62,10.67,10.41,10.44,203950
19-Dec-17,10.69,10.72,10.46,10.54,360928
18-Dec-17,10.85,10.95,10.50,10.64,335479
15-Dec-17,10.54,10.82,10.41,10.73,1008271
14-Dec-17,10.56,10.90,10.49,10.55,320855
13-Dec-17,10.52,10.78,10.46,10.50,480177
12-Dec-17,10.94,11.08,10.50,10.51,364466
11-Dec-17,10.57,11.07,10.52,10.92,276887
8-Dec-17,10.45,10.60,10.32,10.52,260552
7-Dec-17,10.52,10.73,10.37,10.39,274166
6-Dec-17,10.78,10.80,10.44,10.52,220085
5-Dec-17,11.36,11.36,10.72,10.74,318947
4-Dec-17,10.98,11.36,10.75,11.22,495995
1-Dec-17,10.60,10.62,10.14,10.44,297572
30-Nov-17,10.61,10.78,10.30,10.61,425066
29-Nov-17,10.70,10.89,10.44,10.60,380108
28-Nov-17,10.75,10.76,10.44,10.66,301059
27-Nov-17,10.22,10.76,10.22,10.73,459832
24-Nov-17,10.34,10.34,9.89,10.19,171619
22-Nov-17,10.03,10.45,10.02,10.35,294092
21-Nov-17,9.95,10.23,9.85,10.05,279939
20-Nov-17,10.06,10.12,9.66,9.85,346349
17-Nov-17,10.04,10.14,9.85,10.08,307146
16-Nov-17,9.72,10.15,9.72,10.13,334235
15-Nov-17,9.27,9.73,9.16,9.73,293178
14-Nov-17,8.98,9.35,8.93,9.32,420200
13-Nov-17,9.01,9.21,8.85,9.00,604061
10-Nov-17,9.00,9.14,8.90,9.02,549981
9-Nov-17,9.21,9.33,8.97,9.00,614932
8-Nov-17,9.57,9.65,9.10,9.18,499240
7-Nov-17,9.72,9.84,9.58,9.65,319356
6-Nov-17,9.91,10.03,9.72,9.73,362469
3-Nov-17,8.45,10.95,8.29,9.88,1563199
2-Nov-17,9.80,9.82,9.08,9.23,602769
1-Nov-17,10.13,10.13,9.54,9.74,434609
31-Oct-17,10.20,10.37,9.88,10.07,676898
30-Oct-17,10.45,10.49,10.09,10.14,417104
27-Oct-17,10.77,10.77,10.47,10.48,250496
26-Oct-17,10.96,11.03,10.74,10.77,207979
25-Oct-17,10.94,11.11,10.56,10.96,308092
24-Oct-17,10.94,11.09,10.86,10.98,182566
23-Oct-17,11.25,11.28,10.90,10.92,175411
20-Oct-17,11.25,11.46,11.20,11.27,297191
19-Oct-17,11.00,11.38,11.00,11.26,382070
18-Oct-17,11.15,11.37,10.99,11.07,405906
17-Oct-17,11.17,11.23,10.99,11.08,248427
16-Oct-17,11.18,11.35,11.12,11.17,201456
13-Oct-17,11.20,11.32,11.14,11.16,245581
12-Oct-17,11.27,11.39,11.08,11.13,311974
11-Oct-17,11.39,11.40,11.16,11.33,279197
10-Oct-17,11.27,11.48,11.23,11.36,270482
9-Oct-17,11.57,11.78,11.25,11.28,223458
6-Oct-17,11.64,11.78,11.55,11.60,241103
5-Oct-17,11.68,11.94,11.61,11.65,189626
4-Oct-17,11.70,11.94,11.63,11.64,271683
3-Oct-17,11.68,11.72,11.46,11.68,312604
2-Oct-17,11.34,11.80,11.30,11.69,407827
29-Sep-17,11.06,11.33,11.01,11.23,661832
28-Sep-17,11.11,11.20,10.82,11.00,399584
27-Sep-17,11.13,11.15,10.88,11.11,653197
26-Sep-17,11.20,11.30,10.97,11.05,365003
25-Sep-17,11.21,11.37,11.11,11.14,289955
22-Sep-17,11.26,11.41,11.15,11.16,219891
21-Sep-17,11.25,11.50,11.16,11.22,320585
20-Sep-17,10.83,11.26,10.81,11.20,436949
19-Sep-17,10.85,10.94,10.66,10.86,464511
18-Sep-17,10.52,10.98,10.52,10.84,598009
15-Sep-17,10.42,10.68,10.38,10.44,911760
14-Sep-17,10.66,10.76,10.37,10.42,416697
13-Sep-17,10.57,10.73,10.53,10.66,563173
12-Sep-17,10.54,10.75,10.40,10.52,533306
11-Sep-17,10.34,10.68,10.32,10.49,537073
8-Sep-17,10.35,10.51,10.27,10.28,338075
7-Sep-17,10.48,10.66,10.30,10.35,651564
6-Sep-17,10.52,10.59,10.33,10.48,566085
5-Sep-17,10.75,11.04,10.44,10.50,912442
1-Sep-17,10.69,10.85,10.50,10.67,635718
31-Aug-17,10.61,10.82,10.55,10.61,508398
30-Aug-17,10.65,10.68,10.46,10.54,476028
29-Aug-17,10.65,10.77,10.50,10.64,666424
28-Aug-17,11.40,11.51,10.60,10.72,1197420
25-Aug-17,12.53,12.89,11.28,11.33,2006491
24-Aug-17,16.05,16.08,15.90,16.04,179532
23-Aug-17,16.00,16.11,15.81,15.90,136882
22-Aug-17,15.86,16.06,15.86,16.04,93089
21-Aug-17,15.95,16.06,15.82,15.84,82670
18-Aug-17,15.63,16.17,15.62,15.93,157071
17-Aug-17,16.13,16.30,15.74,15.81,120664
16-Aug-17,16.43,16.49,16.00,16.13,85659
15-Aug-17,16.20,16.51,16.14,16.44,130934
14-Aug-17,16.04,16.15,16.01,16.14,85759
11-Aug-17,16.07,16.19,15.79,15.89,283012
10-Aug-17,16.06,16.16,15.95,16.07,85701
9-Aug-17,16.17,16.18,15.95,16.05,202431
8-Aug-17,16.02,16.48,16.00,16.16,128145
7-Aug-17,16.18,16.27,15.97,16.08,89516
4-Aug-17,16.27,16.32,16.04,16.17,100286
3-Aug-17,16.34,16.52,16.08,16.16,158853
2-Aug-17,17.03,17.03,15.92,16.41,107122
1-Aug-17,16.96,17.10,16.66,17.08,146576
31-Jul-17,16.02,16.92,15.83,16.88,310158
28-Jul-17,15.37,15.64,15.35,15.54,133282
