Date,Open,High,Low,Close,Volume
28-Feb-18,38.33,38.74,37.81,38.10,965659
27-Feb-18,38.51,39.20,37.90,38.06,952099
26-Feb-18,38.57,38.80,37.65,38.57,766527
23-Feb-18,39.27,39.43,37.45,38.55,1173999
22-Feb-18,37.32,40.70,37.27,39.18,2693661
21-Feb-18,36.23,37.63,35.64,36.23,1395216
20-Feb-18,36.23,36.71,36.07,36.12,996157
16-Feb-18,36.33,37.04,36.24,36.32,2088337
15-Feb-18,35.96,36.36,34.53,36.27,1826903
14-Feb-18,34.10,35.77,33.80,35.66,800490
13-Feb-18,33.55,34.38,32.98,34.24,1694269
12-Feb-18,33.87,34.00,32.97,33.74,1736761
9-Feb-18,34.25,34.43,32.58,33.72,2133787
8-Feb-18,34.43,35.50,33.83,34.02,1429845
7-Feb-18,34.15,34.77,34.09,34.29,1122602
6-Feb-18,32.44,34.39,32.22,34.26,1739270
5-Feb-18,34.16,34.70,33.02,33.10,2120289
2-Feb-18,34.96,35.05,34.16,34.61,999547
1-Feb-18,33.87,35.37,33.59,35.23,1358395
31-Jan-18,34.54,34.84,33.77,34.08,775199
30-Jan-18,34.18,34.88,33.87,34.26,547230
29-Jan-18,34.27,34.75,34.00,34.29,749685
26-Jan-18,34.02,34.37,33.61,34.32,492185
25-Jan-18,33.76,34.10,33.42,33.95,1421063
24-Jan-18,33.98,34.21,33.25,33.55,846938
23-Jan-18,34.11,34.19,33.49,33.70,1317169
22-Jan-18,33.87,34.50,33.69,34.23,748275
19-Jan-18,33.18,34.07,33.07,34.01,1463346
18-Jan-18,33.22,33.30,32.70,33.22,1272919
17-Jan-18,33.71,33.78,32.47,33.22,1588739
16-Jan-18,34.82,34.82,33.40,33.45,1687423
12-Jan-18,34.43,34.80,34.35,34.63,871402
11-Jan-18,33.02,34.42,33.02,34.38,845070
10-Jan-18,32.97,33.50,32.68,33.00,1048777
9-Jan-18,32.18,33.19,32.13,33.07,1383339
8-Jan-18,32.96,32.96,32.06,32.39,1786969
5-Jan-18,33.66,33.66,32.79,33.11,1000793
4-Jan-18,33.62,33.84,33.18,33.46,2943060
3-Jan-18,33.95,33.95,32.75,33.43,1177943
2-Jan-18,32.67,34.04,32.67,33.81,1214863
29-Dec-17,32.68,33.20,32.50,32.63,763815
28-Dec-17,32.49,32.86,32.33,32.63,642276
27-Dec-17,32.20,32.67,31.93,32.45,712826
26-Dec-17,32.35,33.00,32.08,32.20,1080522
22-Dec-17,31.93,32.41,31.64,32.25,957472
