Date,Open,High,Low,Close,Volume
28-Feb-18,3.45,3.48,3.25,3.25,2114959
27-Feb-18,3.42,3.53,3.37,3.44,2915448
26-Feb-18,3.07,3.46,3.05,3.41,6545142
23-Feb-18,2.99,3.01,2.94,2.96,1540337
22-Feb-18,2.94,3.04,2.70,2.95,3282933
21-Feb-18,3.02,3.12,2.97,3.00,1836189
20-Feb-18,3.15,3.22,2.99,3.01,3215898
16-Feb-18,3.10,3.24,3.07,3.20,8034929
15-Feb-18,3.04,3.14,2.98,3.07,3232834
14-Feb-18,2.92,3.06,2.92,3.01,1728358
13-Feb-18,2.92,3.00,2.88,2.98,1329291
12-Feb-18,2.90,2.99,2.80,2.94,1735628
9-Feb-18,2.88,2.95,2.74,2.90,3438194
8-Feb-18,2.93,2.94,2.82,2.85,1860445
7-Feb-18,2.81,2.93,2.76,2.92,1977013
6-Feb-18,2.62,2.81,2.60,2.80,2533592
5-Feb-18,2.65,2.76,2.62,2.67,2023112
2-Feb-18,2.69,2.76,2.67,2.68,1329647
1-Feb-18,2.62,2.75,2.58,2.72,1137068
31-Jan-18,2.79,2.79,2.60,2.65,2027491
30-Jan-18,2.81,2.81,2.73,2.77,1310243
29-Jan-18,2.81,2.89,2.79,2.82,946270
26-Jan-18,2.85,2.91,2.80,2.84,1171105
25-Jan-18,2.89,2.93,2.83,2.87,1199701
24-Jan-18,2.98,3.00,2.86,2.86,1717453
23-Jan-18,3.00,3.04,2.96,2.99,1296900
22-Jan-18,3.01,3.01,2.86,3.01,3286019
19-Jan-18,2.93,2.99,2.84,2.99,1687681
18-Jan-18,2.87,2.98,2.76,2.95,1633834
17-Jan-18,2.95,2.96,2.83,2.90,1961272
16-Jan-18,3.01,3.02,2.90,2.93,1400120
12-Jan-18,3.00,3.04,2.89,2.99,1467546
11-Jan-18,2.99,3.00,2.92,2.99,1235318
10-Jan-18,2.96,3.00,2.92,2.97,1073716
9-Jan-18,2.99,3.02,2.97,2.98,1454182
8-Jan-18,3.03,3.04,2.92,2.97,2095321
5-Jan-18,3.11,3.15,3.02,3.04,1483754
4-Jan-18,3.18,3.22,3.04,3.13,3045073
3-Jan-18,3.11,3.16,3.05,3.15,2304812
2-Jan-18,2.89,3.10,2.86,3.09,2854278
29-Dec-17,2.94,3.01,2.87,2.88,2159684
28-Dec-17,2.97,3.00,2.91,2.95,1823731
27-Dec-17,2.98,3.03,2.95,2.98,3371869
26-Dec-17,2.96,3.04,2.92,2.95,1909921
22-Dec-17,2.90,3.00,2.86,2.96,2198102
21-Dec-17,2.93,2.98,2.86,2.90,1341871
20-Dec-17,2.92,2.99,2.80,2.94,4612529
19-Dec-17,2.84,3.00,2.81,2.88,6572959
18-Dec-17,2.77,2.94,2.75,2.82,6183741
15-Dec-17,2.85,2.91,2.69,2.76,9775424
14-Dec-17,2.90,3.00,2.86,2.89,2591974
13-Dec-17,2.82,3.00,2.81,2.89,6645764
12-Dec-17,2.90,2.91,2.80,2.83,1439617
