Date,Open,High,Low,Close,Volume
28-Feb-18,1.45,1.45,1.25,1.28,121978
27-Feb-18,1.33,1.38,1.25,1.26,184162
26-Feb-18,1.37,1.38,1.33,1.33,154290
23-Feb-18,1.46,1.46,1.35,1.38,408283
22-Feb-18,1.46,1.50,1.40,1.41,300281
21-Feb-18,1.49,1.58,1.43,1.46,457572
20-Feb-18,2.12,2.19,1.50,1.51,5279148
16-Feb-18,1.40,1.47,1.40,1.42,66633
15-Feb-18,1.44,1.51,1.39,1.39,120203
14-Feb-18,1.37,1.53,1.36,1.42,217713
13-Feb-18,1.38,1.50,1.36,1.40,55025
12-Feb-18,1.45,1.47,1.39,1.40,77493
9-Feb-18,1.46,1.53,1.30,1.40,165882
8-Feb-18,1.52,1.52,1.44,1.46,84299
7-Feb-18,1.53,1.54,1.46,1.52,71291
6-Feb-18,1.44,1.55,1.44,1.49,123165
5-Feb-18,1.42,1.50,1.38,1.45,111599
2-Feb-18,1.50,1.59,1.42,1.43,252439
1-Feb-18,1.59,1.59,1.50,1.51,213922
31-Jan-18,1.58,1.72,1.56,1.58,229782
30-Jan-18,1.73,1.73,1.56,1.59,279276
29-Jan-18,1.80,1.80,1.67,1.73,193435
26-Jan-18,1.94,1.94,1.68,1.78,424315
25-Jan-18,2.00,2.09,1.80,1.89,898364
24-Jan-18,1.65,3.20,1.62,2.02,11216321
23-Jan-18,1.55,1.55,1.46,1.52,16871
22-Jan-18,1.48,1.56,1.40,1.51,25911
19-Jan-18,1.50,1.52,1.46,1.48,6364
18-Jan-18,1.55,1.55,1.46,1.52,23536
17-Jan-18,1.50,1.73,1.45,1.46,179316
16-Jan-18,1.60,1.62,1.49,1.50,56054
12-Jan-18,1.60,1.75,1.52,1.53,182717
11-Jan-18,1.42,1.58,1.36,1.58,258077
10-Jan-18,1.32,1.44,1.29,1.36,228682
9-Jan-18,1.28,1.35,1.28,1.29,57955
8-Jan-18,1.34,1.34,1.27,1.28,71476
