Date,Open,High,Low,Close,Volume
28-Feb-18,38.38,39.40,37.85,38.70,261762
27-Feb-18,38.43,38.93,37.81,38.16,441111
26-Feb-18,36.49,39.86,36.11,38.55,1119171
23-Feb-18,35.02,37.13,33.68,37.05,3723351
22-Feb-18,43.21,43.50,41.50,41.84,865516
21-Feb-18,42.13,43.61,41.54,43.44,524193
20-Feb-18,42.00,42.48,41.29,41.92,512117
16-Feb-18,40.25,43.11,40.20,42.40,619560
15-Feb-18,39.55,40.78,39.55,40.48,481199
14-Feb-18,38.18,39.67,37.87,39.50,362313
13-Feb-18,38.30,38.62,37.52,38.21,256517
12-Feb-18,39.17,39.78,38.38,38.54,185971
9-Feb-18,38.51,39.30,37.60,38.93,297248
8-Feb-18,38.84,39.95,37.60,38.11,453368
7-Feb-18,39.51,39.70,37.48,39.02,385325
6-Feb-18,37.43,40.00,37.00,39.57,772183
5-Feb-18,37.66,38.90,37.44,38.45,417011
2-Feb-18,39.00,39.38,37.56,38.25,563215
1-Feb-18,36.74,39.75,36.65,39.54,890228
31-Jan-18,36.64,37.24,36.09,36.91,531720
30-Jan-18,34.68,35.96,34.50,35.63,409022
29-Jan-18,36.01,36.25,34.20,34.34,556875
26-Jan-18,36.00,36.39,35.87,36.25,140771
25-Jan-18,36.55,36.58,35.72,35.85,186431
24-Jan-18,36.93,37.33,36.08,36.34,236134
23-Jan-18,36.60,37.75,36.39,37.03,279086
22-Jan-18,36.71,37.33,36.39,36.68,255361
19-Jan-18,36.75,37.30,36.51,36.80,224223
18-Jan-18,38.15,38.32,36.74,37.01,437280
17-Jan-18,38.76,38.76,38.15,38.40,175486
16-Jan-18,39.70,39.70,38.15,38.51,392891
12-Jan-18,40.05,40.57,39.33,39.69,280114
11-Jan-18,38.58,41.22,38.52,39.73,657867
10-Jan-18,37.60,38.87,37.26,38.46,388417
9-Jan-18,38.69,38.69,37.61,37.67,187905
8-Jan-18,38.32,38.73,37.81,38.59,134730
5-Jan-18,38.54,39.00,37.25,38.54,476598
4-Jan-18,37.60,38.70,37.56,38.44,290961
3-Jan-18,36.72,37.78,36.39,37.57,379238
2-Jan-18,36.35,37.25,36.06,36.85,446210
29-Dec-17,36.82,36.86,36.10,36.23,384894
28-Dec-17,37.51,37.77,36.59,36.93,373203
27-Dec-17,37.36,38.48,37.26,37.59,280245
26-Dec-17,37.50,38.15,37.32,37.47,311214
22-Dec-17,37.85,38.51,37.36,37.90,241151
21-Dec-17,38.19,38.69,37.65,37.83,223496
20-Dec-17,38.69,38.96,37.86,38.16,389705
19-Dec-17,38.22,38.80,38.12,38.50,388967
18-Dec-17,39.55,39.81,38.25,38.39,362069
15-Dec-17,39.83,40.18,39.36,39.38,477381
14-Dec-17,40.43,40.98,39.68,39.75,246235
13-Dec-17,39.71,40.69,39.44,40.54,408394
12-Dec-17,41.95,42.10,39.65,39.66,405166
11-Dec-17,40.27,42.10,40.27,41.84,724337
8-Dec-17,40.04,41.15,39.85,40.49,500874
7-Dec-17,40.16,40.45,39.52,40.26,271769
6-Dec-17,39.66,40.65,39.01,40.38,396517
5-Dec-17,40.00,40.60,39.16,40.10,520690
4-Dec-17,38.35,40.10,38.23,39.97,561459
1-Dec-17,38.24,39.00,37.55,38.35,385094
30-Nov-17,38.76,39.44,38.37,38.68,342927
29-Nov-17,39.72,40.58,38.00,38.65,599378
28-Nov-17,38.93,40.00,38.57,39.88,322478
27-Nov-17,39.90,39.90,38.55,38.99,372014
24-Nov-17,39.05,40.45,38.91,40.00,278473
22-Nov-17,38.48,39.59,38.41,39.02,469811
21-Nov-17,38.00,38.73,37.55,38.41,365098
20-Nov-17,37.37,38.27,37.12,37.44,310132
17-Nov-17,37.53,38.29,37.17,37.55,516215
16-Nov-17,36.45,37.80,36.36,37.60,432393
15-Nov-17,35.50,36.65,35.36,36.37,421311
14-Nov-17,36.28,36.61,35.57,35.60,322384
13-Nov-17,35.60,36.84,35.53,36.79,378394
10-Nov-17,35.75,36.56,35.72,36.11,430429
9-Nov-17,36.49,36.79,35.55,35.95,754552
8-Nov-17,36.79,37.40,36.41,36.90,534960
7-Nov-17,36.65,37.16,36.50,36.78,339425
6-Nov-17,36.82,37.62,36.50,36.82,468608
3-Nov-17,39.10,39.89,36.75,36.82,1317386
2-Nov-17,42.36,43.00,38.71,39.10,1658048
1-Nov-17,42.53,43.91,42.21,43.40,630425
31-Oct-17,41.80,42.72,41.80,42.31,372761
30-Oct-17,40.53,42.72,40.53,42.06,461187
27-Oct-17,42.09,42.29,39.95,40.99,972427
26-Oct-17,44.10,44.30,41.85,41.90,387114
25-Oct-17,44.64,45.24,43.75,43.95,287795
24-Oct-17,44.78,44.99,44.21,44.83,219041
23-Oct-17,44.64,45.13,44.11,44.55,185763
20-Oct-17,45.02,45.42,44.65,44.93,207690
19-Oct-17,43.79,45.18,43.66,44.48,391754
18-Oct-17,45.06,45.09,43.59,44.39,766944
17-Oct-17,45.29,45.90,45.20,45.34,266965
16-Oct-17,45.66,46.43,45.41,45.59,288255
13-Oct-17,45.82,46.59,45.50,46.00,298989
12-Oct-17,46.10,46.57,45.76,45.93,257533
11-Oct-17,46.80,47.66,46.10,46.20,362284
10-Oct-17,47.34,47.73,46.64,46.90,308220
9-Oct-17,48.43,48.90,46.66,47.33,299809
6-Oct-17,46.01,48.38,45.82,48.02,488951
5-Oct-17,46.20,46.59,45.61,46.32,631893
4-Oct-17,47.81,48.77,47.00,47.46,392236
3-Oct-17,47.77,48.74,47.62,48.26,339345
2-Oct-17,46.90,48.74,46.85,48.01,419923
29-Sep-17,47.42,47.98,46.78,47.10,322706
28-Sep-17,46.38,48.75,45.84,47.24,658222
27-Sep-17,45.04,47.35,45.04,46.63,591274
26-Sep-17,45.60,45.70,44.35,44.80,463491
25-Sep-17,46.23,46.76,44.43,45.03,449770
22-Sep-17,45.96,47.39,45.96,46.81,319790
21-Sep-17,46.50,47.63,45.30,46.35,633863
20-Sep-17,47.52,47.75,46.50,47.08,988825
19-Sep-17,47.79,50.08,46.07,47.55,1798344
18-Sep-17,44.39,46.63,44.34,45.83,685663
15-Sep-17,44.12,45.24,44.11,44.68,784407
14-Sep-17,45.75,46.36,44.52,44.66,514957
13-Sep-17,46.18,47.42,45.74,45.92,615385
12-Sep-17,45.10,47.09,44.64,46.23,391651
11-Sep-17,44.00,45.71,44.00,45.41,500914
8-Sep-17,44.23,45.72,43.20,43.58,646764
7-Sep-17,45.78,45.89,44.16,44.53,394831
6-Sep-17,45.75,46.70,45.20,45.49,308424
5-Sep-17,47.78,48.47,45.50,45.56,567011
1-Sep-17,48.92,49.65,47.84,48.11,355306
31-Aug-17,48.21,49.49,47.20,48.83,503011
30-Aug-17,48.95,49.44,47.76,48.11,634834
29-Aug-17,47.25,49.61,46.59,49.50,670666
28-Aug-17,49.18,49.75,47.92,48.59,575759
25-Aug-17,48.20,49.59,47.90,49.23,1001077
