Date,Open,High,Low,Close,Volume
28-Feb-18,10.85,11.01,10.57,10.57,44379
27-Feb-18,11.06,11.14,10.88,10.91,22259
26-Feb-18,10.96,11.58,10.85,11.20,116572
23-Feb-18,10.89,10.90,10.52,10.90,40353
22-Feb-18,10.93,11.74,10.52,10.82,146044
21-Feb-18,11.83,11.87,10.90,10.90,61889
20-Feb-18,11.60,12.32,11.55,11.79,304872
16-Feb-18,11.36,11.97,11.21,11.72,152318
15-Feb-18,11.27,11.87,11.27,11.40,94955
14-Feb-18,11.50,11.71,11.22,11.29,142080
13-Feb-18,11.92,12.09,11.50,11.50,116599
12-Feb-18,11.60,11.88,11.53,11.65,64781
9-Feb-18,12.44,12.44,11.22,11.68,99926
8-Feb-18,12.77,12.77,12.16,12.55,35005
7-Feb-18,12.76,12.88,12.40,12.62,58490
6-Feb-18,12.11,12.98,12.11,12.74,74631
5-Feb-18,12.50,12.89,12.50,12.60,53830
2-Feb-18,13.00,13.33,12.55,12.63,63910
1-Feb-18,13.30,13.50,13.20,13.23,88728
31-Jan-18,13.50,13.50,13.20,13.36,44814
30-Jan-18,13.49,13.64,13.24,13.55,49713
29-Jan-18,13.58,13.75,13.24,13.60,37556
26-Jan-18,13.51,13.52,13.22,13.52,17474
25-Jan-18,13.85,13.85,13.31,13.43,13871
24-Jan-18,13.80,13.91,13.52,13.78,36964
23-Jan-18,13.54,13.75,13.45,13.75,44379
22-Jan-18,13.21,13.54,13.09,13.51,59694
19-Jan-18,13.20,13.21,13.00,13.14,23991
18-Jan-18,13.10,13.15,13.00,13.06,25665
17-Jan-18,13.18,13.30,12.30,13.18,54466
16-Jan-18,13.47,13.74,12.92,13.05,41336
12-Jan-18,13.32,13.75,13.32,13.48,74055
11-Jan-18,13.10,13.44,12.93,13.27,45436
10-Jan-18,12.92,13.10,12.80,13.10,57554
9-Jan-18,13.00,13.00,12.82,12.92,31557
8-Jan-18,13.16,13.17,12.76,12.94,101908
5-Jan-18,13.10,13.19,12.90,13.04,58027
4-Jan-18,13.20,13.20,12.90,13.06,22483
3-Jan-18,13.50,13.50,12.88,13.14,73069
2-Jan-18,12.88,13.49,12.88,13.35,82666
29-Dec-17,12.54,12.88,12.51,12.80,60107
28-Dec-17,12.78,12.94,12.46,12.65,126350
27-Dec-17,12.70,12.95,12.65,12.72,50857
26-Dec-17,12.56,12.95,12.56,12.78,28077
22-Dec-17,12.00,12.91,11.98,12.75,172353
21-Dec-17,12.19,12.20,11.88,12.02,91775
20-Dec-17,11.91,12.44,11.91,12.19,111402
19-Dec-17,12.85,13.09,11.85,12.00,252797
18-Dec-17,12.63,13.00,12.63,12.85,160696
15-Dec-17,12.33,12.90,12.33,12.63,39321
14-Dec-17,12.23,12.84,12.23,12.30,98021
13-Dec-17,12.30,12.99,12.16,12.17,195800
12-Dec-17,12.00,12.58,11.95,12.36,167603
11-Dec-17,12.37,12.40,11.97,12.00,73385
8-Dec-17,12.16,12.35,12.07,12.27,46754
7-Dec-17,12.00,12.42,11.90,12.00,169354
6-Dec-17,11.90,12.10,11.79,12.03,108999
5-Dec-17,11.51,12.00,11.50,11.92,71448
4-Dec-17,11.82,12.10,11.44,11.75,320960
1-Dec-17,11.59,11.88,10.87,11.85,41716
30-Nov-17,11.80,11.80,11.53,11.69,146218
29-Nov-17,11.70,11.88,11.59,11.72,71999
28-Nov-17,11.28,11.87,11.06,11.70,130485
27-Nov-17,11.35,11.91,11.24,11.31,19434
24-Nov-17,11.23,11.56,10.89,11.48,19778
22-Nov-17,11.50,11.94,11.25,11.37,51075
21-Nov-17,10.46,12.00,10.33,11.73,143953
20-Nov-17,10.61,10.94,10.25,10.37,41701
17-Nov-17,11.02,11.12,10.56,10.61,76464
16-Nov-17,10.84,11.50,10.70,10.98,231626
15-Nov-17,10.28,11.20,10.28,10.75,72062
14-Nov-17,11.00,11.39,10.20,10.82,132825
13-Nov-17,12.04,12.04,11.27,11.45,155840
