Date,Open,High,Low,Close,Volume
28-Feb-18,24.36,24.68,23.62,23.65,880687
27-Feb-18,24.85,25.02,24.20,24.24,861017
26-Feb-18,24.26,25.01,24.26,24.86,941023
23-Feb-18,24.05,24.92,23.81,24.91,937608
22-Feb-18,23.18,24.46,22.67,23.68,1389291
21-Feb-18,23.38,23.49,22.63,22.66,751026
20-Feb-18,23.24,23.75,23.20,23.36,410843
16-Feb-18,23.05,23.63,23.05,23.34,568634
15-Feb-18,23.53,23.55,22.32,23.05,602603
14-Feb-18,21.39,22.38,21.26,22.29,721127
13-Feb-18,21.46,21.69,21.34,21.67,778998
12-Feb-18,21.24,21.63,21.14,21.55,436558
9-Feb-18,20.95,21.22,20.23,21.14,968659
8-Feb-18,21.63,21.63,20.71,20.71,494792
7-Feb-18,21.83,21.93,21.44,21.54,609528
6-Feb-18,21.32,21.98,21.00,21.85,916742
5-Feb-18,22.83,23.07,21.73,21.74,815645
2-Feb-18,23.67,23.71,23.00,23.06,474714
1-Feb-18,23.27,23.80,22.73,23.76,612866
31-Jan-18,23.16,23.49,23.09,23.44,494562
30-Jan-18,22.92,23.25,22.88,23.06,524401
29-Jan-18,23.08,23.27,23.03,23.12,475680
26-Jan-18,23.10,23.20,22.95,23.13,279621
25-Jan-18,23.04,23.19,22.85,22.96,511621
24-Jan-18,23.09,23.22,22.63,22.97,451622
23-Jan-18,22.97,23.16,22.88,22.96,382983
22-Jan-18,23.15,23.27,22.89,23.04,516042
19-Jan-18,22.68,23.34,22.64,23.21,607153
18-Jan-18,22.73,22.94,22.66,22.70,636928
17-Jan-18,22.82,22.89,22.62,22.77,625427
16-Jan-18,23.46,23.57,22.66,22.68,644754
12-Jan-18,23.58,23.70,22.14,23.40,505577
11-Jan-18,22.94,23.59,22.94,23.50,566446
10-Jan-18,22.88,22.96,22.63,22.88,424136
9-Jan-18,23.06,23.27,22.85,22.92,623155
8-Jan-18,22.79,23.27,22.58,23.04,889137
5-Jan-18,22.81,22.96,22.56,22.80,485065
4-Jan-18,22.65,22.92,22.60,22.73,563328
3-Jan-18,22.69,22.78,22.42,22.51,491021
2-Jan-18,22.54,22.99,22.54,22.69,585670
29-Dec-17,22.60,22.98,22.48,22.67,493015
28-Dec-17,22.45,22.97,22.43,22.57,404630
27-Dec-17,22.44,22.68,22.33,22.39,405703
26-Dec-17,22.36,22.57,22.01,22.44,288574
22-Dec-17,22.57,22.63,22.32,22.45,406779
21-Dec-17,22.60,22.79,22.30,22.55,470760
20-Dec-17,22.73,22.73,22.29,22.54,540634
19-Dec-17,23.06,23.20,22.58,22.64,666873
18-Dec-17,22.99,23.49,22.97,23.08,604706
15-Dec-17,22.20,23.12,22.19,22.84,1360716
14-Dec-17,22.52,22.66,22.18,22.20,575575
13-Dec-17,22.40,22.64,22.22,22.50,723706
12-Dec-17,22.39,22.72,22.34,22.46,638995
11-Dec-17,22.36,22.64,22.05,22.38,855329
8-Dec-17,22.67,22.93,22.35,22.39,489582
7-Dec-17,22.53,22.80,22.31,22.48,584029
6-Dec-17,22.42,22.81,22.26,22.50,427676
5-Dec-17,22.38,22.61,22.31,22.42,445489
4-Dec-17,23.14,23.14,22.36,22.37,540652
1-Dec-17,22.87,23.16,22.09,22.89,526442
30-Nov-17,23.13,23.13,22.67,22.88,448701
29-Nov-17,23.52,23.76,22.93,23.02,404854
28-Nov-17,23.44,23.63,22.77,23.50,550951
