Date,Open,High,Low,Close,Volume
28-Feb-18,7.00,7.05,6.72,6.80,27834
27-Feb-18,7.04,7.09,6.99,7.09,36586
26-Feb-18,7.25,7.32,6.97,6.99,15380
23-Feb-18,7.21,7.38,7.00,7.16,36235
22-Feb-18,7.00,7.16,6.96,7.01,8159
21-Feb-18,6.65,7.44,6.60,6.85,35454
20-Feb-18,6.51,6.65,6.51,6.56,2707
16-Feb-18,6.60,6.60,6.40,6.48,24413
15-Feb-18,6.23,6.65,6.23,6.41,59240
14-Feb-18,6.53,6.60,6.20,6.24,23237
13-Feb-18,6.82,6.82,6.42,6.52,17296
12-Feb-18,6.45,6.58,6.45,6.58,4890
9-Feb-18,6.45,6.93,6.45,6.50,51506
8-Feb-18,6.78,6.78,6.33,6.44,14676
7-Feb-18,6.78,6.92,6.61,6.78,8588
6-Feb-18,6.33,6.83,6.12,6.83,45378
5-Feb-18,6.19,6.84,6.18,6.75,64886
2-Feb-18,6.01,6.29,5.87,6.11,36671
1-Feb-18,5.30,6.29,5.30,6.00,155766
31-Jan-18,5.14,5.52,5.14,5.37,66858
30-Jan-18,5.46,5.47,5.11,5.11,33279
29-Jan-18,5.55,5.55,5.35,5.44,18346
26-Jan-18,5.30,5.40,5.25,5.30,41997
25-Jan-18,5.49,5.71,5.30,5.31,104183
24-Jan-18,5.72,6.35,5.30,5.43,168847
23-Jan-18,5.00,5.97,5.00,5.66,304619
22-Jan-18,5.00,5.02,4.74,4.75,33622
19-Jan-18,4.82,5.03,4.80,4.99,30300
18-Jan-18,5.00,5.02,4.96,4.96,3267
17-Jan-18,4.81,5.07,4.81,5.00,16682
16-Jan-18,5.20,5.23,4.81,4.94,32165
12-Jan-18,5.27,5.38,5.03,5.17,12844
11-Jan-18,5.24,5.40,5.22,5.24,2247
10-Jan-18,5.53,5.55,5.16,5.19,15617
9-Jan-18,5.21,5.44,5.21,5.24,11219
8-Jan-18,5.55,5.55,5.18,5.24,26341
5-Jan-18,5.30,5.53,5.30,5.51,2814
4-Jan-18,5.27,5.46,5.15,5.32,3088
3-Jan-18,5.60,5.62,5.20,5.30,9605
2-Jan-18,5.25,5.62,5.06,5.62,4885
29-Dec-17,5.05,5.25,5.05,5.25,6813
28-Dec-17,4.98,5.12,4.94,5.05,5712
27-Dec-17,5.01,5.02,4.91,4.92,61726
26-Dec-17,4.97,5.05,4.97,5.01,10407
22-Dec-17,5.02,5.03,4.95,4.95,16092
21-Dec-17,4.89,5.21,4.85,5.16,14681
20-Dec-17,5.15,5.15,4.82,4.82,26442
19-Dec-17,5.18,5.24,5.02,5.02,27063
18-Dec-17,5.00,5.22,5.00,5.14,40731
15-Dec-17,5.55,5.70,5.00,5.00,54051
14-Dec-17,5.58,5.79,5.54,5.54,15393
13-Dec-17,5.85,6.00,5.51,5.53,20382
12-Dec-17,6.10,6.11,5.69,5.84,19606
11-Dec-17,5.98,6.20,5.95,5.96,18791
8-Dec-17,5.92,6.24,5.92,6.05,2474
7-Dec-17,5.91,6.26,5.81,5.90,7115
6-Dec-17,6.00,6.11,5.80,5.89,18021
5-Dec-17,6.41,6.41,5.88,5.98,21787
4-Dec-17,6.79,6.79,6.40,6.46,22783
1-Dec-17,6.40,6.90,6.40,6.79,13688
30-Nov-17,6.67,6.90,6.64,6.75,2902
29-Nov-17,6.82,7.05,6.54,6.78,25496
28-Nov-17,6.87,6.88,6.71,6.80,6315
27-Nov-17,6.87,7.20,6.83,6.90,23785
24-Nov-17,6.85,7.21,6.85,6.87,25474
22-Nov-17,7.50,7.50,6.90,6.95,23161
21-Nov-17,7.65,7.65,7.36,7.42,40067
20-Nov-17,7.00,7.84,6.98,7.34,56051
17-Nov-17,6.70,6.89,6.59,6.89,31430
16-Nov-17,6.20,6.59,6.20,6.52,33634
15-Nov-17,5.91,6.24,5.79,6.24,36785
14-Nov-17,6.15,6.35,5.65,5.97,60435
13-Nov-17,5.76,6.19,5.72,5.97,21849
10-Nov-17,5.65,5.76,5.61,5.72,9844
9-Nov-17,5.60,5.63,5.60,5.60,34684
8-Nov-17,5.60,5.65,5.60,5.60,118463
7-Nov-17,5.60,5.73,5.60,5.60,32567
6-Nov-17,6.01,6.46,5.60,5.60,70651
3-Nov-17,8.17,8.48,5.87,6.05,523518
