Date,Open,High,Low,Close,Volume
28-Feb-18,24.85,24.85,23.60,23.75,466672
27-Feb-18,24.90,24.90,23.75,24.20,3316705
26-Feb-18,26.00,26.18,24.55,24.80,753283
23-Feb-18,26.00,26.80,24.40,26.05,1508943
22-Feb-18,26.30,26.75,26.00,26.40,518680
21-Feb-18,25.45,26.30,25.00,26.10,458410
20-Feb-18,26.05,26.50,24.85,25.30,765465
16-Feb-18,26.05,26.65,25.35,25.80,645771
15-Feb-18,25.90,26.15,23.50,25.10,863989
14-Feb-18,24.65,25.85,24.55,25.60,726821
13-Feb-18,24.35,25.25,24.35,24.95,393519
12-Feb-18,24.05,25.05,23.85,24.75,386565
9-Feb-18,24.00,24.55,22.85,24.05,561803
8-Feb-18,25.15,25.40,23.65,23.85,406230
7-Feb-18,25.30,25.90,24.75,25.15,418988
6-Feb-18,23.20,25.10,23.05,24.90,557036
5-Feb-18,25.00,25.60,23.85,23.95,721075
2-Feb-18,26.00,26.15,25.30,25.30,427928
1-Feb-18,25.90,26.58,25.65,26.25,542647
31-Jan-18,26.75,26.95,25.75,25.95,453186
30-Jan-18,27.15,27.15,26.38,26.45,394001
29-Jan-18,27.05,27.70,26.80,27.50,389747
26-Jan-18,26.80,27.35,26.55,27.25,498117
25-Jan-18,27.35,27.66,26.40,26.65,565560
24-Jan-18,27.80,27.80,26.55,27.10,610621
23-Jan-18,27.30,28.10,27.00,27.80,574678
22-Jan-18,27.45,28.00,26.90,27.55,1115965
19-Jan-18,28.65,28.85,26.60,27.20,3988062
18-Jan-18,24.85,27.00,24.40,25.00,1684030
17-Jan-18,25.15,25.55,24.40,24.75,881651
16-Jan-18,25.90,26.57,24.95,25.05,922515
12-Jan-18,25.60,26.30,25.45,25.85,374748
11-Jan-18,24.30,25.95,24.15,25.60,728908
10-Jan-18,23.10,24.40,22.85,24.30,458920
9-Jan-18,22.70,23.40,22.15,23.25,560652
8-Jan-18,23.10,23.22,21.98,22.40,980636
5-Jan-18,21.10,24.10,20.50,23.55,2636728
4-Jan-18,21.90,22.10,21.00,21.05,467559
3-Jan-18,22.75,22.75,21.75,21.90,644164
2-Jan-18,21.70,23.25,21.55,22.65,692079
29-Dec-17,22.45,22.60,21.45,21.45,349712
28-Dec-17,22.35,22.80,22.15,22.55,277202
27-Dec-17,22.30,22.75,22.05,22.40,202728
26-Dec-17,21.55,22.35,21.55,22.20,265809
22-Dec-17,21.75,22.00,21.45,21.60,266642
21-Dec-17,21.25,22.05,21.25,21.75,249295
20-Dec-17,21.25,21.60,20.75,21.25,302354
19-Dec-17,21.20,21.40,20.75,21.15,345546
18-Dec-17,21.10,21.35,20.65,21.05,311626
15-Dec-17,20.75,21.15,20.55,21.05,962102
14-Dec-17,21.20,21.30,20.55,20.70,374696
13-Dec-17,20.55,21.85,20.55,21.30,442951
12-Dec-17,20.40,20.85,20.35,20.55,353121
11-Dec-17,21.25,21.40,20.40,20.40,660768
8-Dec-17,20.85,21.45,20.75,21.05,504441
7-Dec-17,20.45,20.75,19.95,20.75,754316
6-Dec-17,20.40,20.60,20.25,20.35,372100
5-Dec-17,20.95,21.30,20.35,20.45,506167
4-Dec-17,20.95,21.05,20.52,20.80,765016
1-Dec-17,20.20,21.00,20.05,20.80,535026
30-Nov-17,20.50,20.65,20.15,20.30,491567
29-Nov-17,20.10,20.90,19.82,20.50,496490
28-Nov-17,20.30,20.45,19.95,20.10,806890
27-Nov-17,20.50,20.67,19.70,20.00,657808
24-Nov-17,20.45,21.08,20.10,20.50,508062
22-Nov-17,20.45,20.70,20.15,20.25,1228635
21-Nov-17,19.65,20.25,19.65,20.10,1123506
20-Nov-17,17.95,19.65,17.69,19.50,1495608
17-Nov-17,17.10,18.00,17.00,17.80,1030693
16-Nov-17,16.55,17.50,16.55,17.25,2844926
15-Nov-17,18.75,18.85,16.85,17.00,9866818
14-Nov-17,27.75,28.25,27.45,28.20,471114
13-Nov-17,27.70,28.30,27.45,27.70,552634
10-Nov-17,28.25,28.60,27.45,27.95,452062
9-Nov-17,28.10,29.05,28.09,28.35,571079
8-Nov-17,27.80,28.80,27.55,28.65,612747
7-Nov-17,27.80,27.80,26.85,27.50,369955
6-Nov-17,27.60,28.10,27.30,27.75,390462
3-Nov-17,27.25,27.95,27.25,27.70,468022
2-Nov-17,27.85,27.85,26.90,27.20,703291
1-Nov-17,26.65,29.60,26.65,28.15,946216
31-Oct-17,25.65,27.70,23.06,26.58,692023
30-Oct-17,26.95,28.20,26.90,27.30,782114
27-Oct-17,26.00,26.90,25.75,26.85,497333
