Date,Open,High,Low,Close,Volume
28-Feb-18,19.96,20.23,19.94,19.94,199181
27-Feb-18,20.18,20.45,19.96,20.02,157926
26-Feb-18,20.17,20.91,20.00,20.19,237184
23-Feb-18,20.17,20.38,19.86,20.19,119601
22-Feb-18,19.99,20.41,19.92,20.01,127177
21-Feb-18,19.96,20.77,19.91,20.01,188482
20-Feb-18,20.04,21.00,19.82,19.91,280065
16-Feb-18,20.29,20.51,19.80,20.13,227974
15-Feb-18,19.68,20.24,19.29,20.22,220546
14-Feb-18,19.25,19.66,19.00,19.56,287482
13-Feb-18,19.00,19.53,18.84,19.48,196220
12-Feb-18,19.11,19.57,18.97,19.10,226424
9-Feb-18,20.36,20.71,18.46,19.01,555388
8-Feb-18,19.91,20.90,19.03,19.57,466281
7-Feb-18,19.03,20.39,18.52,19.90,980658
6-Feb-18,19.52,20.63,19.28,19.40,907271
5-Feb-18,20.77,21.30,20.02,20.02,539705
2-Feb-18,22.26,22.26,20.88,20.96,461095
1-Feb-18,22.00,22.39,21.58,22.09,225869
31-Jan-18,22.65,22.65,21.76,22.12,399578
30-Jan-18,23.31,23.32,22.47,22.57,285232
29-Jan-18,24.51,24.95,23.35,23.61,398669
26-Jan-18,24.82,25.00,24.25,24.53,278089
25-Jan-18,24.90,25.02,23.68,24.61,387163
24-Jan-18,25.04,25.41,24.30,24.64,297223
23-Jan-18,24.95,25.89,24.81,25.07,279298
22-Jan-18,24.47,25.13,23.97,24.79,323697
19-Jan-18,24.38,24.81,23.87,24.40,319680
18-Jan-18,24.38,24.77,23.51,24.26,231619
17-Jan-18,24.25,24.99,23.52,24.40,406469
16-Jan-18,25.07,25.57,23.51,24.10,338766
12-Jan-18,25.54,26.25,24.87,25.00,374853
11-Jan-18,25.41,25.66,25.05,25.51,113972
10-Jan-18,25.58,25.58,25.06,25.42,331654
9-Jan-18,25.58,25.70,25.28,25.64,311488
8-Jan-18,24.76,25.59,24.50,25.38,488316
5-Jan-18,24.22,24.66,24.10,24.63,177537
4-Jan-18,24.08,24.42,23.46,24.19,308675
3-Jan-18,25.00,25.03,23.86,23.91,259485
2-Jan-18,24.88,25.09,24.26,25.03,352503
29-Dec-17,25.10,25.39,24.57,24.66,339709
28-Dec-17,23.91,25.33,23.65,25.14,341413
27-Dec-17,23.42,24.25,23.28,23.89,201192
26-Dec-17,22.80,23.46,22.53,23.26,251321
22-Dec-17,22.76,23.11,22.33,22.83,332812
21-Dec-17,23.55,23.56,22.76,22.81,304021
20-Dec-17,23.85,24.16,23.40,23.59,385857
19-Dec-17,24.00,24.35,23.72,23.76,272773
18-Dec-17,24.34,24.57,23.55,24.12,574214
15-Dec-17,25.00,25.30,22.88,24.23,2574065
14-Dec-17,25.11,25.69,24.56,24.72,417972
13-Dec-17,24.80,25.11,24.39,25.10,516610
12-Dec-17,25.00,25.49,24.47,24.79,419941
11-Dec-17,23.12,24.91,23.12,24.84,386208
8-Dec-17,22.21,23.27,22.15,22.96,313406
7-Dec-17,22.00,22.81,21.50,22.11,284341
6-Dec-17,22.80,22.83,21.43,22.02,289624
5-Dec-17,21.76,23.35,21.51,22.82,749120
4-Dec-17,22.59,23.04,21.32,21.47,396944
1-Dec-17,23.72,24.35,21.82,22.27,631400
30-Nov-17,23.40,24.55,23.31,23.71,892210
29-Nov-17,23.11,23.55,22.94,23.22,475185
28-Nov-17,23.28,23.38,22.85,23.03,199009
27-Nov-17,23.34,23.68,23.14,23.32,172827
24-Nov-17,23.21,23.42,23.11,23.27,72220
22-Nov-17,22.70,23.55,22.70,23.12,277788
21-Nov-17,22.92,23.19,22.60,22.69,147732
20-Nov-17,22.90,23.42,22.70,22.82,165048
17-Nov-17,22.63,23.13,22.49,22.90,212162
16-Nov-17,22.32,22.86,22.16,22.69,349915
15-Nov-17,22.07,22.70,21.97,22.33,955477
14-Nov-17,22.17,22.52,21.96,22.28,283122
13-Nov-17,23.06,23.22,22.13,22.29,197930
10-Nov-17,21.98,23.27,21.78,23.23,133874
9-Nov-17,22.46,22.74,22.00,22.04,215470
8-Nov-17,22.00,23.12,21.47,22.65,444882
7-Nov-17,23.93,24.13,21.92,21.98,535110
6-Nov-17,24.66,24.78,23.96,24.01,199266
3-Nov-17,24.51,24.72,24.32,24.55,393668
2-Nov-17,25.13,25.18,24.39,24.49,307157
1-Nov-17,25.25,25.47,24.77,25.01,137399
31-Oct-17,25.19,25.60,25.05,25.21,93335
30-Oct-17,24.59,25.26,24.53,25.22,118210
27-Oct-17,24.18,24.74,24.05,24.69,114684
26-Oct-17,25.29,25.29,23.95,24.11,261276
25-Oct-17,25.57,26.24,25.26,25.39,149819
24-Oct-17,25.84,26.33,25.48,25.57,121557
23-Oct-17,26.07,26.14,25.25,25.82,191076
20-Oct-17,26.87,27.05,26.06,26.09,261091
19-Oct-17,26.96,27.20,26.09,26.63,198672
18-Oct-17,26.63,27.09,26.54,27.03,151018
17-Oct-17,26.59,26.78,26.23,26.55,117143
16-Oct-17,26.25,26.62,25.81,26.54,177143
13-Oct-17,26.46,26.75,25.96,26.14,170959
12-Oct-17,26.41,26.88,26.25,26.55,463422
11-Oct-17,27.00,27.40,26.43,26.57,661855
10-Oct-17,28.00,28.16,26.93,27.03,523264
9-Oct-17,27.50,28.62,27.24,27.80,417668
6-Oct-17,27.06,27.90,27.01,27.61,305732
5-Oct-17,26.65,27.70,26.65,27.21,257981
4-Oct-17,26.35,26.74,26.24,26.70,162646
3-Oct-17,26.33,26.38,25.69,26.24,149887
2-Oct-17,26.00,26.48,25.62,26.40,303268
29-Sep-17,25.88,26.23,25.32,25.81,515258
28-Sep-17,26.02,26.26,25.52,25.79,138093
27-Sep-17,26.01,26.34,25.87,26.05,118620
26-Sep-17,26.12,26.45,25.78,25.93,202932
25-Sep-17,25.55,26.04,25.37,26.00,126005
22-Sep-17,25.94,26.29,25.41,25.51,189375
21-Sep-17,25.76,26.05,25.50,25.97,135419
20-Sep-17,25.30,25.91,24.85,25.86,146629
19-Sep-17,25.55,25.97,25.12,25.29,356594
18-Sep-17,25.79,25.85,25.23,25.35,120048
15-Sep-17,26.50,26.55,25.58,25.83,913104
14-Sep-17,26.80,27.12,26.38,26.44,348435
13-Sep-17,26.10,27.22,26.10,26.95,306359
12-Sep-17,26.66,26.66,25.51,26.08,218106
11-Sep-17,27.94,28.93,26.53,26.59,371557
8-Sep-17,27.47,27.94,26.97,27.45,329358
7-Sep-17,26.45,27.42,26.15,27.38,429714
6-Sep-17,25.96,26.62,25.75,26.44,186446
5-Sep-17,25.80,26.38,25.59,25.87,176358
1-Sep-17,25.88,26.12,25.34,25.80,112785
31-Aug-17,25.07,25.94,24.94,25.93,181186
30-Aug-17,24.65,25.73,24.65,25.05,428712
29-Aug-17,24.25,24.97,23.90,24.60,211817
28-Aug-17,25.01,25.10,23.95,24.45,250459
25-Aug-17,25.92,26.24,24.76,24.84,702631
24-Aug-17,25.81,26.43,25.60,25.82,355124
23-Aug-17,24.44,25.83,24.16,25.71,253637
22-Aug-17,24.57,25.30,24.34,24.60,243198
21-Aug-17,24.97,25.04,24.51,24.60,308969
18-Aug-17,25.10,25.40,24.26,24.96,264652
17-Aug-17,27.19,27.19,25.23,25.26,319479
16-Aug-17,27.19,27.65,26.54,26.59,167384
15-Aug-17,26.71,27.04,25.98,26.90,343146
14-Aug-17,25.30,26.99,25.28,26.59,337826
11-Aug-17,23.46,25.36,23.34,25.08,1243235
10-Aug-17,24.90,25.91,22.31,23.02,530926
