Date,Open,High,Low,Close,Volume
28-Feb-18,1.90,1.90,1.80,1.80,252508
27-Feb-18,1.90,1.90,1.82,1.90,140698
26-Feb-18,1.80,1.90,1.75,1.90,382075
23-Feb-18,1.90,1.90,1.75,1.80,338461
22-Feb-18,1.90,1.90,1.85,1.85,226160
21-Feb-18,1.90,2.00,1.85,1.88,376331
20-Feb-18,1.90,1.90,1.85,1.88,141024
16-Feb-18,1.80,1.90,1.80,1.90,156065
15-Feb-18,1.80,1.85,1.75,1.75,332136
14-Feb-18,1.75,1.80,1.75,1.75,220436
13-Feb-18,1.70,1.75,1.70,1.72,240020
12-Feb-18,1.70,1.75,1.70,1.70,239042
9-Feb-18,1.85,1.85,1.70,1.70,1315118
8-Feb-18,1.85,1.88,1.80,1.85,377833
7-Feb-18,1.85,1.85,1.80,1.85,158890
6-Feb-18,1.85,1.90,1.80,1.80,571136
5-Feb-18,1.90,1.95,1.85,1.90,512841
2-Feb-18,1.95,1.96,1.90,1.90,358828
1-Feb-18,1.95,2.05,1.90,1.95,529915
31-Jan-18,1.95,2.00,1.90,1.90,627807
30-Jan-18,2.00,2.02,1.95,1.95,339043
29-Jan-18,2.00,2.05,2.00,2.02,251483
26-Jan-18,2.05,2.05,2.00,2.05,227427
25-Jan-18,2.00,2.05,2.00,2.05,213053
24-Jan-18,2.05,2.09,2.00,2.02,371261
23-Jan-18,2.00,2.05,2.00,2.05,259314
22-Jan-18,2.05,2.05,2.00,2.00,221177
19-Jan-18,2.05,2.05,2.00,2.05,160081
18-Jan-18,2.05,2.05,2.00,2.02,195097
17-Jan-18,2.05,2.10,2.00,2.05,269759
16-Jan-18,2.15,2.15,2.05,2.08,508011
12-Jan-18,2.15,2.15,2.10,2.15,270836
11-Jan-18,2.10,2.15,2.10,2.15,325960
10-Jan-18,2.15,2.20,2.10,2.15,330524
9-Jan-18,2.15,2.20,2.12,2.20,263034
8-Jan-18,2.15,2.20,2.10,2.12,720818
5-Jan-18,2.10,2.20,2.06,2.18,778315
4-Jan-18,2.10,2.12,2.05,2.05,327655
3-Jan-18,2.05,2.13,2.05,2.10,484082
2-Jan-18,2.05,2.10,2.00,2.05,493815
29-Dec-17,1.95,2.05,1.95,2.02,821260
28-Dec-17,2.00,2.02,1.90,1.95,932373
27-Dec-17,2.05,2.10,2.00,2.00,441389
26-Dec-17,2.00,2.05,2.00,2.02,360088
22-Dec-17,2.05,2.10,2.05,2.08,256650
21-Dec-17,2.10,2.15,2.05,2.10,396929
20-Dec-17,2.10,2.15,2.08,2.10,264571
19-Dec-17,2.05,2.15,2.05,2.10,356275
18-Dec-17,2.05,2.15,2.00,2.08,389069
15-Dec-17,1.95,2.10,1.95,2.05,354236
14-Dec-17,2.00,2.10,1.95,1.95,695789
13-Dec-17,1.95,2.05,1.95,2.00,508072
12-Dec-17,2.15,2.20,1.95,1.96,867010
11-Dec-17,2.15,2.15,2.10,2.12,292703
8-Dec-17,2.15,2.20,2.10,2.10,407349
7-Dec-17,2.20,2.20,2.15,2.15,238035
6-Dec-17,2.20,2.25,2.10,2.25,647274
5-Dec-17,2.20,2.20,2.10,2.20,446498
4-Dec-17,2.35,2.35,2.20,2.20,1019667
1-Dec-17,2.20,2.30,2.20,2.25,940040
30-Nov-17,2.20,2.20,2.10,2.18,473773
29-Nov-17,2.20,2.20,2.10,2.15,590520
28-Nov-17,2.20,2.22,2.15,2.20,300377
27-Nov-17,2.20,2.25,2.15,2.20,713677
24-Nov-17,2.15,2.25,2.10,2.25,658149
22-Nov-17,2.05,2.15,2.05,2.12,489311
21-Nov-17,2.10,2.11,2.05,2.08,299571
20-Nov-17,2.10,2.15,2.08,2.15,585252
17-Nov-17,2.10,2.15,2.05,2.08,687350
16-Nov-17,1.90,2.15,1.90,2.05,2028210
15-Nov-17,1.95,1.98,1.85,1.90,1175300
14-Nov-17,1.95,1.95,1.85,1.85,519885
13-Nov-17,1.95,2.00,1.85,1.90,682182
10-Nov-17,1.90,2.00,1.85,1.98,949905
9-Nov-17,1.95,2.00,1.90,1.95,472323
8-Nov-17,1.85,1.95,1.85,1.95,599600
7-Nov-17,1.90,1.95,1.85,1.90,863235
6-Nov-17,1.95,2.00,1.85,1.92,1109917
3-Nov-17,1.95,2.00,1.95,1.98,437450
2-Nov-17,2.05,2.05,1.95,2.00,442603
1-Nov-17,1.90,2.05,1.90,2.00,858306
31-Oct-17,1.90,1.95,1.85,1.90,535307
30-Oct-17,1.90,1.95,1.80,1.85,537738
27-Oct-17,1.85,1.90,1.80,1.85,457867
26-Oct-17,1.95,1.95,1.80,1.80,980118
25-Oct-17,2.00,2.05,1.90,1.92,602931
24-Oct-17,2.00,2.05,1.85,2.00,1133560
23-Oct-17,2.20,2.20,1.90,2.02,2462668
20-Oct-17,1.95,2.00,1.90,2.00,2456465
19-Oct-17,1.75,1.80,1.55,1.75,3229152
18-Oct-17,1.75,1.75,1.70,1.75,1644846
17-Oct-17,1.90,1.95,1.70,1.75,4360881
16-Oct-17,2.10,2.15,1.90,1.95,5322246
13-Oct-17,2.20,2.25,2.10,2.12,5436250
12-Oct-17,2.10,2.48,2.00,2.15,24274300
11-Oct-17,5.75,5.75,5.30,5.35,6616124
10-Oct-17,5.30,5.60,5.10,5.50,6808106
9-Oct-17,5.20,5.40,5.10,5.20,3144171
6-Oct-17,5.10,5.20,5.00,5.10,2594486
5-Oct-17,5.30,5.35,5.00,5.05,1666891
4-Oct-17,5.45,5.45,4.90,5.22,2990593
3-Oct-17,5.75,5.75,5.20,5.50,3881862
2-Oct-17,4.90,5.60,4.85,5.50,4580205
29-Sep-17,4.40,4.65,4.30,4.60,1581165
28-Sep-17,4.35,4.50,4.22,4.35,1068880
27-Sep-17,4.30,4.45,4.15,4.40,1774989
26-Sep-17,4.05,4.70,4.00,4.25,4448822
25-Sep-17,3.35,3.95,3.32,3.90,3815489
22-Sep-17,3.20,3.35,3.15,3.35,820336
21-Sep-17,3.25,3.25,3.15,3.20,1818745
20-Sep-17,3.25,3.30,3.20,3.20,1168358
19-Sep-17,3.25,3.30,3.20,3.20,900867
18-Sep-17,3.15,3.25,3.15,3.20,1232846
15-Sep-17,3.00,3.15,2.95,3.10,1116705
14-Sep-17,3.15,3.20,3.00,3.00,1914025
13-Sep-17,3.20,3.25,3.15,3.15,1333786
12-Sep-17,3.30,3.30,3.20,3.25,901206
11-Sep-17,3.35,3.39,3.15,3.20,1051764
8-Sep-17,3.20,3.45,3.20,3.30,2396279
7-Sep-17,3.25,3.25,3.12,3.25,548023
6-Sep-17,3.40,3.40,3.20,3.25,684167
5-Sep-17,3.25,3.32,3.15,3.30,818918
1-Sep-17,3.30,3.35,3.25,3.25,385546
31-Aug-17,3.40,3.45,3.30,3.30,974793
30-Aug-17,3.30,3.45,3.30,3.35,1581146
29-Aug-17,3.10,3.30,3.10,3.20,2494452
28-Aug-17,3.05,3.10,3.00,3.05,1084598
25-Aug-17,3.05,3.10,2.95,2.95,1136886
24-Aug-17,3.05,3.05,2.95,2.98,728018
23-Aug-17,3.00,3.05,2.95,3.00,797195
22-Aug-17,2.90,3.00,2.86,2.95,540304
21-Aug-17,2.95,3.00,2.85,2.95,388882
18-Aug-17,3.00,3.05,2.90,2.95,468777
17-Aug-17,3.00,3.05,2.95,3.00,409320
16-Aug-17,2.95,3.05,2.95,3.00,389603
15-Aug-17,3.00,3.10,2.95,2.98,391387
14-Aug-17,2.95,3.10,2.92,3.05,572556
11-Aug-17,3.00,3.10,2.90,2.95,724268
10-Aug-17,3.10,3.12,2.90,2.95,1189459
9-Aug-17,3.00,3.10,2.85,3.00,1600938
8-Aug-17,2.95,3.00,2.85,2.90,700114
7-Aug-17,2.95,3.00,2.80,2.95,852258
4-Aug-17,2.75,3.00,2.70,2.90,1242263
3-Aug-17,3.00,3.02,2.75,2.78,913960
2-Aug-17,3.30,3.35,2.85,2.95,2608100
1-Aug-17,3.55,3.65,3.10,3.40,5365337
31-Jul-17,3.75,4.05,3.55,3.90,2765028
28-Jul-17,3.45,3.70,3.45,3.65,794517
27-Jul-17,3.70,3.70,3.40,3.45,1059342
26-Jul-17,3.70,3.85,3.65,3.70,907373
25-Jul-17,3.80,3.90,3.60,3.80,2520037
24-Jul-17,3.20,3.65,3.15,3.65,2325429
21-Jul-17,3.15,3.25,3.05,3.15,847371
20-Jul-17,3.05,3.15,2.95,3.10,916457
19-Jul-17,3.10,3.15,2.85,3.00,1636976
18-Jul-17,3.10,3.20,3.05,3.10,3154123
