Date,Open,High,Low,Close,Volume
7-Feb-18,0.79,0.90,0.68,0.71,5592565
6-Feb-18,0.79,0.80,0.76,0.78,1577457
5-Feb-18,0.85,0.87,0.76,0.80,2495001
2-Feb-18,0.95,0.95,0.75,0.85,3348975
1-Feb-18,15.55,15.65,15.55,15.55,1038071
31-Jan-18,15.55,15.70,15.55,15.60,747011
30-Jan-18,15.60,15.62,15.50,15.55,1237546
29-Jan-18,15.60,15.70,15.55,15.60,1413420
26-Jan-18,15.65,15.75,15.48,15.60,1907468
25-Jan-18,15.85,15.90,15.60,15.60,1661166
24-Jan-18,15.85,15.95,15.75,15.85,580841
23-Jan-18,15.85,15.90,15.67,15.75,1016091
22-Jan-18,15.85,15.95,15.75,15.85,257681
19-Jan-18,15.75,15.90,15.60,15.85,140372
18-Jan-18,15.80,15.85,15.75,15.75,54818
17-Jan-18,15.70,15.85,15.70,15.80,74990
16-Jan-18,15.80,15.85,15.62,15.70,163591
12-Jan-18,15.85,15.85,15.75,15.85,61002
11-Jan-18,15.80,15.90,15.75,15.85,116517
10-Jan-18,15.80,15.90,15.75,15.85,70613
9-Jan-18,15.75,16.05,15.75,15.82,257245
8-Jan-18,15.80,15.85,15.75,15.80,316715
5-Jan-18,15.80,15.90,15.75,15.80,378096
4-Jan-18,15.85,15.95,15.70,15.80,315609
3-Jan-18,15.65,15.90,15.58,15.90,158206
2-Jan-18,15.60,15.65,15.55,15.60,97184
29-Dec-17,15.60,15.65,15.55,15.60,117526
28-Dec-17,15.50,15.65,15.50,15.60,77799
27-Dec-17,15.60,15.65,15.45,15.50,95649
26-Dec-17,15.60,15.65,15.55,15.60,60012
22-Dec-17,15.65,15.70,15.55,15.60,136697
21-Dec-17,15.65,15.65,15.55,15.55,78064
20-Dec-17,15.65,15.75,15.60,15.62,63030
19-Dec-17,15.55,15.65,15.55,15.60,75375
18-Dec-17,15.60,15.65,15.55,15.60,223450
15-Dec-17,15.50,15.65,15.50,15.60,464880
14-Dec-17,15.50,15.60,15.50,15.50,135898
13-Dec-17,15.45,15.65,15.45,15.50,127240
12-Dec-17,15.50,15.55,15.45,15.50,132578
11-Dec-17,15.50,15.60,15.50,15.55,59266
8-Dec-17,15.55,15.60,15.45,15.45,104796
7-Dec-17,15.50,15.65,15.50,15.55,212932
6-Dec-17,15.50,15.55,15.45,15.50,223731
5-Dec-17,15.45,15.60,15.40,15.45,232489
4-Dec-17,15.50,15.60,15.45,15.45,111309
1-Dec-17,15.50,15.60,15.40,15.50,170712
30-Nov-17,15.55,15.60,15.45,15.50,180371
29-Nov-17,15.60,15.65,15.48,15.50,96435
28-Nov-17,15.55,15.62,15.45,15.60,87372
27-Nov-17,15.40,15.55,15.40,15.55,114306
24-Nov-17,15.50,15.55,15.45,15.55,63211
22-Nov-17,15.55,15.60,15.45,15.50,93896
21-Nov-17,15.60,15.60,15.50,15.55,90536
20-Nov-17,15.50,15.60,15.46,15.60,158791
17-Nov-17,15.45,15.55,15.40,15.50,95741
16-Nov-17,15.55,15.58,15.45,15.55,119047
15-Nov-17,15.50,15.60,15.42,15.50,150424
14-Nov-17,15.45,15.60,15.45,15.55,195662
13-Nov-17,15.45,15.65,15.35,15.55,313935
10-Nov-17,15.65,15.65,15.45,15.55,131209
9-Nov-17,15.45,15.65,15.40,15.60,156818
8-Nov-17,15.45,15.58,15.40,15.50,73457
7-Nov-17,15.45,15.55,15.40,15.45,119658
6-Nov-17,15.55,15.60,15.40,15.50,79590
3-Nov-17,15.45,15.60,15.40,15.50,193407
2-Nov-17,15.50,15.65,15.40,15.48,82724
1-Nov-17,15.50,15.50,15.40,15.45,111612
31-Oct-17,15.45,15.55,15.40,15.45,98366
30-Oct-17,15.40,15.45,15.35,15.40,102680
27-Oct-17,15.50,15.50,15.32,15.45,119968
26-Oct-17,15.55,15.65,15.35,15.45,166105
25-Oct-17,15.60,15.65,15.45,15.50,161638
24-Oct-17,15.60,15.65,15.55,15.60,107813
23-Oct-17,15.65,15.65,15.50,15.55,149511
20-Oct-17,15.70,15.70,15.55,15.65,69550
19-Oct-17,15.60,15.65,15.45,15.60,68883
18-Oct-17,15.65,15.75,15.62,15.65,107443
17-Oct-17,15.60,15.70,15.55,15.60,109855
16-Oct-17,15.70,15.70,15.50,15.65,178828
13-Oct-17,15.75,15.75,15.55,15.65,91716
12-Oct-17,15.85,15.90,15.60,15.70,166658
11-Oct-17,15.60,15.95,15.60,15.85,213519
10-Oct-17,15.55,15.75,15.55,15.65,347150
9-Oct-17,15.50,15.65,15.45,15.50,181065
6-Oct-17,15.50,15.55,15.35,15.50,219828
5-Oct-17,15.40,15.50,15.35,15.50,193362
4-Oct-17,15.35,15.50,15.35,15.40,694297
3-Oct-17,15.30,15.48,15.25,15.35,340288
2-Oct-17,15.35,15.40,15.20,15.35,272846
29-Sep-17,15.30,15.45,15.20,15.30,213569
28-Sep-17,15.25,15.50,15.15,15.25,327393
27-Sep-17,15.25,15.30,15.10,15.25,373207
26-Sep-17,15.00,15.40,14.85,15.28,1341147
25-Sep-17,12.40,12.40,12.22,12.25,79470
22-Sep-17,12.25,12.50,12.15,12.35,122175
21-Sep-17,12.35,12.50,12.15,12.30,128780
20-Sep-17,12.35,12.90,12.25,12.35,107674
19-Sep-17,12.10,12.60,12.10,12.40,113690
18-Sep-17,12.00,12.50,12.00,12.15,193974
15-Sep-17,12.15,12.30,11.86,12.00,531665
14-Sep-17,12.20,12.50,12.05,12.10,108319
13-Sep-17,12.30,12.40,12.08,12.15,168414
12-Sep-17,12.45,12.55,12.25,12.35,77358
11-Sep-17,12.50,12.65,12.40,12.45,60665
8-Sep-17,12.65,12.88,12.40,12.45,84900
