Date,Open,High,Low,Close,Volume
28-Feb-18,3.55,3.60,3.45,3.45,520659
27-Feb-18,3.50,3.65,3.45,3.55,730987
26-Feb-18,3.45,3.55,3.45,3.55,313330
23-Feb-18,3.60,3.60,3.40,3.48,252405
22-Feb-18,3.60,3.60,3.45,3.50,412454
21-Feb-18,3.55,3.60,3.45,3.55,335145
20-Feb-18,3.50,3.60,3.40,3.55,646574
16-Feb-18,3.60,3.68,3.45,3.55,185536
15-Feb-18,3.50,3.65,3.45,3.65,229890
14-Feb-18,3.75,3.78,3.45,3.55,488558
13-Feb-18,3.55,3.60,3.45,3.60,143589
12-Feb-18,3.55,3.65,3.35,3.60,273221
9-Feb-18,3.55,3.60,3.45,3.55,218154
8-Feb-18,3.45,3.65,3.45,3.50,369609
7-Feb-18,3.50,3.60,3.38,3.45,309436
6-Feb-18,3.45,3.50,3.40,3.50,246530
5-Feb-18,3.65,3.65,3.45,3.50,307366
2-Feb-18,3.65,3.70,3.60,3.65,413107
1-Feb-18,3.65,3.75,3.60,3.70,103692
31-Jan-18,3.85,4.00,3.60,3.65,213952
30-Jan-18,3.95,4.00,3.80,3.88,111012
29-Jan-18,4.00,4.05,3.95,3.95,49300
26-Jan-18,4.00,4.05,3.90,4.05,61871
25-Jan-18,3.95,4.10,3.95,3.95,86291
24-Jan-18,3.90,4.05,3.90,3.95,69429
23-Jan-18,3.95,4.10,3.80,3.95,366854
22-Jan-18,3.75,3.95,3.75,3.90,141058
19-Jan-18,3.70,3.80,3.67,3.80,172860
18-Jan-18,3.80,3.80,3.60,3.75,273451
17-Jan-18,3.80,3.85,3.70,3.75,136784
16-Jan-18,3.80,3.90,3.70,3.75,287599
12-Jan-18,3.75,3.85,3.65,3.75,808861
11-Jan-18,3.80,3.90,3.75,3.80,227462
10-Jan-18,3.80,3.88,3.75,3.80,86060
9-Jan-18,3.95,4.04,3.80,3.82,192768
8-Jan-18,3.85,4.00,3.80,3.95,141062
5-Jan-18,3.95,4.05,3.85,3.85,113847
4-Jan-18,3.85,4.00,3.75,3.95,520705
3-Jan-18,3.95,3.98,3.60,3.82,777345
2-Jan-18,4.10,4.12,3.92,4.00,223695
29-Dec-17,4.15,4.15,3.90,4.05,835718
28-Dec-17,4.20,4.30,4.12,4.18,284260
27-Dec-17,4.30,4.35,4.15,4.20,191380
26-Dec-17,4.30,4.38,4.20,4.25,269501
22-Dec-17,4.25,4.35,4.25,4.30,175117
21-Dec-17,4.35,4.42,4.25,4.28,514412
20-Dec-17,4.30,4.40,4.25,4.30,173477
19-Dec-17,4.30,4.40,4.28,4.30,148139
18-Dec-17,4.30,4.40,4.30,4.35,172857
15-Dec-17,4.25,4.40,4.20,4.25,697241
14-Dec-17,4.25,4.35,4.25,4.30,120116
13-Dec-17,4.35,4.45,4.25,4.30,316557
12-Dec-17,4.35,4.35,4.25,4.30,168891
11-Dec-17,4.10,4.35,4.10,4.30,408316
8-Dec-17,4.15,4.20,4.05,4.15,199212
7-Dec-17,4.10,4.20,4.10,4.15,150210
6-Dec-17,4.10,4.30,4.05,4.10,224716
5-Dec-17,4.25,4.25,4.10,4.15,123535
4-Dec-17,4.25,4.30,4.15,4.25,166111
1-Dec-17,4.20,4.25,4.05,4.25,228747
30-Nov-17,4.30,4.35,4.15,4.20,222609
29-Nov-17,4.35,4.35,4.18,4.25,274005
28-Nov-17,4.15,4.35,4.15,4.35,249226
27-Nov-17,4.25,4.40,4.15,4.20,220746
24-Nov-17,4.35,4.40,4.20,4.30,166317
22-Nov-17,4.20,4.40,4.20,4.30,301626
21-Nov-17,4.15,4.22,4.12,4.15,211376
20-Nov-17,4.25,4.25,4.10,4.15,299382
17-Nov-17,4.15,4.30,4.15,4.20,423405
16-Nov-17,4.15,4.30,4.15,4.20,366140
15-Nov-17,4.05,4.30,3.95,4.15,522832
14-Nov-17,3.95,4.15,3.95,4.10,347388
13-Nov-17,3.95,4.05,3.95,3.95,224635
10-Nov-17,4.05,4.05,3.95,4.00,287167
9-Nov-17,4.10,4.25,3.95,4.00,518849
8-Nov-17,4.15,4.15,4.00,4.15,257018
7-Nov-17,4.10,4.38,4.05,4.20,611192
6-Nov-17,4.45,4.52,4.35,4.45,454155
3-Nov-17,4.50,4.50,4.35,4.45,254308
