Date,Open,High,Low,Close,Volume
28-Feb-18,28.00,28.08,27.34,27.37,429050
27-Feb-18,28.63,28.75,28.04,28.05,436138
26-Feb-18,28.64,28.90,28.40,28.62,240531
23-Feb-18,28.03,28.62,27.76,28.57,393797
22-Feb-18,28.10,28.32,27.96,27.97,366543
21-Feb-18,28.29,28.50,27.95,27.95,541031
20-Feb-18,28.57,28.76,28.21,28.25,357533
16-Feb-18,28.24,28.96,28.17,28.77,475376
15-Feb-18,27.85,28.38,27.48,28.36,380733
14-Feb-18,26.75,27.71,26.75,27.63,363842
13-Feb-18,26.44,27.11,26.39,27.00,427168
12-Feb-18,26.81,27.04,26.23,26.79,616358
9-Feb-18,26.17,27.48,25.04,26.78,733832
8-Feb-18,26.57,27.00,26.02,26.03,782248
7-Feb-18,26.82,27.15,25.76,26.46,3757198
6-Feb-18,24.86,25.97,24.80,25.85,1320849
5-Feb-18,26.54,26.54,25.17,25.21,730487
2-Feb-18,26.98,27.16,26.57,26.64,341581
1-Feb-18,26.99,27.50,26.85,27.16,686582
31-Jan-18,27.74,27.74,26.91,27.07,486569
30-Jan-18,27.20,27.72,27.20,27.59,338425
29-Jan-18,27.26,27.57,27.26,27.39,356821
26-Jan-18,27.28,27.44,27.13,27.43,338485
25-Jan-18,27.55,27.97,27.12,27.25,455082
24-Jan-18,28.03,28.03,27.28,27.34,489019
23-Jan-18,28.00,28.03,27.72,27.83,393320
22-Jan-18,28.13,28.31,27.88,27.95,249023
19-Jan-18,28.01,28.34,27.90,28.32,229157
18-Jan-18,28.59,28.78,28.01,28.05,299640
17-Jan-18,28.38,28.63,28.17,28.61,313442
16-Jan-18,28.18,28.63,28.18,28.23,399970
12-Jan-18,28.16,28.48,28.05,28.13,222611
11-Jan-18,28.02,28.11,27.84,28.09,252532
10-Jan-18,27.96,28.17,27.68,27.94,536916
9-Jan-18,28.29,28.34,28.08,28.11,268016
8-Jan-18,28.10,28.33,27.84,28.28,260887
5-Jan-18,28.27,28.27,27.90,28.11,230516
4-Jan-18,28.34,28.50,28.09,28.21,239083
3-Jan-18,28.05,28.32,27.94,28.27,390159
2-Jan-18,27.58,28.48,27.46,28.07,644275
