Date,Open,High,Low,Close,Volume
28-Feb-18,7.80,7.80,7.62,7.63,163922
27-Feb-18,7.81,7.85,7.60,7.69,86037
26-Feb-18,7.92,7.98,7.73,7.82,113143
23-Feb-18,7.69,8.03,7.52,7.88,296986
22-Feb-18,7.89,8.20,7.52,7.65,333088
21-Feb-18,8.24,8.32,7.78,7.83,455924
20-Feb-18,8.46,8.70,8.15,8.22,357312
16-Feb-18,8.54,8.79,8.33,8.62,301201
15-Feb-18,8.27,8.71,8.07,8.51,410837
14-Feb-18,7.90,8.42,7.72,8.23,354185
13-Feb-18,7.94,8.05,7.81,7.98,212983
12-Feb-18,8.03,8.18,7.85,7.96,194982
9-Feb-18,8.41,8.45,7.59,7.94,821286
8-Feb-18,8.95,9.13,8.35,8.36,389763
7-Feb-18,8.50,9.12,8.43,8.90,411267
6-Feb-18,7.95,8.50,7.88,8.47,302649
5-Feb-18,8.39,8.63,8.21,8.32,267118
2-Feb-18,8.64,8.77,8.35,8.52,348693
1-Feb-18,8.57,8.90,8.54,8.75,258941
31-Jan-18,8.86,8.94,8.44,8.63,397853
30-Jan-18,9.08,9.20,8.71,8.86,463915
29-Jan-18,9.00,9.28,9.00,9.05,437886
26-Jan-18,9.10,9.70,8.99,9.08,708921
25-Jan-18,9.08,9.30,8.90,9.13,462911
24-Jan-18,9.66,9.66,8.83,9.00,578968
23-Jan-18,8.55,9.50,8.50,9.43,1770800
22-Jan-18,8.48,9.11,8.21,8.50,3053178
19-Jan-18,7.68,8.15,7.46,8.09,415025
18-Jan-18,7.84,7.84,7.56,7.64,347211
17-Jan-18,8.15,8.80,7.68,7.89,1216234
16-Jan-18,7.77,7.87,7.44,7.51,364592
12-Jan-18,7.84,7.93,7.60,7.81,174489
11-Jan-18,7.85,7.93,7.64,7.81,206134
10-Jan-18,7.78,7.88,7.52,7.86,123691
9-Jan-18,8.00,8.05,7.65,7.84,175557
8-Jan-18,7.82,8.13,7.82,7.98,385670
5-Jan-18,7.55,7.86,7.55,7.71,121006
4-Jan-18,7.57,7.65,7.29,7.52,146220
3-Jan-18,7.10,7.63,7.10,7.57,397165
2-Jan-18,6.69,7.28,6.66,7.10,183448
29-Dec-17,6.82,7.06,6.60,6.68,430264
28-Dec-17,6.75,6.81,6.68,6.78,108040
27-Dec-17,6.70,6.82,6.63,6.80,151131
26-Dec-17,7.05,7.05,6.71,6.76,198658
22-Dec-17,7.00,7.06,6.80,7.00,187460
21-Dec-17,7.14,7.21,6.98,7.06,154927
20-Dec-17,7.15,7.20,7.03,7.10,146908
19-Dec-17,7.19,7.35,7.08,7.08,138043
18-Dec-17,7.41,7.45,7.14,7.17,164024
15-Dec-17,7.45,7.48,7.14,7.37,1208760
14-Dec-17,7.48,7.50,7.21,7.37,289013
13-Dec-17,7.79,7.79,7.31,7.45,359486
12-Dec-17,8.02,8.02,7.76,7.86,230411
11-Dec-17,8.45,8.66,7.83,7.92,478542
8-Dec-17,8.05,8.38,7.98,8.38,268603
7-Dec-17,7.87,8.06,7.73,7.98,215136
6-Dec-17,7.80,7.98,7.65,7.82,233146
5-Dec-17,7.96,8.07,7.75,7.80,132994
4-Dec-17,8.23,8.23,7.88,7.93,146978
1-Dec-17,8.21,8.34,7.83,8.10,283593
30-Nov-17,7.86,8.45,7.77,8.28,678715
29-Nov-17,8.29,8.34,7.75,7.82,201258
28-Nov-17,8.18,8.30,7.95,8.23,98861
27-Nov-17,8.27,8.66,8.00,8.17,182294
24-Nov-17,8.19,8.71,8.12,8.24,169519
22-Nov-17,7.92,8.16,7.79,8.11,135938
21-Nov-17,7.88,7.96,7.76,7.88,145752
20-Nov-17,7.91,7.95,7.73,7.85,154214
17-Nov-17,8.00,8.01,7.58,7.88,129620
16-Nov-17,7.99,8.14,7.95,8.02,168472
15-Nov-17,7.54,8.14,7.36,7.95,242332
14-Nov-17,7.80,7.85,7.30,7.59,382872
13-Nov-17,8.10,8.10,7.75,7.80,162905
10-Nov-17,8.15,8.35,7.93,8.10,148310
9-Nov-17,8.26,8.28,7.86,8.08,191731
8-Nov-17,8.16,8.29,8.07,8.18,160565
7-Nov-17,8.44,8.57,8.08,8.17,267472
6-Nov-17,8.29,8.89,8.29,8.44,343460
3-Nov-17,7.95,8.75,7.90,8.17,384339
2-Nov-17,7.51,7.98,7.35,7.86,271777
1-Nov-17,7.91,7.95,7.50,7.51,213838
31-Oct-17,8.00,8.04,7.70,7.85,170133
30-Oct-17,7.65,7.94,7.51,7.90,369161
27-Oct-17,7.27,7.78,7.10,7.67,286101
26-Oct-17,6.94,7.39,6.79,7.30,197116
25-Oct-17,7.05,7.27,6.83,6.97,265953
24-Oct-17,6.81,7.13,6.71,7.05,479243
23-Oct-17,7.15,7.20,6.66,6.82,248442
20-Oct-17,7.10,7.43,7.02,7.15,151747
19-Oct-17,7.06,7.15,6.92,7.10,285957
18-Oct-17,7.02,7.12,6.79,7.03,247143
17-Oct-17,7.28,7.46,6.98,7.01,263493
16-Oct-17,7.70,7.94,7.07,7.33,399868
13-Oct-17,7.77,7.98,7.57,7.64,122792
12-Oct-17,7.88,8.00,7.60,7.76,256152
11-Oct-17,8.35,8.37,7.80,7.84,333483
10-Oct-17,8.24,8.47,8.00,8.32,106873
9-Oct-17,8.14,8.34,8.11,8.23,92215
6-Oct-17,8.44,8.58,8.10,8.16,444909
5-Oct-17,8.73,8.75,8.41,8.53,126275
4-Oct-17,8.62,9.09,8.62,8.74,224342
3-Oct-17,8.78,8.83,8.35,8.70,414216
2-Oct-17,8.29,8.80,8.11,8.71,476125
29-Sep-17,8.22,8.26,8.09,8.19,318999
28-Sep-17,8.00,8.40,8.00,8.16,280029
27-Sep-17,8.10,8.19,8.00,8.02,216972
26-Sep-17,8.56,8.69,8.01,8.08,482106
25-Sep-17,7.76,8.72,7.76,8.58,461492
22-Sep-17,8.16,8.20,7.79,7.93,567538
21-Sep-17,8.29,8.44,7.99,8.41,490050
20-Sep-17,8.30,8.54,8.21,8.28,243597
19-Sep-17,8.38,8.57,7.70,8.28,677757
18-Sep-17,8.78,8.79,8.42,8.47,424987
15-Sep-17,8.86,8.86,8.61,8.77,268239
14-Sep-17,8.86,9.04,8.70,8.86,299602
13-Sep-17,8.50,9.08,8.50,8.87,373889
12-Sep-17,8.80,8.89,8.28,8.50,375484
11-Sep-17,8.93,9.29,8.51,8.85,1226714
8-Sep-17,7.60,8.95,7.58,8.93,1710060
7-Sep-17,7.27,8.19,7.02,7.55,1047721
6-Sep-17,6.80,6.95,6.62,6.74,201111
5-Sep-17,6.50,6.84,6.35,6.80,409076
1-Sep-17,7.12,7.20,6.57,6.58,454398
31-Aug-17,6.30,7.09,6.10,7.00,808405
30-Aug-17,6.02,6.39,5.93,6.23,560933
29-Aug-17,5.88,6.32,5.76,6.01,462408
28-Aug-17,5.42,6.10,5.42,6.00,680814
25-Aug-17,5.30,5.33,5.13,5.21,147611
24-Aug-17,5.26,5.34,5.16,5.25,63322
23-Aug-17,5.05,5.33,4.97,5.24,196325
22-Aug-17,4.93,5.08,4.84,5.04,64532
21-Aug-17,4.96,5.09,4.85,4.93,193596
18-Aug-17,5.16,5.23,5.03,5.05,172564
17-Aug-17,5.16,5.37,5.10,5.22,371629
16-Aug-17,5.18,5.24,5.00,5.14,320905
