Date,Open,High,Low,Close,Volume
28-Feb-18,210.69,213.44,209.10,209.13,2356944
27-Feb-18,211.99,212.76,208.25,208.82,2330752
26-Feb-18,211.29,212.35,209.26,212.15,2418674
23-Feb-18,204.22,209.78,203.31,209.74,2349265
22-Feb-18,203.07,204.22,201.68,202.61,1541519
21-Feb-18,204.45,206.83,202.02,202.09,2043494
20-Feb-18,200.46,205.12,199.18,202.98,2722668
16-Feb-18,202.52,203.90,200.74,201.56,2172590
15-Feb-18,198.97,203.28,197.13,202.97,2233313
14-Feb-18,192.48,197.50,191.95,197.13,2542392
13-Feb-18,190.85,194.31,190.39,193.48,1961306
12-Feb-18,189.00,192.99,188.56,192.15,2824726
9-Feb-18,187.33,189.71,179.34,187.99,3818835
8-Feb-18,192.84,192.97,185.02,185.16,3978688
7-Feb-18,193.87,196.24,192.02,192.34,2988024
6-Feb-18,186.59,194.82,182.10,194.47,4479960
5-Feb-18,194.06,198.46,188.00,190.27,3801346
2-Feb-18,197.33,199.40,195.44,195.64,2813785
1-Feb-18,199.12,201.75,198.08,199.38,2366120
31-Jan-18,197.13,200.96,196.75,199.76,2747576
30-Jan-18,197.25,197.73,194.89,196.90,3343348
29-Jan-18,200.11,200.86,197.87,198.23,1938978
26-Jan-18,198.50,201.55,198.25,201.30,2338080
25-Jan-18,198.08,199.24,196.07,197.51,2574213
24-Jan-18,201.82,202.30,196.52,197.78,3250450
23-Jan-18,202.29,204.45,199.44,200.09,3980994
22-Jan-18,195.70,198.00,194.42,197.84,1701342
19-Jan-18,196.24,196.63,194.65,195.73,2342979
18-Jan-18,196.21,196.59,194.06,196.20,2539356
17-Jan-18,194.02,197.12,192.77,196.49,2969469
16-Jan-18,195.92,198.21,191.71,192.46,4595560
12-Jan-18,189.09,195.50,188.99,195.05,4246044
11-Jan-18,187.29,188.94,186.18,188.92,1600065
10-Jan-18,185.21,187.27,185.07,187.11,1664485
9-Jan-18,185.57,186.97,183.93,186.70,1804423
8-Jan-18,184.95,185.60,183.83,185.04,2087952
5-Jan-18,185.00,185.90,183.54,185.34,2376524
4-Jan-18,181.93,184.06,181.64,183.22,2211383
3-Jan-18,178.00,181.89,177.70,181.04,2561213
2-Jan-18,175.85,177.80,175.26,177.70,2432814
29-Dec-17,175.19,176.97,175.10,175.24,1810263
28-Dec-17,175.92,176.00,174.85,175.55,1043660
27-Dec-17,174.65,175.44,173.97,175.36,1527819
26-Dec-17,174.36,175.00,173.03,174.44,918355
22-Dec-17,173.99,175.10,173.75,175.00,1702630
21-Dec-17,174.05,175.32,174.00,174.56,2164450
20-Dec-17,176.00,176.00,172.92,174.25,2677319
19-Dec-17,176.01,176.76,174.23,174.97,2509526
18-Dec-17,178.42,179.15,175.31,176.74,3435384
15-Dec-17,179.36,179.98,174.30,177.51,9191676
14-Dec-17,178.26,178.72,174.98,175.00,4720922
13-Dec-17,173.50,177.42,173.29,176.83,4591716
12-Dec-17,172.69,174.13,170.43,172.54,3924191
11-Dec-17,173.77,174.98,173.20,174.31,2776719
8-Dec-17,177.08,177.20,173.17,173.57,2101808
7-Dec-17,173.46,175.90,172.13,174.61,2442047
6-Dec-17,166.79,173.96,165.75,173.52,3773011
5-Dec-17,167.69,171.78,165.68,167.54,4698710
4-Dec-17,180.34,180.62,168.43,168.44,5931410
1-Dec-17,179.51,182.00,177.13,179.52,3016883
30-Nov-17,178.14,181.67,176.55,181.47,3976326
29-Nov-17,183.87,184.73,175.31,176.85,4320844
28-Nov-17,185.62,186.27,184.37,185.40,1647026
27-Nov-17,184.83,185.84,184.09,185.00,1305108
24-Nov-17,182.96,184.71,182.96,184.46,662988
22-Nov-17,184.32,184.50,182.62,182.90,1546690
21-Nov-17,183.75,185.55,182.84,184.15,2036520
20-Nov-17,182.80,183.43,181.34,182.34,1118117
17-Nov-17,182.08,182.91,181.14,182.24,1482133
16-Nov-17,181.18,182.44,180.58,182.30,1961186
15-Nov-17,180.92,181.73,179.60,180.08,1980859
14-Nov-17,181.98,182.17,180.31,181.32,1549658
13-Nov-17,180.50,182.32,179.75,181.85,1496104
10-Nov-17,181.00,182.06,179.83,181.72,2082659
9-Nov-17,182.88,183.08,179.03,181.92,2704613
8-Nov-17,181.19,184.44,181.06,184.06,1791797
7-Nov-17,181.23,181.78,180.11,180.88,2544173
6-Nov-17,182.01,182.29,180.54,180.80,2022474
3-Nov-17,181.76,182.74,179.64,182.30,2244714
2-Nov-17,178.02,181.48,175.80,180.94,3262340
1-Nov-17,176.59,176.94,174.70,176.25,2002919
31-Oct-17,176.16,176.73,174.52,175.16,2656509
30-Oct-17,177.00,177.48,174.45,176.03,2124220
27-Oct-17,174.02,177.58,174.02,177.33,2807106
26-Oct-17,172.06,175.02,172.02,173.75,2581165
25-Oct-17,170.37,173.41,170.04,171.83,2785655
24-Oct-17,171.47,172.49,170.49,171.58,2658577
23-Oct-17,175.68,175.85,171.83,172.16,3220814
20-Oct-17,171.50,175.87,171.36,175.64,6019412
19-Oct-17,165.50,172.15,164.42,171.73,13522642
18-Oct-17,150.33,153.43,149.03,153.00,4290947
17-Oct-17,150.52,150.93,148.15,150.38,3547811
16-Oct-17,151.15,153.07,149.28,150.46,3833182
13-Oct-17,153.96,154.59,153.06,153.93,2515573
12-Oct-17,153.72,154.85,153.39,153.61,2430193
11-Oct-17,152.09,154.00,151.35,153.65,2791024
10-Oct-17,152.00,152.86,151.32,152.15,2817629
9-Oct-17,150.76,151.57,150.25,151.50,1461004
6-Oct-17,149.96,151.36,149.53,151.12,2283030
5-Oct-17,148.49,150.45,147.71,150.25,2413792
4-Oct-17,148.21,148.46,146.60,147.95,2885596
3-Oct-17,148.48,148.80,147.98,148.60,1808225
2-Oct-17,149.79,150.48,147.52,147.94,2341670
29-Sep-17,146.69,149.28,146.60,149.18,2181258
28-Sep-17,146.14,147.32,145.39,146.83,1666974
27-Sep-17,146.31,147.09,145.75,146.43,2944063
26-Sep-17,145.50,146.35,143.96,145.40,3279994
25-Sep-17,148.39,148.71,143.95,144.57,4869526
22-Sep-17,148.69,149.50,147.85,148.50,2929187
21-Sep-17,150.38,151.25,148.30,149.30,4991765
20-Sep-17,151.99,152.40,149.00,149.96,9372344
19-Sep-17,156.30,157.05,155.81,156.60,4014750
18-Sep-17,155.01,156.30,154.37,155.77,2581009
15-Sep-17,154.90,155.19,153.56,154.49,3012822
14-Sep-17,155.37,156.20,154.68,154.95,1676406
13-Sep-17,155.88,156.70,155.39,156.24,1363910
12-Sep-17,156.76,157.22,154.92,156.31,1766416
11-Sep-17,156.59,157.89,156.38,156.87,1715997
8-Sep-17,155.24,155.88,154.29,155.34,1449916
7-Sep-17,154.49,155.88,153.64,155.47,1445441
6-Sep-17,155.11,155.56,153.61,153.76,1224410
5-Sep-17,154.83,155.41,153.31,154.28,1355632
1-Sep-17,155.76,156.06,154.38,155.06,1321349
31-Aug-17,154.36,155.36,154.35,155.16,1895007
30-Aug-17,152.05,154.26,151.89,153.67,1466018
29-Aug-17,150.55,152.76,150.01,152.14,1189020
28-Aug-17,151.87,152.50,151.19,151.79,952629
25-Aug-17,152.00,153.00,150.91,151.45,1182292
24-Aug-17,151.22,151.83,149.17,150.81,1449409
23-Aug-17,152.18,152.18,150.75,151.10,1355045
22-Aug-17,150.14,152.59,150.14,152.25,1981335
21-Aug-17,148.05,149.33,147.57,149.26,1244766
18-Aug-17,147.74,148.69,147.12,147.97,1699265
17-Aug-17,151.66,151.72,148.19,148.23,2125510
16-Aug-17,150.70,151.99,149.76,151.80,1454988
15-Aug-17,149.56,150.65,148.41,150.36,1144138
14-Aug-17,147.81,149.50,147.56,149.16,1171641
11-Aug-17,145.25,147.10,144.18,146.47,1382926
10-Aug-17,147.23,147.74,144.72,144.92,1902025
9-Aug-17,146.68,148.50,146.50,148.35,1177923
8-Aug-17,148.14,148.86,146.36,147.81,1508814
7-Aug-17,147.74,148.90,147.54,148.44,1455624
4-Aug-17,148.25,148.62,147.27,147.71,1503962
3-Aug-17,147.47,147.98,145.68,147.79,1510601
