Date,Open,High,Low,Close,Volume
28-Feb-18,3.05,3.19,3.00,3.00,675647
27-Feb-18,3.10,3.35,3.10,3.10,885128
26-Feb-18,3.40,3.45,3.05,3.15,955972
23-Feb-18,2.85,3.60,2.65,3.35,5215027
22-Feb-18,2.85,2.85,2.35,2.55,1971656
21-Feb-18,3.10,3.13,2.80,2.82,669826
20-Feb-18,3.20,3.20,3.10,3.12,400611
16-Feb-18,2.95,3.20,2.95,3.20,1408969
15-Feb-18,3.40,3.45,2.80,2.92,1797261
14-Feb-18,3.55,3.60,3.35,3.45,800557
13-Feb-18,3.60,3.65,3.50,3.60,349660
12-Feb-18,3.75,3.90,3.50,3.62,580041
9-Feb-18,3.70,3.75,3.30,3.55,649430
8-Feb-18,3.50,3.75,3.48,3.70,689378
7-Feb-18,3.60,3.64,3.46,3.50,439063
6-Feb-18,3.60,3.60,3.40,3.60,636850
5-Feb-18,3.80,3.89,3.50,3.60,595794
2-Feb-18,3.60,3.80,3.55,3.80,560701
1-Feb-18,3.60,3.70,3.55,3.60,480887
31-Jan-18,3.65,3.80,3.60,3.65,495809
30-Jan-18,3.75,3.80,3.59,3.65,584830
29-Jan-18,3.90,3.93,3.75,3.80,670390
26-Jan-18,4.05,4.08,3.85,3.90,700527
25-Jan-18,4.00,4.10,3.95,4.05,513069
24-Jan-18,4.15,4.25,3.90,4.05,761568
23-Jan-18,4.15,4.25,4.10,4.15,346825
22-Jan-18,4.35,4.35,4.15,4.15,381212
19-Jan-18,4.20,4.45,4.15,4.35,452736
18-Jan-18,4.10,4.30,4.10,4.20,399204
17-Jan-18,4.20,4.25,4.10,4.10,533263
16-Jan-18,4.45,4.50,4.05,4.15,904886
12-Jan-18,4.50,4.52,4.40,4.42,364896
11-Jan-18,4.40,4.50,4.35,4.45,392621
10-Jan-18,4.50,4.55,4.30,4.40,369248
9-Jan-18,4.70,4.70,4.40,4.50,971027
8-Jan-18,4.80,4.85,4.55,4.70,295891
5-Jan-18,4.90,4.95,4.75,4.75,556498
4-Jan-18,5.00,5.08,4.70,4.85,1232918
3-Jan-18,4.65,4.84,4.55,4.75,520362
2-Jan-18,4.40,4.68,4.30,4.55,634889
29-Dec-17,4.40,4.45,4.25,4.40,571089
28-Dec-17,4.25,4.40,4.22,4.30,501167
27-Dec-17,4.40,4.45,4.25,4.25,391349
26-Dec-17,4.40,4.50,4.32,4.45,592841
22-Dec-17,4.30,4.45,4.25,4.45,709375
21-Dec-17,4.50,4.60,4.06,4.30,786248
20-Dec-17,4.40,4.60,4.30,4.55,624042
19-Dec-17,4.40,4.42,4.25,4.30,388521
18-Dec-17,4.40,4.45,4.30,4.45,486344
15-Dec-17,4.35,4.55,4.30,4.40,447599
14-Dec-17,4.45,4.70,4.30,4.40,507780
13-Dec-17,4.25,4.45,4.15,4.40,487515
12-Dec-17,4.40,4.55,4.15,4.25,468981
11-Dec-17,4.55,4.55,4.25,4.40,664221
8-Dec-17,4.70,4.74,4.40,4.60,845440
7-Dec-17,4.80,4.95,4.60,4.65,647357
6-Dec-17,4.80,4.90,4.55,4.70,1148602
5-Dec-17,4.00,5.05,3.95,4.75,2331805
4-Dec-17,4.10,4.10,3.90,4.00,689037
1-Dec-17,3.85,4.15,3.80,4.05,1091233
30-Nov-17,3.95,3.95,3.66,3.80,1448126
29-Nov-17,3.85,3.90,3.40,3.50,1618502
28-Nov-17,4.00,4.00,3.65,3.80,1153891
27-Nov-17,4.15,4.19,3.80,4.00,774571
24-Nov-17,4.00,4.20,4.00,4.20,413048
22-Nov-17,4.10,4.10,3.80,4.05,1147924
21-Nov-17,4.20,4.30,4.05,4.05,526516
20-Nov-17,4.20,4.25,4.05,4.20,645379
17-Nov-17,4.15,4.20,4.02,4.20,752152
16-Nov-17,4.30,4.45,4.15,4.15,996885
15-Nov-17,4.65,4.75,4.25,4.30,1079413
14-Nov-17,4.55,4.75,4.50,4.65,643704
13-Nov-17,4.90,4.90,4.55,4.55,569774
10-Nov-17,4.85,4.95,4.60,4.75,651365
9-Nov-17,4.75,4.89,4.55,4.70,472562
8-Nov-17,4.95,5.00,4.75,4.80,464364
7-Nov-17,5.10,5.15,4.75,4.90,987974
6-Nov-17,5.20,5.25,5.10,5.15,402131
3-Nov-17,5.10,5.25,5.10,5.20,330056
2-Nov-17,5.00,5.25,5.00,5.20,259986
1-Nov-17,5.25,5.25,5.00,5.05,452598
31-Oct-17,5.25,5.25,5.10,5.20,306619
30-Oct-17,5.40,5.44,5.10,5.20,533780
27-Oct-17,5.45,5.45,5.25,5.40,434977
26-Oct-17,5.50,5.55,5.40,5.40,582010
25-Oct-17,5.45,5.70,5.35,5.45,701780
24-Oct-17,5.70,5.79,5.30,5.40,754224
23-Oct-17,5.60,5.85,5.45,5.65,1002981
20-Oct-17,5.30,5.75,5.20,5.35,1188615
19-Oct-17,5.00,5.33,4.90,5.25,658041
18-Oct-17,5.15,5.15,4.94,5.05,559388
17-Oct-17,4.75,5.05,4.60,4.95,723125
16-Oct-17,4.80,4.95,4.65,4.75,296456
13-Oct-17,5.15,5.15,4.41,4.80,1676648
12-Oct-17,5.25,5.25,5.10,5.10,261217
11-Oct-17,5.15,5.29,5.10,5.20,554474
10-Oct-17,5.20,5.30,5.05,5.12,672967
9-Oct-17,5.25,5.34,5.10,5.25,582705
6-Oct-17,5.40,5.40,5.25,5.28,245063
5-Oct-17,5.25,5.55,5.24,5.38,853654
4-Oct-17,5.25,5.30,5.20,5.20,487675
3-Oct-17,5.25,5.29,5.15,5.18,788752
2-Oct-17,5.20,5.35,5.20,5.25,479825
29-Sep-17,5.25,5.35,5.15,5.22,599472
28-Sep-17,5.25,5.30,5.20,5.30,244816
27-Sep-17,5.25,5.40,5.15,5.28,649513
26-Sep-17,5.25,5.35,5.20,5.25,340459
25-Sep-17,5.25,5.30,5.10,5.30,797541
22-Sep-17,5.20,5.35,5.10,5.25,649577
21-Sep-17,5.25,5.35,5.10,5.20,420179
20-Sep-17,5.05,5.25,5.05,5.20,308981
19-Sep-17,5.10,5.30,5.10,5.10,359594
18-Sep-17,5.20,5.23,5.05,5.15,387215
15-Sep-17,5.20,5.30,5.04,5.15,422123
14-Sep-17,5.35,5.36,5.10,5.20,736077
13-Sep-17,5.55,5.55,5.25,5.30,836533
12-Sep-17,5.50,5.55,5.30,5.40,477597
11-Sep-17,5.40,5.64,5.16,5.50,667848
8-Sep-17,5.45,5.55,5.35,5.45,297312
7-Sep-17,5.50,5.55,5.25,5.40,348031
6-Sep-17,5.70,5.70,5.40,5.50,368090
5-Sep-17,5.45,5.75,5.40,5.65,602142
1-Sep-17,5.55,5.62,5.40,5.50,449174
31-Aug-17,5.45,5.70,5.38,5.45,648757
30-Aug-17,5.15,5.45,5.05,5.40,599447
29-Aug-17,5.20,5.25,5.15,5.15,440478
28-Aug-17,5.35,5.35,5.05,5.20,891907
25-Aug-17,5.40,5.45,5.20,5.35,279247
24-Aug-17,5.30,5.50,5.26,5.35,530630
23-Aug-17,5.30,5.58,5.00,5.25,657715
22-Aug-17,4.90,5.40,4.87,5.30,1217254
21-Aug-17,4.80,4.95,4.65,4.85,627167
18-Aug-17,4.55,4.90,4.48,4.60,508434
17-Aug-17,4.55,4.70,4.51,4.55,163001
16-Aug-17,4.65,4.65,4.43,4.60,458112
15-Aug-17,4.80,4.80,4.46,4.70,364677
14-Aug-17,4.85,4.90,4.80,4.85,213903
11-Aug-17,4.45,5.00,4.35,4.80,843779
10-Aug-17,4.45,4.50,4.35,4.50,245779
9-Aug-17,4.60,4.60,4.30,4.55,431552
8-Aug-17,4.60,4.65,4.50,4.60,207353
7-Aug-17,4.60,4.80,4.55,4.60,387255
4-Aug-17,4.40,4.70,4.35,4.60,280151
3-Aug-17,4.40,4.40,4.20,4.35,297317
2-Aug-17,4.45,4.45,4.20,4.35,406915
1-Aug-17,4.60,4.69,4.35,4.45,568595
31-Jul-17,4.75,4.75,4.55,4.60,302576
28-Jul-17,4.35,4.75,4.30,4.70,444993
27-Jul-17,4.60,4.65,4.30,4.35,836836
26-Jul-17,4.80,4.80,4.50,4.60,490661
25-Jul-17,4.70,4.80,4.68,4.75,303020
24-Jul-17,4.95,5.00,4.62,4.75,573352
21-Jul-17,4.70,4.94,4.70,4.80,525016
20-Jul-17,5.10,5.15,4.60,4.65,1659760
19-Jul-17,5.10,5.20,4.95,5.10,718389
18-Jul-17,5.20,5.25,5.10,5.10,299768
17-Jul-17,5.30,5.35,5.10,5.25,674854
14-Jul-17,5.30,5.40,5.20,5.30,577992
13-Jul-17,5.50,5.50,5.30,5.35,355420
12-Jul-17,5.40,5.60,5.30,5.45,416269
11-Jul-17,5.55,5.60,5.20,5.40,524898
10-Jul-17,5.55,5.60,5.30,5.60,374107
7-Jul-17,5.70,5.70,5.30,5.50,460574
6-Jul-17,5.70,5.70,5.45,5.55,598123
5-Jul-17,5.25,5.60,5.20,5.55,1097256
3-Jul-17,5.20,5.40,5.15,5.30,364997
30-Jun-17,5.20,5.20,5.05,5.20,504544
29-Jun-17,5.20,5.20,4.95,5.05,521679
28-Jun-17,5.00,5.20,4.90,5.20,532876
27-Jun-17,5.35,5.35,4.94,5.00,1228908
26-Jun-17,5.45,5.45,5.15,5.20,1002231
23-Jun-17,5.40,5.45,5.15,5.40,2113761
22-Jun-17,4.95,5.34,4.95,5.30,1950648
21-Jun-17,4.80,5.10,4.60,4.95,1325699
20-Jun-17,5.00,5.10,4.71,4.82,1833786
19-Jun-17,5.20,5.20,4.50,5.10,5799806
16-Jun-17,6.15,6.45,5.15,5.20,18750225
15-Jun-17,3.90,5.90,3.60,5.75,12439099
14-Jun-17,4.25,4.29,3.50,3.75,2085693
13-Jun-17,4.40,4.42,4.10,4.20,1477385
12-Jun-17,4.40,4.45,4.30,4.32,758726
9-Jun-17,4.15,4.50,4.15,4.30,1528045
8-Jun-17,4.25,4.25,3.95,4.10,1221293
7-Jun-17,4.40,4.40,4.20,4.25,435842
6-Jun-17,4.55,4.55,4.05,4.35,948846
5-Jun-17,4.70,4.75,4.45,4.55,1490665
2-Jun-17,4.15,4.55,4.15,4.55,1647647
1-Jun-17,3.90,4.20,3.89,4.10,1046307
31-May-17,3.65,3.90,3.65,3.85,1114015
30-May-17,3.75,3.90,3.60,3.65,684297
26-May-17,3.85,3.90,3.65,3.70,413866
25-May-17,4.00,4.00,3.80,3.80,339826
24-May-17,4.10,4.10,3.90,4.00,374074
23-May-17,4.00,4.10,3.80,4.05,589926
22-May-17,3.95,4.21,3.90,3.95,854962
19-May-17,3.75,3.95,3.75,3.90,600282
18-May-17,3.65,3.75,3.55,3.75,214697
17-May-17,3.60,3.79,3.42,3.65,521568
16-May-17,3.75,3.80,3.50,3.60,1062935
15-May-17,3.70,3.78,3.60,3.70,878796
12-May-17,3.80,3.85,3.60,3.75,399703
11-May-17,3.80,3.80,3.70,3.80,161609
10-May-17,3.90,3.95,3.70,3.80,557454
9-May-17,3.80,3.95,3.70,3.95,576938
8-May-17,3.45,3.75,3.45,3.75,488552
5-May-17,3.60,3.60,3.40,3.50,481479
4-May-17,3.55,3.60,3.55,3.60,147982
3-May-17,3.65,3.70,3.50,3.55,427872
2-May-17,3.80,3.82,3.60,3.60,522005
1-May-17,3.75,3.85,3.70,3.80,228464
28-Apr-17,3.85,3.85,3.38,3.70,1618775
27-Apr-17,4.00,4.00,3.85,3.90,431319
26-Apr-17,4.00,4.00,3.90,3.90,519963
25-Apr-17,4.00,4.05,3.95,4.00,462761
24-Apr-17,3.95,4.05,3.85,4.00,1418121
21-Apr-17,3.70,3.90,3.52,3.85,4490975
20-Apr-17,4.50,4.55,4.35,4.40,413877
19-Apr-17,4.45,4.50,4.40,4.50,115505
18-Apr-17,4.50,4.52,4.45,4.45,168077
17-Apr-17,4.60,4.64,4.50,4.55,196592
13-Apr-17,4.50,4.60,4.40,4.55,235835
12-Apr-17,4.50,4.55,4.45,4.50,228483
11-Apr-17,4.60,4.60,4.50,4.50,160760
10-Apr-17,4.65,4.70,4.55,4.60,189201
7-Apr-17,4.65,4.65,4.50,4.65,240348
6-Apr-17,4.60,4.64,4.50,4.60,180381
5-Apr-17,4.50,4.65,4.45,4.60,443401
4-Apr-17,4.40,4.65,4.40,4.50,531089
3-Apr-17,4.30,4.60,4.30,4.40,605481
31-Mar-17,4.30,4.35,4.20,4.25,205622
30-Mar-17,4.25,4.30,4.20,4.25,139360
29-Mar-17,4.25,4.30,4.20,4.25,103932
28-Mar-17,4.20,4.35,4.15,4.25,245273
27-Mar-17,4.25,4.30,4.15,4.25,145654
24-Mar-17,4.30,4.34,4.20,4.30,179428
23-Mar-17,4.50,4.50,4.15,4.20,330350
22-Mar-17,4.40,4.50,4.05,4.45,688248
21-Mar-17,4.55,4.55,4.25,4.30,214453
20-Mar-17,4.65,4.65,4.25,4.40,353121
17-Mar-17,4.45,4.65,4.40,4.55,219824
16-Mar-17,4.65,4.65,4.40,4.45,323831
15-Mar-17,4.45,4.55,4.25,4.55,309487
14-Mar-17,4.80,4.80,4.39,4.45,615291
13-Mar-17,4.40,4.60,4.30,4.60,281509
10-Mar-17,4.50,4.55,4.25,4.35,554354
9-Mar-17,4.45,4.55,4.38,4.45,789484
8-Mar-17,4.10,4.45,4.05,4.30,1876647
7-Mar-17,3.85,4.10,3.75,4.00,871614
6-Mar-17,3.55,3.90,3.55,3.75,448093
3-Mar-17,3.50,3.60,3.45,3.58,250561
2-Mar-17,3.60,3.60,3.50,3.50,166251
