Date,Open,High,Low,Close,Volume
28-Feb-18,24.84,25.61,24.45,24.45,818066
27-Feb-18,26.00,26.31,24.73,24.86,928961
26-Feb-18,26.05,26.47,25.29,25.95,1267581
23-Feb-18,25.48,26.17,22.89,26.02,6613942
22-Feb-18,27.51,28.69,27.11,27.41,870897
21-Feb-18,26.82,29.15,26.82,27.36,1946827
20-Feb-18,29.90,32.42,26.02,26.39,5003879
16-Feb-18,34.29,34.72,33.57,33.77,564644
15-Feb-18,35.39,35.62,33.43,34.43,1202345
14-Feb-18,33.64,35.33,33.20,35.04,526611
13-Feb-18,33.79,34.35,33.16,33.86,511676
12-Feb-18,34.51,35.32,32.72,33.81,685996
9-Feb-18,36.01,36.62,30.92,33.87,1169709
8-Feb-18,36.41,37.99,35.25,35.28,718088
7-Feb-18,36.41,36.80,35.72,36.49,571047
6-Feb-18,33.05,36.83,33.05,36.58,798297
5-Feb-18,35.62,36.96,33.51,34.47,1159026
2-Feb-18,38.15,39.00,35.91,35.96,1012541
1-Feb-18,37.80,38.73,37.13,38.44,501707
31-Jan-18,39.73,39.80,36.91,37.84,757432
30-Jan-18,38.88,40.22,37.43,39.26,681878
29-Jan-18,41.69,41.73,39.48,39.66,571538
26-Jan-18,40.99,41.74,39.89,41.73,648757
25-Jan-18,40.71,41.51,39.64,40.97,822899
24-Jan-18,43.02,44.00,38.41,40.61,3824451
23-Jan-18,38.02,43.61,38.01,42.65,1969937
22-Jan-18,38.65,41.38,38.08,40.79,1478375
19-Jan-18,37.64,38.28,37.44,38.19,475864
18-Jan-18,36.60,38.75,36.31,37.39,900257
17-Jan-18,35.83,36.93,35.25,36.64,646276
16-Jan-18,35.83,36.45,34.82,35.74,530925
12-Jan-18,35.52,36.16,34.90,35.58,424802
11-Jan-18,33.59,35.77,33.00,35.61,709157
10-Jan-18,33.99,33.99,32.67,33.56,471778
9-Jan-18,33.16,34.14,32.33,33.87,612876
8-Jan-18,34.05,34.05,31.65,32.15,1293427
5-Jan-18,34.74,34.74,33.00,34.03,668768
4-Jan-18,35.29,35.50,33.51,33.88,516657
3-Jan-18,35.65,36.66,34.88,35.27,538223
2-Jan-18,33.67,35.72,32.50,35.65,717945
29-Dec-17,35.20,35.50,33.85,33.89,522822
28-Dec-17,33.99,35.27,33.74,35.17,464871
27-Dec-17,34.29,34.53,33.41,33.98,410225
26-Dec-17,34.24,34.49,33.20,34.12,494556
