Date,Open,High,Low,Close,Volume
28-Feb-18,35.15,35.45,34.15,34.35,18309
27-Feb-18,35.80,36.45,35.10,35.10,18598
26-Feb-18,35.90,37.10,35.45,35.85,12958
23-Feb-18,36.00,36.15,35.30,36.00,11139
22-Feb-18,36.55,36.55,35.80,35.90,6311
21-Feb-18,35.60,36.75,35.15,36.35,18374
20-Feb-18,35.65,36.05,35.30,35.55,26723
16-Feb-18,36.60,36.85,35.40,35.70,16936
15-Feb-18,37.00,38.05,36.45,36.75,10505
14-Feb-18,37.80,38.65,36.70,36.70,20485
13-Feb-18,35.70,38.95,35.10,38.35,55154
12-Feb-18,36.80,36.90,35.65,35.85,12784
9-Feb-18,36.20,37.25,35.50,36.70,31770
8-Feb-18,36.75,37.00,35.80,35.85,11894
7-Feb-18,36.62,36.85,36.15,36.80,11821
6-Feb-18,35.70,37.28,35.70,36.60,27873
5-Feb-18,36.30,37.00,35.55,35.60,15302
2-Feb-18,36.75,37.30,36.40,36.50,41579
1-Feb-18,35.70,37.20,35.55,37.00,15287
31-Jan-18,36.05,37.20,35.70,35.85,42694
30-Jan-18,35.90,36.25,35.76,35.90,22984
29-Jan-18,36.35,36.85,36.05,36.30,27277
26-Jan-18,38.50,38.50,36.20,36.30,14207
25-Jan-18,36.45,37.25,36.40,37.15,10656
24-Jan-18,37.70,37.80,36.45,36.45,21634
23-Jan-18,38.45,38.68,37.30,37.75,12563
22-Jan-18,38.85,38.90,38.05,38.60,17467
19-Jan-18,37.00,39.25,36.70,39.15,25267
18-Jan-18,36.75,37.30,36.50,37.00,33208
17-Jan-18,37.40,37.67,37.10,37.55,10337
16-Jan-18,36.95,38.00,36.95,37.35,19079
12-Jan-18,37.70,37.85,36.40,36.90,26230
11-Jan-18,36.70,38.31,35.35,37.65,32713
10-Jan-18,35.75,36.75,35.75,36.65,67792
9-Jan-18,35.75,36.62,33.85,35.85,19218
8-Jan-18,35.90,36.00,35.13,35.75,20943
5-Jan-18,36.80,36.90,35.75,35.95,42061
4-Jan-18,36.30,37.00,36.10,36.75,26855
3-Jan-18,35.65,36.10,35.30,36.05,23775
2-Jan-18,34.90,36.05,34.80,35.85,26574
29-Dec-17,34.80,35.15,34.45,34.80,23750
28-Dec-17,34.50,35.00,34.11,34.75,22183
27-Dec-17,34.95,34.95,34.15,34.40,12848
26-Dec-17,34.35,35.00,34.35,34.75,19517
22-Dec-17,34.65,34.65,34.15,34.30,19859
21-Dec-17,34.25,34.95,34.25,34.70,13527
20-Dec-17,33.95,34.17,33.70,33.85,12123
19-Dec-17,33.75,34.40,33.40,33.85,28645
18-Dec-17,33.10,33.45,32.04,33.30,31184
