Date,Open,High,Low,Close,Volume
28-Feb-18,67.31,67.93,66.32,66.32,336676
27-Feb-18,67.62,68.35,66.70,66.70,796198
26-Feb-18,67.21,67.87,66.82,67.51,363182
23-Feb-18,67.27,67.90,66.34,67.23,302846
22-Feb-18,67.41,67.41,65.47,66.49,391972
21-Feb-18,67.66,67.98,66.87,67.27,489959
20-Feb-18,65.01,68.46,64.88,67.32,549798
16-Feb-18,66.36,67.35,65.54,65.56,470052
15-Feb-18,66.44,66.84,64.62,66.66,297033
14-Feb-18,63.89,66.13,63.86,65.74,374285
13-Feb-18,64.95,65.07,63.47,64.36,464055
12-Feb-18,65.15,65.79,64.16,65.16,481140
9-Feb-18,63.55,65.27,61.97,64.50,719300
8-Feb-18,64.85,65.50,62.24,62.40,579507
7-Feb-18,66.56,67.26,64.50,64.78,534044
6-Feb-18,64.26,67.59,63.34,67.03,589908
5-Feb-18,68.48,69.80,65.65,66.00,719724
2-Feb-18,71.97,72.80,69.32,69.69,423516
1-Feb-18,70.63,73.80,70.63,72.82,503675
31-Jan-18,72.75,75.50,69.21,71.13,769882
30-Jan-18,72.73,74.39,71.88,72.25,575386
29-Jan-18,73.57,74.42,71.81,74.16,481668
26-Jan-18,72.86,73.75,72.41,73.65,333077
25-Jan-18,76.01,76.01,71.85,72.09,452236
24-Jan-18,77.18,77.25,73.90,74.77,424583
23-Jan-18,77.05,77.99,76.18,77.10,324019
22-Jan-18,77.33,77.66,76.27,76.62,509714
19-Jan-18,75.79,77.75,75.39,77.53,594790
18-Jan-18,75.00,76.79,74.91,75.58,637747
17-Jan-18,72.63,75.02,72.23,75.01,654845
16-Jan-18,71.93,72.59,71.18,71.84,440768
12-Jan-18,70.96,72.05,70.34,71.23,459138
11-Jan-18,68.80,70.92,68.80,70.61,521490
10-Jan-18,68.33,69.11,67.45,68.27,587858
9-Jan-18,71.95,72.08,68.88,69.00,556790
8-Jan-18,71.80,72.63,71.02,71.64,506750
5-Jan-18,68.09,72.03,67.81,71.85,660850
4-Jan-18,68.90,69.41,67.25,67.96,843403
3-Jan-18,69.81,70.27,68.60,68.92,500128
2-Jan-18,68.05,69.89,67.62,69.41,448246
29-Dec-17,68.32,69.11,67.39,67.48,410302
28-Dec-17,69.25,69.44,68.53,68.81,185751
27-Dec-17,68.80,69.65,68.40,68.94,230519
26-Dec-17,69.49,69.91,68.32,68.77,369858
22-Dec-17,70.44,70.83,69.72,70.28,143601
21-Dec-17,71.11,71.87,69.76,70.50,287837
20-Dec-17,71.87,72.20,70.68,71.12,182384
19-Dec-17,71.73,72.64,70.85,71.04,300420
18-Dec-17,71.44,72.40,71.27,71.89,392650
15-Dec-17,69.66,72.24,69.06,71.40,640368
14-Dec-17,69.65,71.11,69.19,69.42,370568
13-Dec-17,69.25,70.50,69.14,69.65,318672
12-Dec-17,70.04,70.10,68.61,69.03,386057
11-Dec-17,68.98,70.83,68.38,70.19,589354
8-Dec-17,72.78,72.78,70.15,70.44,437573
7-Dec-17,71.93,72.46,71.30,71.91,351520
6-Dec-17,69.85,71.65,69.75,71.11,341290
5-Dec-17,69.70,72.67,69.02,70.41,468861
4-Dec-17,73.26,74.24,69.58,70.24,678237
1-Dec-17,74.61,74.75,70.11,72.55,903732
30-Nov-17,76.50,77.15,74.26,74.97,615178
29-Nov-17,83.72,84.45,75.36,75.94,759685
28-Nov-17,83.74,84.34,83.15,83.94,222009
27-Nov-17,84.75,85.13,83.26,83.26,253259
24-Nov-17,84.02,85.48,84.02,85.15,182964
22-Nov-17,85.88,86.36,83.28,83.59,207539
21-Nov-17,83.85,85.93,83.85,85.61,354661
20-Nov-17,82.70,84.26,82.23,83.93,290158
17-Nov-17,83.36,83.86,81.83,82.03,479992
16-Nov-17,81.78,83.88,81.78,83.12,398331
15-Nov-17,81.85,82.48,78.90,81.11,511187
14-Nov-17,83.01,83.81,81.95,82.47,397421
13-Nov-17,83.00,83.94,82.46,83.59,360223
10-Nov-17,83.46,85.93,83.00,83.66,291665
9-Nov-17,86.62,87.03,82.75,84.50,443811
8-Nov-17,84.64,87.38,84.25,87.34,467182
7-Nov-17,84.71,86.18,84.46,85.06,355183
6-Nov-17,83.05,84.81,82.26,84.73,397737
3-Nov-17,83.36,84.25,82.67,83.20,451898
2-Nov-17,81.97,83.42,81.02,83.31,529373
1-Nov-17,85.78,86.46,80.67,81.98,907263
31-Oct-17,90.25,91.08,81.10,84.72,1960841
30-Oct-17,94.32,95.00,92.00,93.64,655565
27-Oct-17,92.55,94.36,90.86,94.25,596162
26-Oct-17,91.14,92.02,90.22,91.43,411525
25-Oct-17,91.29,91.76,88.73,90.78,331534
24-Oct-17,90.42,92.10,90.31,91.58,351125
