Date,Open,High,Low,Close,Volume
28-Feb-18,1.31,1.33,1.31,1.33,1184
27-Feb-18,1.31,1.34,1.31,1.33,11488
26-Feb-18,1.34,1.34,1.31,1.31,19835
23-Feb-18,1.35,1.35,1.34,1.34,513
22-Feb-18,1.32,1.34,1.32,1.33,3588
21-Feb-18,1.34,1.37,1.34,1.37,1430
20-Feb-18,1.39,1.39,1.36,1.36,834
16-Feb-18,1.36,1.37,1.31,1.36,24719
15-Feb-18,1.37,1.37,1.34,1.34,1475
14-Feb-18,1.33,1.37,1.33,1.37,5188
13-Feb-18,1.38,1.38,1.33,1.35,96028
12-Feb-18,1.40,1.46,1.39,1.41,55771
9-Feb-18,1.40,1.42,1.39,1.40,6370
8-Feb-18,1.44,1.44,1.41,1.41,922
7-Feb-18,1.40,1.43,1.40,1.41,5299
6-Feb-18,1.40,1.43,1.39,1.40,38071
5-Feb-18,1.46,1.49,1.41,1.44,49039
2-Feb-18,1.50,1.51,1.44,1.49,25192
1-Feb-18,1.46,1.52,1.45,1.52,10871
31-Jan-18,1.50,1.55,1.45,1.48,28813
30-Jan-18,1.47,1.49,1.46,1.47,2912
29-Jan-18,1.50,1.50,1.46,1.46,9392
26-Jan-18,1.48,1.48,1.45,1.48,4022
25-Jan-18,1.48,1.49,1.45,1.46,8790
24-Jan-18,1.47,1.50,1.45,1.46,19836
23-Jan-18,1.46,1.54,1.46,1.47,6956
22-Jan-18,1.44,1.50,1.43,1.46,36289
19-Jan-18,1.47,1.57,1.45,1.47,68052
18-Jan-18,1.47,1.47,1.43,1.47,4270
17-Jan-18,1.48,1.50,1.42,1.44,30069
16-Jan-18,1.50,1.50,1.46,1.47,7463
12-Jan-18,1.49,1.52,1.43,1.48,61115
11-Jan-18,1.49,1.50,1.46,1.48,22552
10-Jan-18,1.44,1.48,1.44,1.44,7205
9-Jan-18,1.44,1.49,1.44,1.47,10256
8-Jan-18,1.49,1.49,1.42,1.48,35014
5-Jan-18,1.43,1.45,1.42,1.45,25769
4-Jan-18,1.44,1.48,1.42,1.44,25543
3-Jan-18,1.47,1.50,1.43,1.45,18066
2-Jan-18,1.48,1.57,1.42,1.47,86550
29-Dec-17,1.43,1.55,1.42,1.47,112089
28-Dec-17,1.44,1.45,1.42,1.43,6814
27-Dec-17,1.41,1.46,1.41,1.44,14956
26-Dec-17,1.44,1.45,1.41,1.44,35289
22-Dec-17,1.42,1.44,1.41,1.43,18562
21-Dec-17,1.46,1.46,1.43,1.44,12929
20-Dec-17,1.44,1.48,1.43,1.43,20945
19-Dec-17,1.46,1.47,1.42,1.46,17272
18-Dec-17,1.50,1.57,1.41,1.44,120366
15-Dec-17,1.42,1.61,1.41,1.54,272794
14-Dec-17,1.50,2.33,1.46,1.48,1875643
13-Dec-17,1.47,1.47,1.44,1.44,815
12-Dec-17,1.48,1.48,1.48,1.48,202
11-Dec-17,1.46,1.46,1.43,1.43,6532
8-Dec-17,1.46,1.48,1.46,1.48,895
7-Dec-17,1.44,1.45,1.44,1.45,1946
6-Dec-17,1.45,1.47,1.44,1.44,1254
5-Dec-17,1.44,1.48,1.44,1.48,3163
4-Dec-17,1.49,1.49,1.43,1.45,5216
1-Dec-17,1.45,1.49,1.43,1.49,2012
30-Nov-17,1.47,1.50,1.47,1.50,895
29-Nov-17,1.48,1.48,1.48,1.48,350
28-Nov-17,1.46,1.50,1.46,1.50,1980
27-Nov-17,1.45,1.47,1.45,1.47,6245
24-Nov-17,1.45,1.46,1.45,1.46,625
22-Nov-17,1.45,1.46,1.44,1.45,13562
21-Nov-17,1.44,1.47,1.44,1.46,6869
20-Nov-17,1.44,1.48,1.44,1.48,13354
17-Nov-17,1.42,1.44,1.41,1.44,4209
16-Nov-17,1.41,1.42,1.41,1.42,1890
15-Nov-17,1.42,1.42,1.40,1.42,5688
14-Nov-17,1.42,1.44,1.42,1.44,483
13-Nov-17,1.40,1.41,1.40,1.41,5147
10-Nov-17,1.40,1.44,1.40,1.42,3805
9-Nov-17,1.40,1.41,1.40,1.40,3758
8-Nov-17,1.40,1.40,1.40,1.40,713
7-Nov-17,1.41,1.41,1.40,1.41,6832
6-Nov-17,1.41,1.43,1.41,1.41,4471
3-Nov-17,1.40,1.45,1.39,1.45,5228
2-Nov-17,1.44,1.45,1.40,1.43,3921
1-Nov-17,1.42,1.43,1.39,1.42,13149
31-Oct-17,1.46,1.46,1.42,1.46,8315
30-Oct-17,1.47,1.49,1.47,1.47,29806
27-Oct-17,1.48,1.48,1.47,1.48,4058
26-Oct-17,1.49,1.49,1.47,1.48,2162
25-Oct-17,1.48,1.48,1.48,1.48,870
24-Oct-17,1.50,1.50,1.47,1.48,14588
23-Oct-17,1.50,1.50,1.47,1.49,1749
20-Oct-17,1.51,1.52,1.48,1.48,4745
19-Oct-17,1.50,1.50,1.47,1.47,13273
18-Oct-17,1.50,1.51,1.50,1.51,4913
17-Oct-17,1.52,1.54,1.51,1.52,17904
16-Oct-17,1.53,1.54,1.52,1.53,7171
13-Oct-17,1.50,1.53,1.50,1.52,5048
12-Oct-17,1.54,1.54,1.50,1.50,11561
11-Oct-17,1.47,1.55,1.47,1.52,27594
10-Oct-17,1.49,1.50,1.47,1.49,23000
9-Oct-17,1.46,1.48,1.46,1.48,5408
6-Oct-17,1.41,1.47,1.41,1.47,3255
5-Oct-17,1.46,1.50,1.41,1.45,24963
4-Oct-17,1.41,1.50,1.41,1.48,23815
3-Oct-17,1.44,1.44,1.38,1.40,11699
2-Oct-17,1.38,1.49,1.38,1.46,7430
29-Sep-17,1.41,1.41,1.37,1.38,13692
28-Sep-17,1.40,1.42,1.40,1.41,5725
27-Sep-17,1.42,1.43,1.42,1.42,10225
26-Sep-17,1.42,1.42,1.40,1.40,8329
25-Sep-17,1.45,1.46,1.42,1.42,1127
22-Sep-17,1.41,1.46,1.41,1.45,1714
21-Sep-17,1.41,1.45,1.40,1.42,4118
20-Sep-17,1.46,1.47,1.39,1.43,17185
19-Sep-17,1.45,1.46,1.40,1.45,5172
18-Sep-17,1.41,1.46,1.40,1.45,4447
15-Sep-17,1.45,1.45,1.40,1.40,12610
14-Sep-17,1.44,1.45,1.41,1.43,4290
13-Sep-17,1.40,1.46,1.40,1.43,16329
12-Sep-17,1.45,1.48,1.41,1.42,16848
11-Sep-17,1.49,1.49,1.47,1.48,17100
8-Sep-17,1.48,1.49,1.44,1.48,4324
7-Sep-17,1.42,1.50,1.42,1.47,3870
6-Sep-17,1.47,1.51,1.43,1.43,13163
5-Sep-17,1.51,1.54,1.46,1.47,11649
1-Sep-17,1.45,1.50,1.44,1.49,5979
31-Aug-17,1.54,1.54,1.45,1.45,10358
30-Aug-17,1.55,1.55,1.50,1.50,30987
29-Aug-17,1.52,1.54,1.52,1.54,8008
28-Aug-17,1.50,1.53,1.46,1.51,15601
25-Aug-17,1.40,1.49,1.40,1.47,36946
24-Aug-17,1.35,1.38,1.32,1.33,12180
23-Aug-17,1.36,1.39,1.34,1.35,22124
22-Aug-17,1.37,1.38,1.36,1.38,8177
21-Aug-17,1.44,1.44,1.36,1.40,41606
18-Aug-17,1.37,1.44,1.35,1.44,2622
17-Aug-17,1.43,1.44,1.34,1.38,59756
16-Aug-17,1.43,1.46,1.41,1.41,45943
15-Aug-17,1.46,1.47,1.42,1.43,31719
14-Aug-17,1.51,1.51,1.44,1.48,65123
11-Aug-17,1.51,1.52,1.51,1.51,34340
10-Aug-17,1.53,1.53,1.51,1.52,4986
9-Aug-17,1.53,1.53,1.51,1.51,10415
8-Aug-17,1.56,1.56,1.51,1.56,5263
7-Aug-17,1.53,1.54,1.52,1.52,10473
4-Aug-17,1.59,1.59,1.53,1.54,1954
3-Aug-17,1.61,1.61,1.52,1.55,12959
2-Aug-17,1.58,1.63,1.52,1.63,10352
1-Aug-17,1.55,1.61,1.53,1.57,14442
31-Jul-17,1.56,1.61,1.52,1.53,23961
28-Jul-17,1.63,1.68,1.50,1.59,107232
27-Jul-17,1.53,1.70,1.50,1.60,145304
26-Jul-17,1.52,1.54,1.51,1.51,3003
25-Jul-17,1.51,1.53,1.50,1.52,18449
24-Jul-17,1.52,1.53,1.50,1.50,41573
21-Jul-17,1.51,1.53,1.48,1.52,23264
20-Jul-17,1.52,1.55,1.52,1.53,25081
19-Jul-17,1.53,1.54,1.52,1.54,35126
18-Jul-17,1.56,1.56,1.53,1.54,14511
17-Jul-17,1.55,1.56,1.55,1.55,3502
14-Jul-17,1.57,1.58,1.53,1.55,38724
13-Jul-17,1.57,1.58,1.56,1.57,15097
12-Jul-17,1.58,1.59,1.57,1.57,3251
11-Jul-17,1.57,1.59,1.57,1.58,3113
10-Jul-17,1.59,1.59,1.56,1.58,22970
7-Jul-17,1.58,1.62,1.58,1.59,9381
6-Jul-17,1.63,1.63,1.58,1.58,28734
5-Jul-17,1.62,1.69,1.62,1.62,6683
3-Jul-17,1.63,1.63,1.60,1.62,18190
30-Jun-17,1.61,1.62,1.59,1.61,11138
29-Jun-17,1.62,1.63,1.61,1.61,9302
28-Jun-17,1.66,1.69,1.62,1.62,1873
27-Jun-17,1.66,1.67,1.61,1.61,8285
26-Jun-17,1.61,1.61,1.60,1.60,10717
23-Jun-17,1.59,1.61,1.58,1.61,12696
22-Jun-17,1.60,1.61,1.58,1.58,10118
21-Jun-17,1.61,1.61,1.59,1.61,33143
20-Jun-17,1.62,1.65,1.60,1.60,28555
19-Jun-17,1.63,1.65,1.63,1.65,9387
16-Jun-17,1.65,1.66,1.63,1.63,10736
15-Jun-17,1.64,1.67,1.64,1.67,1851
14-Jun-17,1.65,1.70,1.63,1.65,28954
13-Jun-17,1.65,1.66,1.64,1.64,1401
12-Jun-17,1.64,1.68,1.64,1.66,7364
9-Jun-17,1.64,1.70,1.64,1.64,28060
8-Jun-17,1.66,1.66,1.64,1.65,15188
7-Jun-17,1.65,1.70,1.64,1.65,7820
6-Jun-17,1.67,1.67,1.65,1.67,47687
5-Jun-17,1.66,1.67,1.65,1.67,4716
2-Jun-17,1.65,1.69,1.65,1.66,17441
1-Jun-17,1.70,1.73,1.65,1.67,84673
31-May-17,1.70,1.71,1.67,1.70,7546
30-May-17,1.70,1.71,1.70,1.70,4620
26-May-17,1.65,1.68,1.64,1.68,9263
25-May-17,1.68,1.68,1.65,1.65,16932
24-May-17,1.68,1.69,1.68,1.68,3149
23-May-17,1.67,1.68,1.67,1.68,12403
22-May-17,1.70,1.72,1.70,1.70,19581
19-May-17,1.69,1.73,1.69,1.72,7550
18-May-17,1.70,1.71,1.68,1.68,4984
17-May-17,1.73,1.73,1.70,1.70,17619
16-May-17,1.73,1.75,1.73,1.74,12043
15-May-17,1.76,1.77,1.72,1.75,35005
12-May-17,1.77,1.79,1.77,1.77,23002
11-May-17,1.76,1.77,1.76,1.77,1545
10-May-17,1.77,1.77,1.76,1.77,14412
9-May-17,1.80,1.80,1.77,1.78,3033
8-May-17,1.80,1.81,1.79,1.79,14079
5-May-17,1.80,1.81,1.80,1.80,5930
4-May-17,1.79,1.81,1.77,1.79,4072
3-May-17,1.79,1.79,1.78,1.79,1725
2-May-17,1.78,1.80,1.78,1.79,6854
1-May-17,1.80,1.80,1.75,1.77,20265
28-Apr-17,1.78,1.81,1.78,1.80,1492
27-Apr-17,1.78,1.80,1.78,1.80,7929
26-Apr-17,1.80,1.81,1.78,1.79,22311
25-Apr-17,1.77,1.81,1.73,1.78,32027
24-Apr-17,1.88,1.88,1.77,1.79,4607
21-Apr-17,1.78,1.80,1.76,1.79,7457
20-Apr-17,1.81,1.81,1.79,1.79,6568
19-Apr-17,1.79,1.80,1.79,1.80,12813
18-Apr-17,1.82,1.83,1.77,1.78,5786
17-Apr-17,1.81,1.86,1.80,1.80,6365
13-Apr-17,1.80,1.88,1.80,1.80,16536
12-Apr-17,1.83,1.85,1.80,1.80,18116
11-Apr-17,1.89,1.89,1.84,1.84,3074
10-Apr-17,1.87,1.92,1.84,1.87,6670
7-Apr-17,1.85,1.85,1.80,1.84,15959
6-Apr-17,1.82,1.86,1.82,1.86,4262
5-Apr-17,1.83,1.83,1.80,1.81,29101
4-Apr-17,1.85,1.91,1.82,1.84,19270
3-Apr-17,1.89,1.89,1.85,1.85,15093
31-Mar-17,1.93,1.93,1.89,1.90,13030
30-Mar-17,1.87,1.91,1.87,1.91,11244
29-Mar-17,1.88,1.90,1.85,1.88,23484
28-Mar-17,1.93,1.96,1.91,1.93,15457
27-Mar-17,1.93,1.95,1.92,1.95,11756
24-Mar-17,1.95,1.97,1.94,1.97,14381
23-Mar-17,2.02,2.02,1.80,1.93,44638
22-Mar-17,2.08,2.08,1.97,2.00,32629
21-Mar-17,2.04,2.05,2.00,2.03,40592
20-Mar-17,2.00,2.05,1.95,2.01,73422
17-Mar-17,1.97,2.00,1.92,1.94,38039
16-Mar-17,1.89,1.97,1.89,1.93,63514
