Date,Open,High,Low,Close,Volume
28-Feb-18,68.70,69.00,67.46,67.46,1040242
27-Feb-18,68.50,68.93,67.39,68.24,1259023
26-Feb-18,67.56,69.00,67.56,68.60,1347111
23-Feb-18,66.52,67.37,66.38,67.36,929865
22-Feb-18,66.42,67.11,66.04,66.25,1060143
21-Feb-18,66.97,67.78,66.28,66.32,1771067
20-Feb-18,66.52,67.37,66.28,66.77,1444080
16-Feb-18,67.00,67.95,66.82,66.89,1170537
15-Feb-18,66.81,67.43,66.61,67.40,1673764
14-Feb-18,64.57,67.15,64.50,66.87,1974305
13-Feb-18,64.55,65.03,64.42,64.49,1625640
12-Feb-18,64.65,65.47,63.90,64.93,1609848
9-Feb-18,63.05,64.63,61.00,64.13,2452611
8-Feb-18,64.79,64.96,62.46,62.49,2481385
7-Feb-18,67.75,68.65,64.31,64.48,9634937
6-Feb-18,61.70,64.04,61.41,63.67,3249136
5-Feb-18,65.34,66.00,62.69,62.81,2148223
2-Feb-18,67.28,67.30,65.37,65.72,1650847
1-Feb-18,66.42,67.90,65.75,67.56,1440142
31-Jan-18,67.00,68.30,66.59,66.99,1965934
30-Jan-18,66.56,67.20,65.98,66.56,1878580
29-Jan-18,67.39,67.73,66.98,67.25,1318783
26-Jan-18,67.10,67.87,66.97,67.62,1507761
25-Jan-18,66.41,67.15,65.95,66.87,1306046
24-Jan-18,66.28,66.46,65.85,66.02,1197759
23-Jan-18,65.65,66.40,65.65,66.00,1004782
22-Jan-18,65.41,65.65,65.03,65.65,1330311
19-Jan-18,65.30,65.87,65.07,65.63,1370301
18-Jan-18,65.04,65.43,64.91,65.08,971649
17-Jan-18,64.94,65.40,64.53,65.40,1144932
16-Jan-18,65.53,65.56,64.18,64.50,3788277
12-Jan-18,65.32,65.66,65.07,65.52,1083361
11-Jan-18,65.33,65.91,64.36,65.21,2858864
10-Jan-18,67.56,67.97,66.25,66.33,2098469
9-Jan-18,65.75,69.56,65.27,67.49,4529854
8-Jan-18,65.95,66.09,65.21,65.88,1185988
5-Jan-18,65.70,65.86,65.46,65.83,1055977
4-Jan-18,66.16,66.25,65.44,65.60,1870571
3-Jan-18,65.27,66.00,65.10,65.94,2287733
2-Jan-18,65.13,65.94,64.70,65.56,1426411
29-Dec-17,65.50,65.65,65.01,65.04,882138
28-Dec-17,65.29,65.55,64.92,65.43,1345186
27-Dec-17,65.40,65.50,64.86,65.19,1280896
26-Dec-17,65.58,65.87,65.04,65.42,2979817
22-Dec-17,65.76,66.32,65.24,65.45,1666392
21-Dec-17,66.43,66.77,65.66,65.84,2273506
20-Dec-17,67.45,67.57,66.52,66.63,3078607
19-Dec-17,65.87,67.71,65.10,66.82,5788127
18-Dec-17,66.33,68.03,64.83,65.67,15351273
15-Dec-17,56.90,57.99,56.72,57.76,10679482
14-Dec-17,56.79,57.22,56.73,56.76,1750115
13-Dec-17,56.98,57.18,56.56,56.66,2633169
12-Dec-17,56.73,57.12,56.50,57.02,1605314
11-Dec-17,56.59,57.01,56.31,56.55,2094682
8-Dec-17,56.75,57.12,56.37,56.50,1804460
7-Dec-17,55.65,56.51,55.51,56.44,1555390
6-Dec-17,55.88,56.55,55.51,55.77,1727397
5-Dec-17,56.78,56.86,56.15,56.44,1914781
4-Dec-17,55.93,56.95,55.65,56.44,2517501
1-Dec-17,55.43,55.88,54.74,55.79,2329258
30-Nov-17,55.03,56.20,55.03,55.78,2262285
29-Nov-17,55.70,56.04,55.06,55.34,1824465
28-Nov-17,56.16,56.16,54.91,55.36,2516402
27-Nov-17,55.25,55.72,54.39,55.35,4296969
24-Nov-17,56.00,56.00,55.59,55.79,435112
22-Nov-17,55.73,56.00,55.52,55.69,1701987
21-Nov-17,55.61,55.70,55.35,55.68,1135170
20-Nov-17,55.60,55.60,55.00,55.38,1921875
17-Nov-17,55.37,55.56,55.18,55.44,3895119
16-Nov-17,54.21,55.30,53.92,55.26,2761466
15-Nov-17,53.50,54.14,53.34,54.01,2435602
14-Nov-17,53.43,53.87,53.08,53.75,1682775
13-Nov-17,54.11,54.23,53.46,53.52,3014742
10-Nov-17,53.80,54.32,53.70,54.26,1976354
9-Nov-17,53.66,53.87,53.01,53.85,1790258
8-Nov-17,53.85,53.93,53.23,53.76,1437890
7-Nov-17,54.00,54.02,53.50,53.76,1655749
6-Nov-17,53.12,53.76,52.92,53.74,1304839
3-Nov-17,52.26,53.10,52.02,53.01,1608695
2-Nov-17,52.55,52.61,51.79,52.29,1552882
1-Nov-17,52.70,53.07,52.34,52.69,1610417
31-Oct-17,52.40,52.60,52.20,52.25,1752756
30-Oct-17,53.11,53.13,52.15,52.46,2073626
27-Oct-17,53.96,54.01,52.29,53.00,2811536
26-Oct-17,54.02,54.65,52.88,53.34,3689642
25-Oct-17,55.65,56.85,53.84,54.00,10270117
24-Oct-17,51.50,52.09,50.96,51.91,4786329
23-Oct-17,51.89,52.09,51.41,51.46,2695413
20-Oct-17,51.86,52.10,51.63,51.87,1901168
19-Oct-17,50.92,51.68,50.83,51.65,1277996
18-Oct-17,50.70,51.19,50.56,51.00,1319405
17-Oct-17,50.65,50.92,50.39,50.58,911521
16-Oct-17,50.84,51.10,50.70,50.73,1425760
13-Oct-17,50.66,50.89,50.58,50.76,1509481
12-Oct-17,50.41,50.93,50.22,50.52,1171001
11-Oct-17,49.86,50.52,49.59,50.52,2436994
10-Oct-17,50.73,51.11,50.59,51.03,1025272
9-Oct-17,50.59,50.59,50.10,50.31,1186862
6-Oct-17,50.70,50.87,50.21,50.63,1353258
5-Oct-17,50.60,50.86,50.34,50.78,1409547
4-Oct-17,50.49,50.70,50.26,50.50,1373249
3-Oct-17,50.14,50.64,49.91,50.50,1798164
2-Oct-17,49.35,50.08,48.72,50.00,2610272
29-Sep-17,47.59,48.82,47.58,48.72,1821282
28-Sep-17,47.62,47.71,46.97,47.68,1780552
27-Sep-17,48.12,48.13,47.44,47.75,1422936
26-Sep-17,48.21,48.34,47.76,47.83,1872901
25-Sep-17,48.20,48.60,47.44,47.92,2562561
22-Sep-17,47.26,48.38,47.01,48.33,1657146
21-Sep-17,47.59,47.89,47.50,47.52,1110539
20-Sep-17,47.69,47.90,47.34,47.67,1405979
19-Sep-17,47.77,47.82,47.29,47.69,1699478
18-Sep-17,47.39,47.91,47.36,47.57,1397355
15-Sep-17,46.56,47.36,46.49,47.34,2697554
14-Sep-17,46.57,46.66,46.13,46.60,1521098
13-Sep-17,46.74,46.91,46.53,46.68,1133846
12-Sep-17,46.45,46.98,46.26,46.80,1306436
11-Sep-17,46.29,46.62,46.22,46.47,1364320
8-Sep-17,46.00,46.95,45.94,46.00,1691242
7-Sep-17,46.98,47.00,46.61,46.80,1472448
6-Sep-17,46.23,46.97,46.10,46.89,1566359
5-Sep-17,46.86,47.00,45.81,46.17,1647153
1-Sep-17,47.28,47.65,47.05,47.08,1149430
31-Aug-17,46.63,47.35,46.53,47.15,1721387
30-Aug-17,45.72,46.53,45.64,46.47,1820729
29-Aug-17,44.81,45.86,44.71,45.71,1986532
28-Aug-17,45.06,45.25,44.91,45.14,1111360
25-Aug-17,45.49,45.49,44.95,44.98,1760730
24-Aug-17,45.51,45.67,45.10,45.23,1202555
23-Aug-17,45.55,45.76,45.32,45.42,1141795
22-Aug-17,45.04,45.89,45.04,45.81,1285985
21-Aug-17,45.29,45.39,44.65,44.91,1318162
18-Aug-17,45.46,45.86,45.18,45.36,1378991
17-Aug-17,46.39,46.40,45.37,45.40,1517563
16-Aug-17,46.41,46.74,45.87,46.29,1722707
15-Aug-17,46.82,47.09,46.13,46.34,1686679
14-Aug-17,46.59,47.29,46.46,46.82,1997012
11-Aug-17,46.38,46.62,46.18,46.37,1422763
10-Aug-17,47.05,47.20,46.31,46.31,1848963
9-Aug-17,47.18,47.86,46.74,47.40,1627532
8-Aug-17,47.17,47.68,46.90,47.27,1443087
7-Aug-17,47.96,47.98,47.22,47.31,1580112
4-Aug-17,48.09,48.42,47.81,47.87,1393993
3-Aug-17,47.56,48.19,47.46,48.04,1871311
2-Aug-17,47.43,47.56,46.95,47.51,1763754
1-Aug-17,47.43,47.63,47.12,47.53,1984444
31-Jul-17,46.97,47.28,46.25,47.14,2575847
28-Jul-17,46.06,47.26,45.90,46.89,2993447
27-Jul-17,45.67,46.99,45.41,46.01,4634838
26-Jul-17,49.95,50.00,45.41,45.49,15168502
25-Jul-17,52.36,53.45,52.08,53.28,3503283
24-Jul-17,52.15,52.45,52.04,52.37,1615375
21-Jul-17,52.25,52.45,51.81,52.13,1303086
20-Jul-17,52.10,52.64,51.80,52.36,1377155
19-Jul-17,51.63,52.24,51.58,52.10,1195547
18-Jul-17,51.69,51.83,51.19,51.53,1742288
17-Jul-17,50.89,52.46,50.89,51.77,2520351
14-Jul-17,50.20,50.68,50.10,50.62,1187125
13-Jul-17,50.64,50.64,50.06,50.08,1085583
12-Jul-17,50.14,50.83,50.07,50.55,1508855
11-Jul-17,49.63,50.27,49.50,49.83,1005221
10-Jul-17,49.31,49.78,49.11,49.65,1472542
7-Jul-17,49.55,50.13,49.18,49.24,2019948
6-Jul-17,50.63,50.63,49.27,49.36,2523928
5-Jul-17,50.27,51.02,50.01,50.95,1770144
3-Jul-17,50.15,50.73,50.01,50.09,959422
30-Jun-17,50.53,50.53,49.64,49.81,1545754
29-Jun-17,50.28,50.45,49.13,50.24,2711759
28-Jun-17,50.26,50.80,50.06,50.63,1171154
27-Jun-17,50.73,51.14,50.00,50.00,1778857
26-Jun-17,51.30,51.65,50.50,50.87,1569546
23-Jun-17,50.12,51.51,49.92,51.30,6358993
22-Jun-17,49.19,50.61,48.97,50.02,2648922
21-Jun-17,48.78,49.34,48.43,49.28,1502896
20-Jun-17,49.47,49.68,48.61,48.64,1320403
19-Jun-17,49.86,50.24,49.34,49.49,1925921
16-Jun-17,48.92,49.57,48.50,49.50,5036206
15-Jun-17,48.88,49.36,48.71,49.19,1502404
14-Jun-17,49.84,49.95,48.97,49.25,1859946
13-Jun-17,49.96,50.65,49.56,49.63,2209669
12-Jun-17,47.84,49.65,47.66,49.52,2931115
9-Jun-17,49.12,49.33,47.64,48.13,1958434
8-Jun-17,48.55,48.94,48.30,48.91,1371431
7-Jun-17,48.49,48.75,48.19,48.54,2338531
6-Jun-17,48.89,49.06,48.35,48.45,1697406
5-Jun-17,48.45,49.06,48.39,48.91,1918381
2-Jun-17,48.69,48.79,48.07,48.53,2031031
1-Jun-17,47.23,48.32,47.08,48.30,1923890
31-May-17,47.52,47.56,46.81,47.15,1991244
30-May-17,47.29,47.67,47.05,47.43,1617691
26-May-17,48.00,48.17,47.14,47.39,1446053
25-May-17,47.68,48.40,47.56,48.06,3859733
24-May-17,47.54,47.92,47.16,47.62,1957835
23-May-17,47.86,47.91,47.32,47.41,2326002
22-May-17,47.60,47.99,47.58,47.75,1704906
19-May-17,47.18,47.66,47.05,47.38,2788526
18-May-17,47.50,47.70,46.90,47.00,4305810
17-May-17,48.80,48.85,47.46,47.50,4037600
16-May-17,50.07,50.24,49.12,49.15,2783502
15-May-17,49.50,50.07,49.50,49.83,2662230
12-May-17,49.60,49.82,49.28,49.43,2287084
11-May-17,49.76,50.07,49.42,49.85,2698379
10-May-17,50.47,50.50,49.65,49.85,3708313
9-May-17,50.48,50.71,50.16,50.40,4523834
8-May-17,52.09,52.17,50.12,50.17,5951968
5-May-17,52.86,52.86,51.80,52.13,3882009
4-May-17,53.13,54.04,52.78,52.86,4593535
3-May-17,53.90,54.86,52.01,52.80,15062973
2-May-17,61.59,62.58,60.97,62.50,3000773
1-May-17,61.19,61.79,60.77,61.48,1597529
28-Apr-17,59.79,60.96,59.53,60.94,1767750
27-Apr-17,60.34,60.43,58.96,59.75,4224075
26-Apr-17,61.81,62.43,61.57,62.24,1155722
25-Apr-17,61.42,61.86,61.33,61.80,1745750
24-Apr-17,60.86,61.73,60.79,61.39,1954289
21-Apr-17,60.39,60.52,60.01,60.28,843146
20-Apr-17,59.87,60.55,59.65,60.20,1558110
19-Apr-17,59.00,59.91,58.96,59.68,1860380
18-Apr-17,58.77,59.30,58.72,58.95,1004756
17-Apr-17,59.07,59.20,58.69,58.82,1152312
13-Apr-17,58.83,59.20,58.51,58.80,1437697
12-Apr-17,58.83,59.09,58.54,58.88,1413691
11-Apr-17,58.62,59.23,58.43,59.01,2130245
10-Apr-17,58.36,58.82,57.99,58.51,1974447
7-Apr-17,58.65,58.74,58.00,58.10,2256905
6-Apr-17,59.07,59.70,58.39,58.75,1902512
5-Apr-17,59.30,59.73,58.65,58.80,1982841
4-Apr-17,58.19,59.41,58.19,59.30,4459654
3-Apr-17,59.74,59.99,57.86,58.10,3522721
31-Mar-17,60.56,60.91,59.50,59.70,3600890
30-Mar-17,63.17,64.07,60.37,60.53,6001102
29-Mar-17,63.28,63.70,63.08,63.44,2068314
28-Mar-17,63.06,63.61,63.00,63.25,2299231
27-Mar-17,62.88,63.44,62.51,63.09,1836706
24-Mar-17,63.82,64.31,63.46,63.63,1008272
23-Mar-17,63.69,64.42,63.40,63.66,980728
22-Mar-17,63.14,63.76,62.93,63.68,921366
21-Mar-17,65.41,65.65,62.92,62.95,2295918
20-Mar-17,64.96,65.04,64.33,64.86,922432
17-Mar-17,64.94,65.22,64.62,65.00,2912911
16-Mar-17,64.71,64.93,64.43,64.63,1083760
15-Mar-17,64.00,64.56,63.39,64.39,1327778
14-Mar-17,64.53,64.95,63.54,63.63,1197993
13-Mar-17,64.34,65.20,64.18,64.59,1341265
10-Mar-17,64.37,64.74,63.76,64.22,1259832
9-Mar-17,63.64,64.35,63.40,64.20,1336622
8-Mar-17,63.30,63.85,62.96,63.55,1292691
7-Mar-17,63.10,64.52,63.10,63.30,1658780
6-Mar-17,63.16,63.25,62.83,63.06,1067045
3-Mar-17,63.55,63.55,63.13,63.36,1325819
2-Mar-17,63.24,64.50,63.07,63.79,2158360
