Date,Open,High,Low,Close,Volume
28-Feb-18,11.20,11.29,10.07,10.43,1810059
27-Feb-18,11.06,11.29,10.91,10.94,588526
26-Feb-18,10.99,11.16,10.92,11.06,619229
23-Feb-18,10.87,11.04,10.73,10.99,609075
22-Feb-18,10.85,11.20,10.80,10.82,482439
21-Feb-18,10.67,11.05,10.67,10.92,880326
20-Feb-18,10.89,10.96,10.55,10.75,1000523
16-Feb-18,10.80,11.25,10.80,10.92,980512
15-Feb-18,10.93,11.19,10.75,10.85,795722
14-Feb-18,11.15,11.25,10.73,10.91,918944
13-Feb-18,10.82,11.02,10.55,10.98,428901
12-Feb-18,10.69,11.15,10.63,10.85,656601
9-Feb-18,10.78,10.89,9.83,10.54,1251400
8-Feb-18,11.14,11.19,10.64,10.64,946768
7-Feb-18,11.10,11.17,10.65,11.11,1286689
6-Feb-18,10.00,10.86,9.88,10.79,1243300
5-Feb-18,10.70,10.93,10.16,10.23,1602508
2-Feb-18,11.13,11.19,10.73,10.74,1150554
1-Feb-18,11.00,11.39,10.81,11.14,1019673
31-Jan-18,12.31,12.33,10.93,10.97,2138406
30-Jan-18,11.65,12.93,11.50,12.17,4742178
29-Jan-18,10.82,11.31,10.70,11.06,1033916
26-Jan-18,11.08,11.20,10.71,10.81,856100
25-Jan-18,11.44,11.46,10.97,11.05,1013932
24-Jan-18,11.42,11.54,11.00,11.31,810658
23-Jan-18,11.58,11.58,11.30,11.37,953136
22-Jan-18,11.89,11.89,11.39,11.54,942741
19-Jan-18,11.54,11.65,11.41,11.54,455982
18-Jan-18,11.73,11.97,11.53,11.59,839734
17-Jan-18,11.60,11.92,11.46,11.83,841497
16-Jan-18,12.11,12.34,11.57,11.58,1269911
12-Jan-18,12.45,12.51,11.80,11.94,1355573
11-Jan-18,11.59,12.45,11.30,12.42,1260839
10-Jan-18,11.11,11.75,10.81,11.66,1152850
9-Jan-18,11.50,11.60,11.13,11.15,1135631
8-Jan-18,11.72,11.80,11.35,11.44,1055807
