Date,Open,High,Low,Close,Volume
28-Feb-18,12.66,12.73,12.10,12.11,43387460
27-Feb-18,12.43,12.88,12.39,12.53,55975268
26-Feb-18,12.14,12.43,12.05,12.42,42265208
23-Feb-18,11.95,12.16,11.94,12.07,33317579
22-Feb-18,11.82,12.00,11.63,11.84,37886263
21-Feb-18,12.12,12.12,11.72,11.72,40195847
20-Feb-18,11.72,12.19,11.71,12.02,47096492
16-Feb-18,12.11,12.22,11.82,11.82,47332348
15-Feb-18,12.40,12.62,12.07,12.19,59593761
14-Feb-18,11.72,12.31,11.63,12.20,51756817
13-Feb-18,11.60,11.82,11.53,11.78,33661383
12-Feb-18,11.47,11.80,11.43,11.68,63160875
9-Feb-18,11.54,11.57,10.63,11.31,85458235
8-Feb-18,11.72,11.85,11.21,11.22,56471761
7-Feb-18,11.70,11.90,11.53,11.60,55758364
6-Feb-18,11.04,11.74,11.00,11.65,87123202
5-Feb-18,12.05,12.18,10.93,11.57,116568862
2-Feb-18,13.05,13.06,12.43,12.45,79432558
1-Feb-18,13.62,13.84,13.21,13.25,67543333
31-Jan-18,13.24,13.85,13.15,13.74,140977843
30-Jan-18,13.12,13.27,12.69,12.87,91236383
29-Jan-18,13.13,13.47,13.05,13.32,66645418
26-Jan-18,12.70,12.95,12.62,12.95,44238971
25-Jan-18,12.78,12.94,12.32,12.41,42966567
24-Jan-18,13.02,13.05,12.60,12.71,41956439
23-Jan-18,12.82,13.00,12.76,12.94,46417226
22-Jan-18,12.61,12.74,12.37,12.65,34758615
19-Jan-18,12.56,12.88,12.54,12.59,46800669
18-Jan-18,12.18,12.68,12.15,12.47,62086151
17-Jan-18,11.90,12.19,11.82,12.18,39020825
16-Jan-18,12.05,12.20,11.80,11.91,42686623
12-Jan-18,11.82,12.07,11.80,12.02,47149344
11-Jan-18,12.07,12.19,11.90,12.14,38354916
10-Jan-18,11.63,12.15,11.56,11.96,52561170
9-Jan-18,12.00,12.02,11.71,11.82,62560940
8-Jan-18,12.01,12.30,11.85,12.28,63346034
5-Jan-18,12.19,12.22,11.66,11.88,63808946
4-Jan-18,12.10,12.43,11.97,12.12,109502970
3-Jan-18,11.61,12.14,11.36,11.55,154066661
2-Jan-18,10.42,11.02,10.34,10.98,44146332
29-Dec-17,10.57,10.58,10.27,10.28,26678928
28-Dec-17,10.57,10.64,10.43,10.55,18609365
27-Dec-17,10.45,10.74,10.40,10.53,22921775
26-Dec-17,10.38,10.58,10.34,10.46,20437891
22-Dec-17,10.75,10.77,10.20,10.54,50744495
21-Dec-17,10.98,11.08,10.87,10.89,21884331
20-Dec-17,11.10,11.18,10.80,10.98,31420328
19-Dec-17,11.00,11.19,10.87,10.95,43852949
18-Dec-17,10.60,11.00,10.51,10.98,63797732
15-Dec-17,10.13,10.32,10.02,10.29,45462280
14-Dec-17,10.10,10.17,9.96,10.13,29006846
13-Dec-17,9.97,10.21,9.95,10.11,41494800
12-Dec-17,10.13,10.14,9.88,9.90,36211043
11-Dec-17,9.97,10.16,9.96,10.16,29956421
8-Dec-17,10.15,10.20,9.92,9.94,34896958
7-Dec-17,10.07,10.19,9.95,10.04,32665616
6-Dec-17,9.90,10.05,9.71,10.00,38952174
5-Dec-17,9.89,10.34,9.70,9.91,67304144
4-Dec-17,10.85,10.86,9.82,10.03,97328281
1-Dec-17,10.81,10.97,10.53,10.73,42128778
30-Nov-17,10.87,11.03,10.76,10.89,43205030
29-Nov-17,11.08,11.17,10.73,10.83,63333806
28-Nov-17,11.45,11.54,11.00,11.17,65325749
27-Nov-17,11.34,11.74,11.34,11.55,41798250
24-Nov-17,11.38,11.42,11.30,11.38,11035758
22-Nov-17,11.41,11.49,11.30,11.37,23816482
21-Nov-17,11.42,11.49,11.24,11.40,31881681
20-Nov-17,11.47,11.50,11.19,11.34,35960204
17-Nov-17,11.30,11.75,11.28,11.38,56775579
16-Nov-17,11.13,11.32,11.13,11.25,31800408
15-Nov-17,11.01,11.13,10.77,11.07,33524701
14-Nov-17,11.03,11.26,11.00,11.12,37245039
13-Nov-17,11.18,11.20,10.92,11.09,54068315
10-Nov-17,11.22,11.43,11.12,11.26,50209909
9-Nov-17,11.25,11.35,11.03,11.12,76821154
8-Nov-17,11.94,11.95,11.51,11.71,59065041
7-Nov-17,11.94,12.27,11.92,12.05,67900203
6-Nov-17,12.04,12.09,11.64,11.93,96349758
3-Nov-17,10.95,11.13,10.82,11.12,44264291
2-Nov-17,10.87,10.99,10.66,10.85,47942464
1-Nov-17,11.25,11.29,10.72,10.80,66875483
31-Oct-17,10.76,11.31,10.69,10.98,78600023
30-Oct-17,11.26,11.42,10.65,10.89,137785101
27-Oct-17,12.17,12.19,11.35,11.84,115650373
26-Oct-17,12.45,12.46,12.00,12.00,87625437
25-Oct-17,12.95,13.13,12.29,12.33,166762120
24-Oct-17,14.20,14.36,14.15,14.25,84891583
23-Oct-17,13.94,14.19,13.90,14.10,49838009
20-Oct-17,14.03,14.09,13.80,13.81,32538937
19-Oct-17,13.85,14.04,13.69,13.95,33795708
18-Oct-17,14.20,14.28,13.76,14.07,39020286
17-Oct-17,14.24,14.34,14.14,14.16,28995567
16-Oct-17,14.25,14.35,14.12,14.26,34136783
13-Oct-17,14.32,14.41,14.12,14.22,37515843
12-Oct-17,13.85,14.37,13.81,14.20,69874095
11-Oct-17,13.62,13.96,13.61,13.88,38746553
10-Oct-17,13.72,13.79,13.44,13.70,43303955
9-Oct-17,13.26,13.83,13.26,13.47,54032528
6-Oct-17,13.22,13.39,13.18,13.23,28258656
5-Oct-17,13.38,13.46,13.21,13.34,34758604
4-Oct-17,13.31,13.50,13.15,13.31,42303159
3-Oct-17,12.73,13.48,12.70,13.42,85174031
2-Oct-17,12.80,12.85,12.62,12.71,34461080
29-Sep-17,12.76,12.82,12.60,12.75,33926900
28-Sep-17,12.76,12.84,12.55,12.74,35812311
27-Sep-17,12.65,12.87,12.50,12.74,59651021
26-Sep-17,12.85,12.93,12.43,12.45,68302025
25-Sep-17,13.25,13.28,12.49,12.61,84172237
22-Sep-17,13.20,13.40,13.12,13.30,50546957
21-Sep-17,14.00,14.24,13.32,13.41,166821947
20-Sep-17,13.07,13.80,12.80,13.74,102682437
19-Sep-17,13.25,13.29,12.88,13.12,65455230
18-Sep-17,12.77,13.30,12.74,13.08,83517385
15-Sep-17,12.33,12.66,12.31,12.52,50337411
14-Sep-17,12.15,12.46,12.11,12.26,37220155
13-Sep-17,12.22,12.36,12.12,12.22,37210654
12-Sep-17,12.66,12.68,12.21,12.30,54413148
11-Sep-17,12.46,12.74,12.40,12.55,43346052
8-Sep-17,12.57,12.61,12.04,12.25,60886232
7-Sep-17,12.84,12.94,12.60,12.63,35816911
6-Sep-17,13.02,13.08,12.75,12.86,34182430
5-Sep-17,12.88,13.18,12.65,12.92,51578710
1-Sep-17,13.12,13.48,13.04,13.19,53158562
31-Aug-17,12.82,13.16,12.79,13.00,51822102
30-Aug-17,12.19,12.68,12.16,12.67,43932966
29-Aug-17,12.00,12.18,11.93,12.15,33618112
28-Aug-17,12.53,12.55,12.16,12.23,35969587
25-Aug-17,12.51,12.57,12.25,12.43,29732049
