Date,Open,High,Low,Close,Volume
28-Feb-18,28.59,28.79,27.94,27.95,46522
27-Feb-18,28.79,29.00,28.46,28.50,46448
26-Feb-18,28.73,28.95,28.54,28.93,15761
23-Feb-18,28.60,28.69,28.40,28.67,40461
22-Feb-18,28.68,28.75,28.49,28.51,23002
21-Feb-18,28.36,28.99,28.29,28.58,24802
20-Feb-18,28.63,28.91,28.12,28.30,23199
16-Feb-18,28.49,28.98,28.49,28.77,21407
15-Feb-18,28.74,28.89,28.40,28.62,48600
14-Feb-18,28.49,28.85,28.43,28.59,47195
13-Feb-18,28.39,28.63,28.27,28.43,20266
12-Feb-18,28.41,28.67,28.15,28.41,33619
9-Feb-18,28.20,28.46,27.70,28.37,38052
8-Feb-18,29.28,29.28,28.45,28.45,53120
7-Feb-18,29.07,29.55,28.81,29.26,52324
6-Feb-18,28.75,29.34,28.65,29.17,86400
5-Feb-18,29.13,29.20,28.75,28.75,58449
2-Feb-18,29.53,29.82,29.28,29.51,50647
1-Feb-18,29.00,29.75,28.79,29.69,73605
31-Jan-18,28.90,29.26,28.66,29.05,115465
30-Jan-18,28.75,29.15,28.75,28.90,27230
29-Jan-18,28.90,28.98,28.75,28.81,17559
26-Jan-18,28.82,29.04,28.69,29.02,27409
25-Jan-18,29.20,29.20,28.62,28.82,21586
24-Jan-18,29.11,29.29,29.03,29.07,27413
23-Jan-18,28.89,29.10,28.60,29.08,21313
22-Jan-18,29.05,29.10,28.79,29.00,20651
19-Jan-18,28.90,29.30,28.68,29.27,37849
18-Jan-18,28.93,29.07,28.67,28.90,21212
17-Jan-18,28.96,29.12,28.68,29.02,13583
16-Jan-18,29.27,29.27,28.67,28.81,29533
12-Jan-18,29.14,29.51,28.84,29.08,28892
11-Jan-18,28.80,29.07,28.76,28.98,28199
10-Jan-18,28.32,28.99,28.32,28.67,16427
9-Jan-18,28.12,28.50,28.12,28.37,34552
8-Jan-18,28.15,28.28,27.88,28.12,34040
5-Jan-18,28.63,28.63,27.99,28.24,31446
4-Jan-18,28.50,28.74,28.27,28.56,17165
3-Jan-18,28.24,28.49,28.00,28.35,20660
2-Jan-18,28.04,28.60,28.04,28.28,39297
29-Dec-17,28.19,28.36,27.82,27.84,29921
28-Dec-17,27.95,28.19,27.75,28.18,22435
27-Dec-17,28.20,28.26,27.66,27.70,25422
26-Dec-17,28.43,28.70,28.04,28.04,16591
22-Dec-17,29.03,29.03,28.43,28.43,13224
21-Dec-17,29.00,29.04,28.86,28.93,14196
20-Dec-17,29.32,29.32,28.85,28.88,15512
19-Dec-17,29.64,29.72,29.01,29.20,14811
18-Dec-17,29.51,29.84,29.40,29.69,53201
15-Dec-17,28.30,29.51,28.30,29.35,103068
14-Dec-17,28.77,28.79,28.15,28.27,21275
13-Dec-17,28.52,29.30,28.52,28.67,34285
12-Dec-17,28.56,28.75,28.40,28.46,14713
11-Dec-17,28.68,28.78,28.34,28.44,16530
8-Dec-17,28.63,28.78,27.48,28.72,47611
7-Dec-17,28.90,29.00,28.71,28.76,30540
6-Dec-17,29.16,29.60,28.81,28.83,39865
5-Dec-17,29.54,29.58,29.10,29.27,22311
4-Dec-17,30.04,30.18,29.45,29.56,31275
1-Dec-17,29.44,29.83,28.78,29.53,18734
30-Nov-17,30.15,30.22,29.42,29.45,49577
29-Nov-17,29.89,30.08,28.99,30.03,61216
28-Nov-17,28.53,29.54,27.76,29.54,18170
27-Nov-17,28.50,28.52,28.32,28.42,24654
24-Nov-17,28.97,29.19,28.23,28.49,11644
22-Nov-17,29.00,29.29,28.76,28.77,21029
21-Nov-17,28.80,29.16,28.61,28.97,43596
20-Nov-17,28.44,28.68,28.00,28.68,24345
17-Nov-17,28.41,28.80,27.83,28.44,23922
16-Nov-17,28.25,28.78,27.32,28.53,20614
15-Nov-17,27.53,28.21,27.53,27.94,12760
14-Nov-17,27.57,27.93,27.52,27.83,16606
13-Nov-17,26.86,27.61,26.86,27.49,17250
10-Nov-17,26.98,27.40,26.94,27.10,14690
9-Nov-17,27.07,27.23,26.55,27.00,38077
8-Nov-17,27.15,27.32,26.94,27.16,16550
7-Nov-17,28.59,28.63,27.35,27.54,26091
6-Nov-17,28.93,28.93,28.52,28.65,13574
3-Nov-17,29.16,29.20,28.80,28.88,24114
2-Nov-17,28.78,29.33,28.63,29.27,15406
1-Nov-17,29.33,29.49,28.67,28.76,23988
31-Oct-17,29.18,29.70,28.90,29.10,28041
30-Oct-17,30.00,30.30,28.54,29.19,25869
27-Oct-17,29.93,30.24,29.80,30.14,43677
26-Oct-17,30.99,30.99,29.26,29.92,55986
25-Oct-17,28.01,28.29,27.76,28.19,22602
24-Oct-17,28.29,28.56,28.03,28.09,29829
23-Oct-17,28.50,28.84,28.00,28.06,29429
20-Oct-17,28.81,28.81,28.38,28.50,24195
