Date,Open,High,Low,Close,Volume
28-Feb-18,5.40,5.70,5.30,5.55,1290413
27-Feb-18,5.20,5.35,5.15,5.25,454030
26-Feb-18,5.30,5.30,5.15,5.20,532114
23-Feb-18,5.05,5.25,5.00,5.22,559682
22-Feb-18,5.20,5.25,5.00,5.05,512490
21-Feb-18,5.15,5.20,5.10,5.15,510939
20-Feb-18,5.25,5.30,5.10,5.15,387857
16-Feb-18,5.20,5.40,5.15,5.25,350460
15-Feb-18,5.20,5.25,5.05,5.25,529493
14-Feb-18,5.05,5.25,5.00,5.15,640841
13-Feb-18,5.05,5.15,4.95,5.10,637550
12-Feb-18,5.25,5.25,5.00,5.05,895987
9-Feb-18,5.25,5.25,4.90,5.20,1706541
8-Feb-18,5.05,5.20,5.00,5.05,748374
7-Feb-18,5.15,5.20,5.00,5.00,850864
6-Feb-18,5.05,5.30,4.90,5.18,1344279
5-Feb-18,5.85,5.90,5.00,5.25,1853762
2-Feb-18,5.80,6.00,5.55,5.90,2040046
1-Feb-18,5.65,6.00,5.55,5.80,2456230
31-Jan-18,5.90,6.15,5.60,5.65,2892502
30-Jan-18,5.50,5.90,5.45,5.85,2220141
29-Jan-18,5.60,5.75,5.55,5.55,1285905
26-Jan-18,5.70,5.75,5.55,5.65,1326407
25-Jan-18,5.65,5.75,5.50,5.70,1500212
24-Jan-18,5.50,5.70,5.30,5.60,2210211
23-Jan-18,5.20,5.25,5.08,5.20,1049373
22-Jan-18,5.20,5.35,5.05,5.15,814494
19-Jan-18,5.30,5.40,5.20,5.30,927056
18-Jan-18,5.20,5.45,5.10,5.35,3339993
17-Jan-18,5.00,5.22,4.95,5.20,1560084
16-Jan-18,5.15,5.20,4.75,5.00,1171215
12-Jan-18,4.90,5.05,4.90,5.05,1022906
11-Jan-18,4.55,5.00,4.50,4.90,1086540
10-Jan-18,4.60,4.65,4.45,4.60,518101
9-Jan-18,4.60,4.69,4.50,4.55,835773
8-Jan-18,4.75,4.80,4.60,4.65,572020
5-Jan-18,4.60,4.78,4.50,4.75,488559
4-Jan-18,4.50,4.60,4.45,4.55,526775
3-Jan-18,4.45,4.60,4.45,4.50,884391
2-Jan-18,4.35,4.50,4.28,4.50,813972
29-Dec-17,4.45,4.52,4.25,4.30,706437
28-Dec-17,4.50,4.55,4.40,4.45,608472
27-Dec-17,4.45,4.60,4.35,4.45,543235
26-Dec-17,4.30,4.60,4.30,4.45,977659
22-Dec-17,4.40,4.40,4.20,4.25,546202
21-Dec-17,4.15,4.40,4.10,4.35,2123548
20-Dec-17,4.10,4.25,4.05,4.15,1025392
19-Dec-17,4.30,4.30,3.95,4.05,2916785
18-Dec-17,4.25,4.40,4.15,4.30,1499308
15-Dec-17,4.45,4.52,3.95,4.25,8109269
14-Dec-17,4.55,4.70,4.35,4.45,1801906
13-Dec-17,4.80,4.88,4.55,4.55,1907032
12-Dec-17,4.90,5.05,4.90,5.05,553247
11-Dec-17,4.90,5.00,4.80,4.85,764318
8-Dec-17,5.10,5.10,4.85,4.90,653947
7-Dec-17,4.85,5.19,4.80,5.15,1487021
6-Dec-17,4.90,4.95,4.80,4.85,465702
5-Dec-17,5.10,5.15,4.90,4.90,1588766
4-Dec-17,5.30,5.30,5.10,5.15,716807
1-Dec-17,4.85,5.30,4.85,5.25,1641858
30-Nov-17,5.30,5.35,5.05,5.15,1184641
29-Nov-17,5.25,5.25,5.05,5.20,1076203
28-Nov-17,5.20,5.25,5.05,5.20,1388391
27-Nov-17,5.30,5.30,5.10,5.20,854013
24-Nov-17,5.30,5.35,5.20,5.30,560672
22-Nov-17,5.05,5.30,5.00,5.30,1062169
21-Nov-17,5.20,5.25,4.95,5.00,1955664
20-Nov-17,5.30,5.30,4.95,5.05,3179981
17-Nov-17,4.85,5.10,4.75,4.80,1690318
16-Nov-17,4.75,4.95,4.66,4.90,1043623
15-Nov-17,4.60,4.75,4.54,4.70,630245
14-Nov-17,4.40,4.70,4.40,4.60,653932
13-Nov-17,4.60,4.60,4.40,4.50,424692
10-Nov-17,4.60,4.75,4.50,4.65,481206
9-Nov-17,4.55,4.60,4.45,4.55,564734
8-Nov-17,4.70,4.70,4.46,4.60,653872
7-Nov-17,4.75,4.85,4.70,4.75,477679
6-Nov-17,4.75,4.85,4.70,4.80,433991
3-Nov-17,4.70,4.90,4.60,4.70,846334
2-Nov-17,4.75,4.95,4.65,4.68,824787
1-Nov-17,4.30,4.80,4.25,4.78,642743
31-Oct-17,4.55,4.80,4.55,4.75,766193
30-Oct-17,4.90,4.95,4.70,4.70,654997
27-Oct-17,4.55,4.95,4.55,4.85,1245932
26-Oct-17,4.35,4.70,4.35,4.55,1021084
25-Oct-17,4.10,4.50,4.10,4.40,889945
24-Oct-17,4.30,4.35,3.95,3.95,771482
23-Oct-17,4.30,4.35,4.20,4.25,198412
20-Oct-17,4.35,4.35,4.15,4.30,532073
19-Oct-17,4.20,4.35,4.15,4.30,345692
18-Oct-17,4.25,4.30,4.10,4.25,666143
17-Oct-17,4.15,4.35,4.10,4.25,411374
16-Oct-17,4.10,4.25,4.05,4.20,485833
