Date,Open,High,Low,Close,Volume
28-Feb-18,73.15,74.82,72.97,73.13,7469666
27-Feb-18,73.05,73.36,72.02,72.61,4141839
26-Feb-18,72.68,74.12,72.68,73.16,4868504
23-Feb-18,69.95,72.07,69.79,72.07,5842100
22-Feb-18,70.06,70.70,69.07,69.49,5229239
21-Feb-18,70.90,71.84,70.22,70.22,5555734
20-Feb-18,69.97,71.29,69.75,70.84,5386393
16-Feb-18,71.96,72.13,69.79,70.19,6497699
15-Feb-18,70.00,72.07,69.05,71.99,6182546
14-Feb-18,67.21,69.90,67.11,69.65,7197634
13-Feb-18,67.96,68.21,67.18,68.03,5373597
12-Feb-18,67.16,69.20,67.16,68.32,8315677
9-Feb-18,66.99,67.78,63.32,67.08,18582250
8-Feb-18,69.63,69.79,65.76,65.83,11179322
7-Feb-18,69.62,70.86,69.43,69.46,6255211
6-Feb-18,66.00,69.84,65.72,69.70,10524316
5-Feb-18,70.54,71.13,66.91,67.98,10160732
2-Feb-18,72.66,72.96,71.38,71.42,6198415
1-Feb-18,73.48,74.24,73.16,73.35,5136990
31-Jan-18,72.96,74.94,72.96,74.13,7058952
30-Jan-18,71.44,71.88,70.73,71.61,5284585
29-Jan-18,72.50,72.68,71.70,72.45,7863823
26-Jan-18,71.34,72.59,70.76,72.52,5748494
25-Jan-18,70.60,71.20,69.95,70.82,4676928
24-Jan-18,71.66,71.90,69.88,70.08,9137394
23-Jan-18,71.32,72.37,71.15,71.55,5194898
22-Jan-18,70.45,71.40,69.68,71.30,3862712
19-Jan-18,70.22,70.84,69.48,70.57,5210041
18-Jan-18,70.11,70.72,69.17,69.80,5620207
17-Jan-18,69.97,70.82,68.79,70.36,7076063
16-Jan-18,70.92,71.18,68.40,68.71,5371714
12-Jan-18,69.70,70.71,69.05,70.36,8021879
11-Jan-18,68.29,69.33,67.23,69.24,8176290
10-Jan-18,65.93,66.94,65.78,66.83,4504020
9-Jan-18,66.75,66.75,64.90,66.19,5995943
8-Jan-18,66.49,67.27,65.65,66.63,4622445
5-Jan-18,64.88,66.47,64.49,66.37,4999128
4-Jan-18,65.75,65.87,64.36,64.66,3919811
