Date,Open,High,Low,Close,Volume
28-Feb-18,16.95,17.45,16.50,16.80,191829
27-Feb-18,17.50,18.00,16.95,16.95,68433
26-Feb-18,17.05,17.70,16.00,17.55,73047
23-Feb-18,16.05,17.35,16.05,17.10,103094
22-Feb-18,16.20,16.20,15.80,15.95,46479
21-Feb-18,16.60,16.95,16.05,16.05,68651
20-Feb-18,16.35,16.70,16.15,16.55,129671
16-Feb-18,16.80,17.10,16.20,16.30,76048
15-Feb-18,16.25,17.00,15.70,16.85,122365
14-Feb-18,15.70,16.35,15.65,16.25,86785
13-Feb-18,15.95,16.00,15.65,15.75,65588
12-Feb-18,16.05,16.30,15.55,16.05,59789
9-Feb-18,16.35,16.35,15.58,15.90,153365
8-Feb-18,16.85,16.85,15.88,16.15,91600
7-Feb-18,16.40,17.10,16.15,16.85,112995
6-Feb-18,16.20,16.95,16.00,16.45,106325
5-Feb-18,16.50,16.70,15.60,16.60,213247
2-Feb-18,16.65,16.87,16.40,16.60,81092
1-Feb-18,16.80,17.20,16.28,16.90,59858
31-Jan-18,17.50,17.72,16.80,16.90,72432
30-Jan-18,17.90,17.90,16.90,17.35,106832
29-Jan-18,18.30,18.46,17.85,18.15,81049
26-Jan-18,18.15,18.39,17.75,18.15,82339
25-Jan-18,18.50,18.55,18.05,18.15,55557
24-Jan-18,18.40,18.85,18.40,18.40,66842
23-Jan-18,18.65,18.65,18.35,18.55,32356
22-Jan-18,18.70,18.95,18.25,18.75,57223
19-Jan-18,18.35,19.00,18.25,18.75,74135
18-Jan-18,18.75,18.75,18.25,18.35,32908
17-Jan-18,18.30,19.15,18.30,18.80,48878
16-Jan-18,18.95,19.44,18.20,18.45,66205
12-Jan-18,18.70,19.20,18.60,18.75,70694
11-Jan-18,18.25,19.00,18.15,18.70,54159
10-Jan-18,18.35,19.10,18.15,18.25,54305
9-Jan-18,19.45,19.50,18.45,18.65,58972
8-Jan-18,19.15,19.60,18.90,19.30,181308
5-Jan-18,18.75,18.90,18.50,18.80,125993
4-Jan-18,18.25,19.10,17.95,18.60,86598
3-Jan-18,17.50,18.45,17.40,18.20,135797
2-Jan-18,16.80,17.60,16.80,17.55,69490
29-Dec-17,16.65,17.05,16.52,16.65,35604
28-Dec-17,16.70,16.75,16.00,16.45,55425
27-Dec-17,16.58,16.80,16.50,16.75,20804
26-Dec-17,16.80,16.85,16.45,16.50,61919
22-Dec-17,17.60,17.60,16.68,16.80,39960
21-Dec-17,16.80,17.80,16.80,17.60,58753
20-Dec-17,16.55,16.85,16.40,16.75,66146
19-Dec-17,16.60,16.78,16.40,16.50,56532
18-Dec-17,16.45,16.75,16.35,16.55,133496
15-Dec-17,16.75,16.75,16.15,16.25,214356
14-Dec-17,16.80,16.90,16.55,16.75,47874
13-Dec-17,16.85,17.00,16.72,16.80,51925
12-Dec-17,17.20,17.55,16.75,16.80,34305
11-Dec-17,17.40,17.40,16.75,17.15,60748
8-Dec-17,17.50,17.60,17.30,17.35,60746
7-Dec-17,17.50,17.55,17.10,17.40,61542
6-Dec-17,17.70,17.90,17.45,17.50,36494
5-Dec-17,17.55,18.10,17.30,17.75,58275
4-Dec-17,18.00,18.52,17.55,17.75,77333
1-Dec-17,18.40,18.60,17.88,18.05,56785
30-Nov-17,18.85,19.00,18.05,18.35,64329
29-Nov-17,18.65,18.80,18.40,18.75,56652
28-Nov-17,18.50,18.70,18.45,18.70,62074
27-Nov-17,18.85,18.85,18.40,18.50,73624
24-Nov-17,18.75,18.90,18.45,18.60,26688
22-Nov-17,18.20,18.75,18.15,18.70,92654
21-Nov-17,17.90,18.25,17.75,18.25,130451
20-Nov-17,17.35,17.85,17.10,17.85,75342
17-Nov-17,16.35,17.55,16.35,17.35,104518
16-Nov-17,16.45,16.72,16.40,16.45,41389
15-Nov-17,16.55,16.82,16.30,16.40,43747
14-Nov-17,16.55,16.90,16.50,16.70,31283
13-Nov-17,16.50,16.85,16.45,16.55,46746
