Date,Open,High,Low,Close,Volume
28-Feb-18,2.27,2.27,2.15,2.15,1127515
27-Feb-18,2.29,2.35,2.27,2.27,946598
26-Feb-18,2.27,2.34,2.24,2.31,735669
23-Feb-18,2.18,2.26,2.16,2.25,904354
22-Feb-18,2.14,2.19,2.10,2.16,956322
21-Feb-18,2.15,2.18,2.10,2.11,1042147
20-Feb-18,2.15,2.23,2.15,2.18,1003176
16-Feb-18,2.13,2.18,2.11,2.14,572009
15-Feb-18,2.15,2.18,2.05,2.16,707888
14-Feb-18,2.08,2.21,2.05,2.14,1133948
13-Feb-18,2.14,2.16,2.10,2.13,870559
12-Feb-18,2.24,2.24,2.15,2.17,890846
9-Feb-18,2.15,2.22,2.07,2.20,1601011
8-Feb-18,2.22,2.25,2.08,2.12,1224594
7-Feb-18,2.33,2.36,2.19,2.23,1095618
6-Feb-18,2.30,2.40,2.27,2.35,1146449
5-Feb-18,2.34,2.46,2.32,2.32,1446234
2-Feb-18,2.42,2.45,2.34,2.38,1292120
1-Feb-18,2.39,2.47,2.36,2.46,1058733
31-Jan-18,2.35,2.45,2.23,2.39,2484748
30-Jan-18,2.34,2.37,2.27,2.35,1217126
29-Jan-18,2.46,2.48,2.39,2.39,1231006
26-Jan-18,2.57,2.58,2.46,2.47,1495576
25-Jan-18,2.67,2.68,2.52,2.55,1016325
24-Jan-18,2.55,2.65,2.51,2.64,1663430
23-Jan-18,2.61,2.63,2.55,2.57,703229
22-Jan-18,2.52,2.64,2.50,2.61,676895
19-Jan-18,2.51,2.56,2.46,2.54,895000
18-Jan-18,2.61,2.61,2.53,2.55,885573
17-Jan-18,2.58,2.68,2.54,2.63,782751
16-Jan-18,2.68,2.74,2.57,2.58,2302588
12-Jan-18,2.64,2.73,2.62,2.66,1598983
11-Jan-18,2.53,2.64,2.53,2.62,2188590
10-Jan-18,2.50,2.55,2.49,2.53,547495
9-Jan-18,2.54,2.56,2.49,2.51,893384
8-Jan-18,2.48,2.55,2.44,2.51,927158
5-Jan-18,2.57,2.59,2.43,2.46,1940270
4-Jan-18,2.55,2.60,2.53,2.57,1616969
3-Jan-18,2.59,2.60,2.51,2.55,1241405
2-Jan-18,2.52,2.57,2.49,2.56,1415217
29-Dec-17,2.49,2.54,2.43,2.46,1419941
28-Dec-17,2.39,2.50,2.38,2.50,2216853
27-Dec-17,2.41,2.54,2.35,2.36,2359582
26-Dec-17,2.20,2.45,2.20,2.39,3290597
22-Dec-17,2.24,2.24,2.16,2.21,712065
21-Dec-17,2.17,2.26,2.16,2.24,2543902
20-Dec-17,2.16,2.23,2.13,2.18,1635511
19-Dec-17,2.18,2.18,2.11,2.15,1244784
18-Dec-17,2.11,2.18,2.10,2.13,907491
15-Dec-17,2.08,2.14,2.06,2.10,2112177
14-Dec-17,2.11,2.14,2.06,2.07,934037
13-Dec-17,2.16,2.17,2.11,2.12,1068411
12-Dec-17,2.11,2.23,2.08,2.15,1841811
11-Dec-17,2.11,2.14,2.06,2.10,597425
8-Dec-17,2.07,2.12,2.04,2.09,614923
7-Dec-17,2.01,2.10,2.00,2.05,1057743
6-Dec-17,2.18,2.20,2.01,2.03,1478788
5-Dec-17,2.25,2.25,2.15,2.20,1732806
4-Dec-17,2.12,2.26,2.08,2.21,2173956
1-Dec-17,2.08,2.17,2.07,2.15,1603491
30-Nov-17,2.05,2.11,2.02,2.07,2287920
29-Nov-17,1.93,2.03,1.92,2.03,1150743
28-Nov-17,2.02,2.04,1.94,1.94,1602634
27-Nov-17,2.07,2.08,2.00,2.01,1112760
24-Nov-17,2.10,2.11,2.05,2.06,623701
22-Nov-17,2.01,2.13,2.01,2.06,1781946
21-Nov-17,2.06,2.10,1.97,1.98,1306761
20-Nov-17,2.09,2.09,2.03,2.08,894327
17-Nov-17,2.05,2.11,2.03,2.09,1304919
16-Nov-17,2.06,2.08,2.02,2.04,1156286
15-Nov-17,2.04,2.10,2.04,2.05,1443612
14-Nov-17,2.09,2.13,2.07,2.08,1262957
13-Nov-17,2.08,2.13,2.03,2.12,1368721
10-Nov-17,2.08,2.13,2.07,2.08,958545
9-Nov-17,2.14,2.22,2.06,2.10,2665632
8-Nov-17,2.05,2.18,1.96,2.18,4420258
7-Nov-17,2.22,2.25,2.18,2.18,2253493
6-Nov-17,2.25,2.26,2.16,2.19,1609168
3-Nov-17,2.19,2.25,2.15,2.23,1523557
2-Nov-17,2.17,2.24,2.14,2.18,1487531
1-Nov-17,2.18,2.24,2.12,2.16,1964709
31-Oct-17,2.01,2.16,2.00,2.13,1948242
30-Oct-17,2.00,2.05,1.98,2.00,985583
27-Oct-17,1.90,2.00,1.90,2.00,1122637
26-Oct-17,1.95,1.95,1.89,1.91,542485
25-Oct-17,1.96,1.97,1.92,1.94,964997
24-Oct-17,1.95,1.97,1.92,1.95,621246
23-Oct-17,1.98,1.99,1.90,1.91,752969
20-Oct-17,2.00,2.00,1.92,1.96,1005397
19-Oct-17,2.02,2.05,1.93,1.99,1403263
18-Oct-17,2.05,2.14,2.00,2.04,2142268
17-Oct-17,2.01,2.04,1.97,2.03,1241979
16-Oct-17,1.91,2.00,1.90,1.99,1589825
13-Oct-17,1.91,1.95,1.89,1.91,989619
12-Oct-17,1.92,1.93,1.86,1.87,539602
11-Oct-17,1.92,1.93,1.87,1.93,496622
10-Oct-17,1.94,1.95,1.88,1.91,620968
9-Oct-17,1.88,1.91,1.86,1.91,418557
6-Oct-17,1.93,1.95,1.88,1.89,598357
5-Oct-17,1.90,1.96,1.88,1.96,731283
4-Oct-17,1.93,1.95,1.88,1.90,611264
3-Oct-17,1.91,1.96,1.88,1.91,756514
2-Oct-17,1.85,1.95,1.85,1.95,859363
29-Sep-17,2.00,2.04,1.87,1.88,2087470
28-Sep-17,2.05,2.06,1.93,1.97,1384637
27-Sep-17,2.05,2.10,1.91,2.02,2419561
26-Sep-17,1.91,2.05,1.86,2.05,2645513
