Date,Open,High,Low,Close,Volume
28-Feb-18,26.65,27.55,26.20,26.30,288605
27-Feb-18,26.60,26.84,26.35,26.40,231749
26-Feb-18,26.05,27.22,25.50,26.50,520198
23-Feb-18,26.00,26.14,25.25,25.75,192540
22-Feb-18,25.00,26.70,24.80,25.95,264233
21-Feb-18,24.70,25.80,24.70,24.95,216164
20-Feb-18,24.70,25.25,24.50,24.55,164067
16-Feb-18,25.05,25.25,24.06,25.15,406710
15-Feb-18,23.50,25.05,22.95,24.90,281018
14-Feb-18,22.60,23.55,22.50,23.25,415977
13-Feb-18,23.15,23.37,22.25,22.90,231306
12-Feb-18,24.05,24.15,23.05,23.25,252100
9-Feb-18,23.90,24.30,22.75,23.90,364091
8-Feb-18,26.60,26.60,23.30,23.60,419624
7-Feb-18,25.50,26.85,25.15,26.55,386550
6-Feb-18,26.30,26.75,24.20,25.40,593699
5-Feb-18,28.10,28.38,26.80,26.85,225506
2-Feb-18,28.65,28.95,28.05,28.55,160453
1-Feb-18,28.80,29.65,28.70,29.10,155021
31-Jan-18,29.25,29.50,28.70,28.90,198039
30-Jan-18,28.50,29.45,28.00,29.10,238270
29-Jan-18,29.75,30.18,28.90,28.95,266608
26-Jan-18,30.00,30.35,29.55,29.90,333620
25-Jan-18,29.10,30.00,28.78,29.70,339639
24-Jan-18,29.10,29.20,28.25,28.85,291866
23-Jan-18,28.60,29.10,28.25,28.95,161521
22-Jan-18,28.45,29.05,28.30,28.60,238031
19-Jan-18,27.85,28.40,27.70,28.25,257839
18-Jan-18,27.60,28.28,27.45,27.85,253684
17-Jan-18,27.35,28.50,27.28,27.85,443344
16-Jan-18,27.50,28.50,26.90,27.05,385204
12-Jan-18,27.85,27.85,27.20,27.35,284797
11-Jan-18,26.15,27.80,25.75,27.70,362624
10-Jan-18,27.00,27.00,25.28,26.05,453747
9-Jan-18,27.00,27.40,26.38,27.15,194969
8-Jan-18,28.40,28.40,26.62,27.00,292935
5-Jan-18,29.40,29.50,28.35,28.50,217031
4-Jan-18,29.00,29.50,28.70,29.25,199036
3-Jan-18,27.80,29.00,27.50,28.80,172203
2-Jan-18,26.35,27.65,26.00,27.45,120593
29-Dec-17,27.55,27.65,26.15,26.20,150325
28-Dec-17,27.50,27.95,27.25,27.45,87905
27-Dec-17,27.45,28.15,27.45,27.60,107442
26-Dec-17,27.30,28.02,27.30,27.70,104640
22-Dec-17,27.85,27.95,27.30,27.40,117473
21-Dec-17,27.50,28.40,27.25,28.05,321173
20-Dec-17,27.85,27.94,27.30,27.60,163753
19-Dec-17,27.95,28.38,27.40,27.75,296127
18-Dec-17,27.55,28.22,26.95,27.90,404865
15-Dec-17,26.30,27.45,26.25,27.25,410095
14-Dec-17,28.70,28.90,26.35,26.70,476801
13-Dec-17,28.80,30.05,28.25,28.55,456243
12-Dec-17,28.90,30.10,28.55,30.00,919298
11-Dec-17,29.30,29.45,28.55,28.75,402955
8-Dec-17,28.50,29.50,28.05,29.15,883119
7-Dec-17,27.20,28.40,27.05,28.20,282276
6-Dec-17,27.65,28.35,27.05,27.10,437308
5-Dec-17,27.20,27.90,27.20,27.70,327379
4-Dec-17,28.05,28.45,27.05,27.25,409792
1-Dec-17,29.40,29.40,26.50,27.80,835509
30-Nov-17,28.20,29.75,27.75,29.55,1010941
29-Nov-17,28.45,29.25,27.75,28.00,909391
28-Nov-17,26.70,29.00,26.60,28.70,1469683
27-Nov-17,27.40,27.40,26.40,26.60,823975
24-Nov-17,26.45,26.55,26.15,26.55,255832
22-Nov-17,26.05,26.60,25.90,26.30,765709
21-Nov-17,24.90,26.30,24.70,26.05,977561
20-Nov-17,22.55,24.90,22.50,24.70,1038909
17-Nov-17,21.35,22.50,21.20,22.45,590532
16-Nov-17,21.00,21.45,20.50,21.15,339188
15-Nov-17,19.65,21.90,19.65,20.75,1109884
14-Nov-17,19.25,19.55,18.85,19.45,351410
13-Nov-17,18.65,19.40,18.45,19.15,302735
10-Nov-17,19.55,19.65,18.55,18.75,442027
9-Nov-17,18.90,19.70,18.30,19.55,685557
8-Nov-17,19.00,19.05,18.05,18.90,679876
7-Nov-17,19.50,19.60,18.55,18.80,729410
6-Nov-17,18.00,19.55,17.60,19.40,998854
3-Nov-17,17.65,19.35,16.75,18.00,1881597
2-Nov-17,20.00,20.50,19.20,19.30,524921
1-Nov-17,20.00,20.25,19.45,20.05,525883
31-Oct-17,19.50,20.00,19.20,19.85,373916
30-Oct-17,19.15,19.60,18.95,19.45,342216
27-Oct-17,18.25,19.48,18.20,19.25,346785
26-Oct-17,18.80,19.10,17.85,18.20,602637
25-Oct-17,18.65,19.02,17.80,18.95,644112
24-Oct-17,19.50,19.60,18.68,18.70,503558
23-Oct-17,20.00,20.10,19.05,19.50,587051
20-Oct-17,20.15,20.35,19.72,19.85,376677
19-Oct-17,20.15,20.38,19.80,19.95,292517
