Date,Open,High,Low,Close,Volume
28-Feb-18,12.25,12.25,12.15,12.15,75188
27-Feb-18,12.10,12.18,12.05,12.16,230084
26-Feb-18,12.05,12.15,12.05,12.11,352358
23-Feb-18,12.15,12.15,12.04,12.05,301382
22-Feb-18,12.21,12.21,12.10,12.17,294711
21-Feb-18,12.27,12.30,12.10,12.17,555833
20-Feb-18,12.24,12.27,12.21,12.22,322000
16-Feb-18,12.26,12.30,12.23,12.23,251996
15-Feb-18,12.23,12.30,12.20,12.27,468906
14-Feb-18,12.27,12.27,12.23,12.23,614023
13-Feb-18,12.28,12.31,12.25,12.26,753202
12-Feb-18,12.31,12.36,12.26,12.27,966679
9-Feb-18,12.30,12.35,12.25,12.35,1044626
8-Feb-18,12.30,12.40,12.29,12.33,1045664
7-Feb-18,12.23,12.30,12.17,12.29,1781247
6-Feb-18,12.48,12.55,11.77,12.24,2395320
5-Feb-18,14.21,14.25,13.56,13.83,334889
2-Feb-18,14.50,14.55,14.19,14.29,159333
1-Feb-18,14.69,14.69,14.50,14.55,78850
31-Jan-18,14.80,14.85,14.58,14.65,78225
30-Jan-18,14.67,14.79,14.65,14.72,75148
29-Jan-18,14.66,14.92,14.66,14.74,121731
26-Jan-18,14.95,15.00,14.64,14.75,109226
25-Jan-18,14.87,14.97,14.60,14.87,162238
24-Jan-18,14.89,14.99,14.72,14.99,126363
23-Jan-18,14.85,14.98,14.67,14.89,195893
22-Jan-18,14.75,14.82,14.60,14.82,204671
19-Jan-18,15.18,15.18,14.91,15.02,126778
18-Jan-18,15.01,15.28,14.69,15.23,219725
17-Jan-18,15.18,15.24,15.00,15.07,119675
16-Jan-18,15.40,15.43,15.03,15.15,139424
12-Jan-18,15.39,15.39,15.11,15.28,119058
11-Jan-18,15.30,15.40,15.23,15.37,100036
10-Jan-18,15.30,15.30,15.11,15.23,116921
9-Jan-18,15.54,15.56,15.00,15.40,349172
8-Jan-18,15.44,15.92,15.40,15.90,415556
5-Jan-18,15.51,15.54,15.19,15.44,123480
4-Jan-18,15.60,15.65,15.40,15.53,91536
3-Jan-18,15.34,15.77,15.21,15.56,242567
2-Jan-18,15.10,15.35,15.09,15.27,168827
29-Dec-17,15.04,15.25,14.99,15.21,139752
28-Dec-17,15.15,15.31,15.11,15.25,105164
27-Dec-17,15.08,15.15,15.07,15.15,95761
26-Dec-17,15.20,15.25,15.01,15.05,100721
22-Dec-17,15.02,15.14,14.98,15.14,111221
21-Dec-17,15.11,15.17,14.96,14.97,109565
20-Dec-17,14.83,14.98,14.81,14.92,138332
19-Dec-17,15.35,15.36,14.75,14.80,197204
18-Dec-17,15.30,15.40,15.12,15.38,158819
15-Dec-17,14.61,15.28,14.61,15.28,434319
14-Dec-17,14.35,14.82,14.35,14.73,271765
13-Dec-17,14.27,14.35,14.26,14.31,141603
12-Dec-17,14.28,14.38,14.22,14.27,106581
11-Dec-17,14.50,14.58,14.27,14.29,69978
8-Dec-17,14.17,14.54,14.06,14.50,111099
7-Dec-17,14.05,14.22,14.01,14.19,95495
6-Dec-17,14.24,14.34,14.12,14.19,91923
5-Dec-17,14.06,14.44,14.06,14.28,169103
4-Dec-17,14.95,15.00,14.01,14.15,396005
1-Dec-17,15.06,15.06,14.59,14.95,95535
30-Nov-17,14.88,15.10,14.80,15.06,109912
29-Nov-17,15.03,15.12,14.80,14.92,135539
28-Nov-17,15.23,15.32,15.08,15.18,85253
27-Nov-17,15.30,15.35,15.21,15.23,54505
24-Nov-17,15.50,15.50,15.19,15.35,37270
22-Nov-17,15.02,15.27,15.02,15.20,64480
21-Nov-17,15.06,15.23,14.85,15.02,75113
20-Nov-17,14.90,15.45,14.82,15.00,196544
17-Nov-17,14.87,15.06,14.82,14.94,71786
16-Nov-17,15.03,15.04,14.86,14.90,87064
15-Nov-17,15.12,15.14,14.93,14.95,66637
14-Nov-17,15.18,15.21,15.02,15.07,91656
13-Nov-17,15.24,15.26,15.16,15.23,96899
10-Nov-17,15.15,15.22,15.09,15.17,132809
9-Nov-17,15.14,15.24,15.08,15.13,89006
8-Nov-17,15.08,15.18,15.05,15.15,87635
7-Nov-17,15.27,15.27,14.77,15.08,194396
6-Nov-17,15.40,15.44,15.20,15.25,184184
3-Nov-17,15.38,15.40,15.15,15.36,114652
2-Nov-17,15.03,15.40,15.01,15.38,146654
1-Nov-17,15.18,15.18,14.88,15.10,81856
31-Oct-17,15.13,15.18,15.01,15.14,68545
30-Oct-17,15.22,15.32,15.01,15.20,76369
27-Oct-17,15.18,15.34,14.86,15.32,108265
26-Oct-17,15.31,15.35,15.07,15.12,53215
25-Oct-17,15.25,15.36,15.10,15.21,110108
24-Oct-17,15.43,15.55,15.06,15.21,223109
23-Oct-17,15.59,15.70,15.52,15.57,75718
20-Oct-17,15.43,15.51,15.40,15.51,94149
19-Oct-17,15.44,15.49,15.34,15.45,112795
18-Oct-17,15.58,15.70,15.43,15.55,121885
17-Oct-17,15.17,15.49,15.13,15.48,206710
16-Oct-17,15.69,15.78,15.52,15.55,169131
13-Oct-17,15.28,15.79,15.18,15.73,474366
12-Oct-17,15.12,15.28,15.08,15.28,140939
11-Oct-17,15.17,15.25,14.85,15.12,151965
10-Oct-17,14.82,15.14,14.81,15.13,130246
9-Oct-17,14.74,14.84,14.66,14.82,96977
6-Oct-17,14.82,14.89,14.65,14.86,100513
5-Oct-17,14.88,15.35,14.65,14.96,491760
4-Oct-17,14.74,15.03,14.59,15.02,251062
3-Oct-17,14.98,15.01,14.67,14.84,102263
2-Oct-17,14.97,14.98,14.73,14.90,369038
29-Sep-17,14.72,15.05,14.72,15.03,240028
28-Sep-17,14.63,14.71,14.41,14.71,108266
27-Sep-17,14.68,14.83,14.53,14.60,135109
26-Sep-17,14.67,14.75,14.58,14.74,80336
25-Sep-17,14.74,14.80,14.54,14.59,149840
22-Sep-17,14.53,14.93,14.36,14.76,169401
21-Sep-17,14.48,14.48,14.35,14.46,82874
20-Sep-17,14.30,14.51,14.30,14.46,99777
19-Sep-17,14.60,14.60,14.21,14.34,182424
18-Sep-17,14.57,14.73,14.47,14.72,130817
15-Sep-17,14.45,14.67,14.43,14.49,140691
