Date,Open,High,Low,Close,Volume
28-Feb-18,18.55,18.70,18.25,18.25,504622
27-Feb-18,18.55,18.70,18.35,18.40,683995
26-Feb-18,18.60,18.85,18.50,18.60,418539
23-Feb-18,18.65,18.65,18.02,18.55,600496
22-Feb-18,18.55,18.80,18.30,18.60,519294
21-Feb-18,18.95,19.10,18.45,18.45,936418
20-Feb-18,18.30,19.13,18.30,18.95,1798687
16-Feb-18,18.35,18.75,18.25,18.50,762119
15-Feb-18,18.20,18.45,17.80,18.40,748649
14-Feb-18,17.65,18.05,17.38,18.00,1089947
13-Feb-18,16.85,18.10,16.85,17.75,2025526
12-Feb-18,16.95,17.10,16.60,16.80,613330
9-Feb-18,16.70,16.92,15.75,16.80,1028248
8-Feb-18,17.05,17.15,16.35,16.35,947722
7-Feb-18,17.20,17.25,16.85,17.05,654116
6-Feb-18,16.35,17.32,16.25,17.10,1080041
5-Feb-18,17.30,17.55,16.70,16.75,940552
2-Feb-18,17.45,17.60,17.20,17.55,951292
1-Feb-18,17.65,17.75,17.45,17.50,776357
31-Jan-18,18.10,18.10,17.60,17.70,1257386
30-Jan-18,17.70,18.20,17.30,17.90,1615928
29-Jan-18,17.60,18.15,17.55,17.90,1634771
26-Jan-18,17.40,18.50,17.15,17.75,4171758
25-Jan-18,15.85,16.20,15.50,16.10,1683588
24-Jan-18,16.35,16.45,15.45,15.65,1998126
23-Jan-18,17.40,17.40,16.40,16.40,915507
22-Jan-18,16.65,17.40,16.40,17.35,2697125
19-Jan-18,16.15,16.78,15.95,16.60,1332807
18-Jan-18,16.00,16.60,15.80,16.20,752581
17-Jan-18,16.15,16.20,15.45,16.00,1213682
16-Jan-18,15.45,15.55,15.05,15.30,863235
12-Jan-18,14.95,15.32,14.45,15.25,930066
11-Jan-18,14.65,15.00,14.60,14.95,613238
10-Jan-18,14.35,14.70,14.35,14.60,432536
9-Jan-18,14.75,14.85,14.35,14.55,704429
8-Jan-18,14.40,14.85,14.30,14.80,1051065
5-Jan-18,14.75,14.80,14.40,14.45,390252
4-Jan-18,14.80,14.90,14.62,14.75,415407
3-Jan-18,14.35,14.75,14.35,14.75,577994
