Date,Open,High,Low,Close,Volume
28-Feb-18,19.60,19.70,19.25,19.50,8218
27-Feb-18,19.75,19.75,19.49,19.49,1244
26-Feb-18,19.35,19.85,19.35,19.85,8013
23-Feb-18,19.35,19.35,19.25,19.25,1391
22-Feb-18,19.20,19.40,19.20,19.35,2285
21-Feb-18,19.16,19.35,19.15,19.35,4693
20-Feb-18,19.10,19.40,19.10,19.20,19217
16-Feb-18,19.11,19.30,19.11,19.30,5118
15-Feb-18,19.25,19.25,19.10,19.20,3764
14-Feb-18,19.25,19.30,19.15,19.25,4289
13-Feb-18,19.20,19.40,19.00,19.25,1501
12-Feb-18,19.25,19.35,19.00,19.10,19060
9-Feb-18,19.20,19.20,19.20,19.20,601
8-Feb-18,19.14,19.35,19.14,19.15,2564
7-Feb-18,19.40,19.40,19.20,19.25,3697
6-Feb-18,19.00,19.40,19.00,19.25,6274
5-Feb-18,19.46,19.85,19.10,19.20,13474
2-Feb-18,18.95,19.20,18.50,19.20,4035
1-Feb-18,19.90,19.90,19.30,19.30,445
31-Jan-18,19.95,19.95,19.35,19.70,6258
30-Jan-18,19.00,19.20,19.00,19.20,6462
29-Jan-18,19.26,19.40,19.20,19.20,1927
26-Jan-18,18.75,19.45,18.75,19.15,6527
25-Jan-18,19.35,19.55,19.35,19.45,4619
24-Jan-18,19.50,19.50,19.35,19.35,3536
23-Jan-18,19.45,19.45,19.10,19.40,11073
22-Jan-18,19.30,19.45,19.30,19.40,1842
19-Jan-18,19.25,19.55,19.05,19.50,6582
18-Jan-18,19.20,20.05,19.15,19.30,7705
17-Jan-18,19.00,19.10,18.75,19.10,10932
16-Jan-18,18.70,18.90,16.15,18.90,17054
12-Jan-18,18.50,18.60,18.50,18.60,13863
11-Jan-18,18.40,18.50,18.40,18.50,30974
10-Jan-18,18.15,18.40,18.15,18.40,1824
9-Jan-18,18.25,18.45,18.25,18.35,3816
8-Jan-18,18.20,18.25,18.10,18.25,1037
5-Jan-18,18.20,18.23,18.20,18.20,5091
4-Jan-18,18.24,18.50,18.20,18.20,17409
3-Jan-18,18.50,18.70,18.45,18.50,27433
2-Jan-18,18.30,18.45,18.30,18.30,1373
29-Dec-17,18.30,18.50,18.30,18.30,5154
28-Dec-17,18.15,18.20,18.15,18.20,3516
27-Dec-17,18.30,18.35,18.15,18.20,2592
26-Dec-17,18.10,18.45,18.05,18.45,3916
22-Dec-17,18.25,18.45,18.25,18.45,1634
21-Dec-17,18.15,18.40,18.15,18.40,3006
20-Dec-17,18.05,18.22,18.05,18.20,1608
19-Dec-17,18.10,18.30,18.10,18.20,2616
18-Dec-17,18.25,18.25,18.12,18.25,2487
15-Dec-17,18.30,18.35,18.25,18.35,3229
14-Dec-17,18.19,18.45,18.19,18.45,2243
13-Dec-17,18.20,18.36,18.15,18.30,6349
12-Dec-17,18.17,18.27,18.17,18.24,4186
11-Dec-17,18.10,18.35,18.10,18.35,2951
8-Dec-17,18.20,18.30,18.20,18.30,3748
7-Dec-17,18.25,18.35,18.20,18.25,5017
6-Dec-17,18.15,18.40,18.15,18.40,325
5-Dec-17,18.30,18.35,18.25,18.35,3435
4-Dec-17,18.25,18.50,18.25,18.40,20492
1-Dec-17,18.30,18.30,17.95,18.25,1618
30-Nov-17,18.20,18.45,18.20,18.35,3453
29-Nov-17,18.10,18.40,18.10,18.15,2664
28-Nov-17,18.35,18.40,18.05,18.30,4391
27-Nov-17,18.40,18.40,18.15,18.15,8455
24-Nov-17,18.30,18.35,17.85,18.35,1222
22-Nov-17,18.25,18.35,18.10,18.10,3439
21-Nov-17,18.05,18.25,18.05,18.10,9504
20-Nov-17,18.00,18.05,17.70,18.05,16662
17-Nov-17,17.80,17.95,17.80,17.95,2181
16-Nov-17,18.06,18.18,17.95,17.95,3284
15-Nov-17,17.55,18.00,17.55,18.00,6740
14-Nov-17,17.40,17.40,17.40,17.40,613
13-Nov-17,17.35,17.50,17.30,17.35,2047
10-Nov-17,17.75,17.75,17.55,17.55,512
9-Nov-17,17.95,17.95,17.55,17.70,24335
8-Nov-17,17.29,18.00,17.29,17.70,5852
7-Nov-17,17.80,17.80,17.10,17.25,14212
6-Nov-17,18.06,18.06,17.85,17.85,1522
3-Nov-17,18.40,18.40,17.96,18.00,1158
