Date,Open,High,Low,Close,Volume
28-Feb-18,11.85,12.00,11.55,11.65,205578
27-Feb-18,12.95,13.00,11.70,11.85,427726
26-Feb-18,12.60,13.00,12.60,12.90,353418
23-Feb-18,12.00,12.50,11.60,12.50,362538
22-Feb-18,11.55,12.00,11.40,11.95,250646
21-Feb-18,11.25,11.70,11.25,11.50,225781
20-Feb-18,11.50,11.50,11.20,11.35,416254
16-Feb-18,10.80,11.05,10.75,11.00,226254
15-Feb-18,10.90,11.05,10.65,10.85,213572
14-Feb-18,10.75,10.90,10.65,10.90,171219
13-Feb-18,10.70,10.90,10.69,10.85,163447
12-Feb-18,10.85,10.85,10.55,10.80,155914
9-Feb-18,10.85,10.85,10.45,10.80,251232
8-Feb-18,10.90,11.10,10.65,10.70,185311
7-Feb-18,10.55,11.05,10.55,10.95,224890
6-Feb-18,9.95,10.70,9.76,10.60,407809
5-Feb-18,9.90,10.70,9.90,10.20,441963
2-Feb-18,10.35,10.80,10.30,10.35,416937
1-Feb-18,10.45,10.80,10.30,10.35,387384
31-Jan-18,11.25,11.40,10.35,10.42,476419
30-Jan-18,11.50,11.70,11.50,11.60,102839
29-Jan-18,11.60,11.80,11.50,11.65,107550
26-Jan-18,11.70,11.70,11.50,11.65,45604
25-Jan-18,11.90,11.90,11.60,11.65,65424
24-Jan-18,11.80,12.00,11.70,11.85,97438
23-Jan-18,11.55,11.82,11.55,11.75,89803
22-Jan-18,11.45,11.60,11.30,11.60,77379
19-Jan-18,11.10,11.50,11.05,11.50,118340
18-Jan-18,11.35,11.35,11.02,11.10,119146
17-Jan-18,11.75,11.75,11.20,11.30,150452
16-Jan-18,11.70,11.95,11.52,11.65,104898
12-Jan-18,11.65,11.90,11.40,11.65,66420
11-Jan-18,11.50,11.70,11.25,11.65,113686
10-Jan-18,11.35,11.45,11.05,11.45,192222
9-Jan-18,11.40,11.42,11.18,11.40,194883
8-Jan-18,11.30,11.50,11.15,11.35,412236
5-Jan-18,11.15,11.30,11.05,11.25,132326
4-Jan-18,11.15,11.20,11.00,11.10,96589
3-Jan-18,10.90,11.15,10.75,11.05,149850
2-Jan-18,10.70,10.95,10.70,10.90,133099
29-Dec-17,10.75,10.80,10.60,10.70,130036
28-Dec-17,10.85,10.90,10.65,10.70,101865
27-Dec-17,10.85,10.98,10.75,10.80,89307
26-Dec-17,11.00,11.25,10.85,10.90,164230
22-Dec-17,11.40,11.40,11.25,11.35,62029
21-Dec-17,11.65,11.65,11.35,11.40,84863
20-Dec-17,11.40,11.60,11.25,11.55,144081
19-Dec-17,11.25,11.50,11.25,11.40,82104
18-Dec-17,11.20,11.52,11.20,11.25,138436
15-Dec-17,10.75,11.25,10.65,11.15,255060
14-Dec-17,10.85,10.95,10.65,10.75,70183
13-Dec-17,10.55,10.85,10.50,10.85,89478
12-Dec-17,10.75,10.80,10.32,10.50,270626
11-Dec-17,10.80,10.90,10.70,10.75,94102
8-Dec-17,10.70,10.85,10.62,10.70,135312
7-Dec-17,10.60,10.75,10.60,10.65,110451
6-Dec-17,10.60,10.75,10.50,10.65,150084
5-Dec-17,10.70,10.75,10.50,10.60,143934
4-Dec-17,10.40,10.75,10.40,10.65,157561
1-Dec-17,10.20,10.40,10.00,10.25,171957
30-Nov-17,10.50,10.55,10.05,10.25,258775
29-Nov-17,9.95,10.65,9.85,10.50,284753
28-Nov-17,9.75,10.10,9.72,10.05,237088
27-Nov-17,9.50,9.75,9.50,9.65,229942
24-Nov-17,9.65,9.65,9.50,9.55,52136
22-Nov-17,9.50,9.65,9.45,9.65,182973
21-Nov-17,9.45,9.55,9.40,9.50,152672
20-Nov-17,9.55,9.55,9.35,9.50,147321
17-Nov-17,9.35,9.60,9.25,9.50,216118
16-Nov-17,9.00,9.50,9.00,9.45,137229
15-Nov-17,9.10,9.30,8.95,8.95,134430
14-Nov-17,8.85,9.35,8.85,9.25,207644
13-Nov-17,9.20,9.20,8.85,8.90,244459
10-Nov-17,9.10,9.35,9.10,9.20,158461
9-Nov-17,9.20,9.25,9.02,9.15,155261
8-Nov-17,9.10,9.35,8.85,9.30,453969
7-Nov-17,9.60,9.60,9.10,9.20,304772
6-Nov-17,9.45,9.75,9.35,9.55,177721
3-Nov-17,9.55,9.58,9.40,9.50,256070
2-Nov-17,9.25,9.65,9.20,9.60,320347
1-Nov-17,9.50,9.50,9.05,9.30,243776
31-Oct-17,9.75,9.75,9.20,9.40,142417
30-Oct-17,9.65,9.65,9.15,9.35,163694
27-Oct-17,9.40,9.80,9.30,9.75,173772
26-Oct-17,9.25,9.35,9.15,9.35,130768
25-Oct-17,9.35,9.35,9.15,9.25,99110
24-Oct-17,9.35,9.35,9.15,9.35,108935
23-Oct-17,9.50,9.50,9.25,9.30,92861
20-Oct-17,9.35,9.50,9.25,9.45,135668
19-Oct-17,9.45,9.48,9.25,9.30,104112
18-Oct-17,9.65,9.70,9.45,9.50,124648
17-Oct-17,9.50,9.70,9.50,9.60,94194
16-Oct-17,9.60,9.80,9.40,9.50,105675
13-Oct-17,9.80,9.85,9.50,9.60,151612
12-Oct-17,9.95,10.00,9.70,9.80,96767
11-Oct-17,9.95,9.95,9.70,9.95,95751
10-Oct-17,9.70,10.05,9.55,9.95,173195
9-Oct-17,10.05,10.10,9.70,9.70,92351
6-Oct-17,9.95,10.15,9.80,10.05,152418
5-Oct-17,9.85,10.10,9.70,10.05,163152
4-Oct-17,9.95,9.95,9.68,9.80,106448
3-Oct-17,9.80,10.20,9.78,9.90,266991
2-Oct-17,9.90,9.95,9.72,9.80,115465
29-Sep-17,9.90,10.10,9.85,9.85,89177
28-Sep-17,10.00,10.00,9.78,9.85,65193
27-Sep-17,10.15,10.49,9.80,9.95,164722
26-Sep-17,9.75,10.15,9.65,10.05,239283
25-Sep-17,9.75,9.85,9.55,9.70,144136
22-Sep-17,9.50,9.75,9.50,9.75,112324
21-Sep-17,9.50,9.60,9.40,9.45,82547
20-Sep-17,9.60,9.60,9.40,9.45,122970
19-Sep-17,9.60,9.60,9.40,9.55,127721
18-Sep-17,9.65,9.72,9.45,9.55,159657
15-Sep-17,9.60,9.78,9.55,9.60,386768
14-Sep-17,9.60,9.85,9.50,9.55,279293
13-Sep-17,9.70,9.75,9.45,9.55,286188
12-Sep-17,9.50,9.80,9.50,9.70,190802
11-Sep-17,9.40,9.60,9.23,9.55,160399
8-Sep-17,9.45,9.45,9.12,9.35,204600
7-Sep-17,9.20,9.42,9.15,9.40,119765
6-Sep-17,9.10,9.35,9.10,9.25,154879
5-Sep-17,9.20,9.25,8.90,9.00,145154
1-Sep-17,9.05,9.25,9.00,9.15,185888
31-Aug-17,8.90,9.00,8.85,9.00,170583
30-Aug-17,8.90,9.00,8.80,8.85,191927
29-Aug-17,8.75,8.95,8.75,8.85,218276
28-Aug-17,8.90,9.10,8.45,8.85,356639
25-Aug-17,8.10,8.95,8.10,8.95,520607
24-Aug-17,8.45,8.75,7.80,8.00,593801
23-Aug-17,9.10,9.10,8.90,8.90,142221
22-Aug-17,9.30,9.45,8.98,9.10,182870
21-Aug-17,8.80,9.45,8.70,9.25,322446
18-Aug-17,8.60,8.80,8.60,8.80,146378
17-Aug-17,8.55,8.80,8.40,8.70,130743
16-Aug-17,8.70,8.90,8.55,8.55,101805
15-Aug-17,8.90,8.90,8.55,8.65,138580
14-Aug-17,8.90,9.05,8.90,8.90,47516
11-Aug-17,9.10,9.10,8.80,8.85,103615
10-Aug-17,9.10,9.15,8.85,9.05,217512
9-Aug-17,9.20,9.30,9.00,9.10,106218
8-Aug-17,9.30,9.42,9.25,9.30,57930
7-Aug-17,9.30,9.48,9.28,9.30,66428
4-Aug-17,9.30,9.45,9.28,9.35,74445
3-Aug-17,9.50,9.60,9.25,9.30,92952
2-Aug-17,9.60,9.65,9.35,9.45,139767
1-Aug-17,9.70,9.70,9.50,9.65,110203
31-Jul-17,9.65,9.75,9.59,9.65,85993
28-Jul-17,9.55,9.80,9.55,9.65,82037
27-Jul-17,9.75,9.85,9.50,9.60,190568
26-Jul-17,9.60,9.75,9.50,9.75,201948
25-Jul-17,9.60,9.75,9.60,9.60,109759
24-Jul-17,9.65,9.75,9.58,9.60,100315
21-Jul-17,9.75,9.75,9.65,9.70,281789
20-Jul-17,9.60,9.75,9.55,9.70,207927
19-Jul-17,9.60,9.70,9.60,9.65,90696
18-Jul-17,9.60,9.75,9.50,9.60,108322
17-Jul-17,9.55,9.75,9.50,9.65,104294
14-Jul-17,9.55,9.70,9.55,9.60,72813
13-Jul-17,9.45,9.70,9.35,9.60,119655
12-Jul-17,9.50,9.60,9.40,9.45,107254
11-Jul-17,9.60,9.60,9.35,9.40,181001
10-Jul-17,9.60,9.60,9.40,9.55,110955
7-Jul-17,9.55,9.65,9.40,9.65,68927
6-Jul-17,9.65,9.75,9.45,9.45,150475
5-Jul-17,10.00,10.00,9.65,9.70,137415
3-Jul-17,9.80,10.15,9.75,10.05,96007
30-Jun-17,9.90,9.90,9.65,9.75,119598
29-Jun-17,9.90,10.00,9.65,9.90,142790
28-Jun-17,9.85,10.15,9.85,9.90,188551
27-Jun-17,10.10,10.20,9.80,9.80,253166
26-Jun-17,10.05,10.30,9.90,10.15,199515
23-Jun-17,9.65,10.05,9.60,10.00,408932
22-Jun-17,9.55,9.75,9.50,9.65,194441
21-Jun-17,9.50,9.60,9.40,9.55,108322
20-Jun-17,9.60,9.60,9.38,9.50,82548
19-Jun-17,9.55,9.60,9.45,9.55,87518
16-Jun-17,9.65,9.65,9.40,9.50,227047
15-Jun-17,9.70,9.82,9.65,9.80,88222
14-Jun-17,10.10,10.12,9.66,9.80,199746
13-Jun-17,10.15,10.45,10.15,10.25,258870
12-Jun-17,10.15,10.35,9.96,10.15,202601
9-Jun-17,10.00,10.35,9.90,10.15,161109
8-Jun-17,9.90,10.05,9.80,10.00,177448
7-Jun-17,9.95,10.05,9.80,9.90,159788
6-Jun-17,9.95,10.10,9.85,9.90,137547
5-Jun-17,10.05,10.17,9.90,10.05,158301
2-Jun-17,10.00,10.15,9.98,10.05,186118
1-Jun-17,10.00,10.18,9.90,10.00,236215
31-May-17,10.10,10.15,9.90,10.00,111182
30-May-17,10.20,10.20,10.00,10.05,114884
26-May-17,10.35,10.35,10.15,10.20,107992
25-May-17,10.35,10.40,10.25,10.35,75404
24-May-17,10.35,10.40,10.25,10.30,59512
23-May-17,10.15,10.40,10.08,10.35,112491
22-May-17,10.25,10.49,10.10,10.15,167205
19-May-17,10.30,10.50,10.20,10.25,107399
18-May-17,10.10,10.40,10.10,10.35,103853
17-May-17,10.30,10.40,10.10,10.15,152901
16-May-17,10.50,10.55,10.35,10.45,124170
15-May-17,10.45,10.70,10.45,10.55,99561
12-May-17,10.55,10.60,10.35,10.40,101014
11-May-17,10.70,10.80,10.50,10.50,130970
10-May-17,10.90,10.90,10.65,10.75,138985
9-May-17,10.70,10.95,10.65,10.90,144893
8-May-17,10.45,10.75,10.45,10.65,199654
5-May-17,10.20,10.55,10.05,10.50,155339
4-May-17,10.30,10.40,10.00,10.15,208720
3-May-17,10.45,10.62,10.15,10.30,138130
2-May-17,10.45,11.30,10.25,10.45,300745
1-May-17,10.85,11.15,10.60,10.95,275546
28-Apr-17,10.85,10.85,10.55,10.75,124539
27-Apr-17,10.60,10.85,10.55,10.80,54501
26-Apr-17,10.60,10.65,10.50,10.55,163075
