Date,Open,High,Low,Close,Volume
28-Feb-18,6.55,6.60,6.40,6.45,112399
27-Feb-18,6.50,6.60,6.45,6.60,54095
26-Feb-18,6.55,6.55,6.30,6.50,52645
23-Feb-18,6.55,6.55,6.31,6.50,33844
22-Feb-18,6.55,6.55,6.30,6.45,105222
21-Feb-18,6.45,6.65,6.35,6.50,65230
20-Feb-18,6.35,6.55,6.30,6.50,69131
16-Feb-18,6.55,6.65,6.30,6.45,92373
15-Feb-18,6.35,6.70,6.20,6.60,122917
14-Feb-18,6.40,6.70,5.97,6.35,364781
13-Feb-18,6.70,6.80,6.30,6.65,97166
12-Feb-18,6.45,6.70,6.20,6.60,51951
9-Feb-18,5.90,6.50,5.85,6.45,189996
8-Feb-18,6.60,6.66,5.80,5.80,359260
7-Feb-18,6.55,6.95,6.46,6.60,64763
6-Feb-18,5.90,6.75,5.90,6.60,136872
5-Feb-18,6.00,6.32,5.95,5.95,91389
2-Feb-18,6.20,6.23,5.80,6.00,456909
1-Feb-18,6.55,6.60,6.25,6.25,182991
31-Jan-18,6.60,6.85,6.50,6.60,148019
30-Jan-18,6.95,6.95,6.55,6.55,118805
29-Jan-18,7.05,7.19,6.65,6.85,118629
26-Jan-18,7.15,7.25,6.90,7.05,77891
25-Jan-18,7.50,7.50,7.00,7.10,61192
24-Jan-18,7.05,7.55,6.85,7.35,126274
23-Jan-18,7.20,7.35,6.95,7.05,42526
22-Jan-18,7.65,7.65,7.05,7.15,94406
19-Jan-18,7.05,7.60,7.00,7.45,152175
18-Jan-18,6.80,7.00,6.80,6.95,69042
17-Jan-18,6.45,6.90,6.38,6.70,130306
16-Jan-18,7.00,7.00,6.30,6.45,174363
12-Jan-18,6.90,6.97,6.80,6.95,45929
11-Jan-18,6.50,6.95,6.50,6.85,51637
10-Jan-18,6.80,6.85,6.50,6.50,40220
9-Jan-18,6.70,6.95,6.55,6.80,56423
8-Jan-18,7.05,7.05,6.51,6.65,100667
5-Jan-18,7.20,7.20,6.81,6.95,89918
4-Jan-18,7.20,7.20,6.95,7.05,88070
3-Jan-18,6.35,7.15,6.35,7.10,134235
2-Jan-18,6.55,6.80,6.30,6.40,96877
29-Dec-17,6.20,6.50,6.15,6.45,112854
28-Dec-17,6.40,6.40,6.00,6.15,174166
27-Dec-17,6.45,6.70,6.34,6.38,108863
26-Dec-17,6.65,6.70,6.25,6.55,106837
22-Dec-17,6.60,6.75,6.51,6.65,61417
21-Dec-17,7.00,7.04,6.65,6.70,65353
20-Dec-17,6.80,7.05,6.77,7.00,128076
19-Dec-17,6.80,6.95,6.70,6.75,104603
18-Dec-17,6.70,6.95,6.65,6.80,94905
15-Dec-17,6.55,6.75,6.50,6.65,174510
14-Dec-17,6.75,6.75,6.55,6.55,148029
13-Dec-17,6.55,6.94,6.55,6.75,128433
12-Dec-17,7.20,7.20,6.05,6.50,311329
11-Dec-17,7.00,7.40,7.00,7.20,114529
8-Dec-17,7.50,7.55,6.90,7.00,96806
7-Dec-17,7.30,7.65,7.15,7.45,114508
6-Dec-17,7.55,7.70,7.20,7.30,74423
5-Dec-17,7.35,7.80,7.34,7.55,126926
4-Dec-17,7.90,8.20,7.30,7.35,147563
1-Dec-17,8.10,8.25,7.60,7.85,134279
30-Nov-17,8.20,8.40,8.05,8.20,134470
29-Nov-17,8.40,8.50,7.95,8.00,147018
28-Nov-17,8.50,8.55,8.35,8.40,177075
27-Nov-17,8.50,8.60,8.30,8.45,227619
24-Nov-17,8.30,8.45,8.15,8.45,112780
22-Nov-17,8.15,8.34,8.10,8.20,207936
21-Nov-17,7.95,8.35,7.94,8.10,238685
20-Nov-17,7.80,8.00,7.70,7.80,160172
17-Nov-17,7.65,8.00,7.60,7.70,59887
16-Nov-17,7.85,8.10,7.66,7.70,107590
15-Nov-17,7.70,7.85,7.50,7.75,173075
14-Nov-17,7.95,8.10,7.68,7.85,110388
13-Nov-17,8.55,8.55,7.72,8.00,329064
10-Nov-17,8.40,8.65,8.20,8.50,351395
9-Nov-17,8.30,9.00,8.20,8.45,915989
8-Nov-17,7.50,7.80,7.05,7.70,202158
7-Nov-17,7.90,7.90,7.50,7.55,85464
6-Nov-17,7.60,8.00,7.35,7.95,156310
3-Nov-17,7.65,7.70,7.40,7.55,99780
2-Nov-17,7.70,7.75,7.60,7.70,47793
1-Nov-17,7.70,7.95,7.60,7.70,86246
31-Oct-17,7.95,8.20,7.75,7.90,97683
30-Oct-17,7.95,8.10,7.90,7.95,125882
27-Oct-17,7.85,7.95,7.40,7.95,146831
26-Oct-17,7.85,7.90,7.50,7.70,81978
25-Oct-17,7.80,7.95,7.35,7.85,134829
24-Oct-17,7.15,7.90,7.06,7.80,140086
23-Oct-17,7.50,7.50,7.05,7.30,147221
20-Oct-17,7.70,7.80,7.50,7.50,72010
19-Oct-17,8.05,8.05,7.52,7.70,137313
18-Oct-17,7.85,8.00,7.55,7.95,68785
17-Oct-17,7.90,8.00,7.56,7.70,132295
16-Oct-17,8.15,8.15,7.90,8.00,56280
13-Oct-17,8.10,8.24,8.00,8.05,57894
12-Oct-17,8.10,9.20,7.90,8.10,320284
11-Oct-17,8.35,8.37,8.25,8.35,107337
10-Oct-17,8.20,8.35,7.85,8.25,161731
9-Oct-17,8.50,8.50,7.65,8.25,248431
6-Oct-17,7.60,8.35,7.25,8.15,462620
5-Oct-17,7.35,7.55,7.20,7.55,115827
4-Oct-17,7.80,7.85,7.00,7.30,243667
3-Oct-17,7.55,7.85,7.40,7.75,69212
2-Oct-17,8.00,8.05,7.50,7.55,105539
29-Sep-17,7.70,7.87,7.65,7.85,48222
28-Sep-17,7.95,8.00,7.65,7.85,73727
27-Sep-17,7.20,7.85,7.15,7.85,230809
26-Sep-17,7.45,7.45,6.85,7.10,258104
25-Sep-17,7.55,7.60,7.05,7.40,195479
22-Sep-17,7.35,7.85,7.30,7.60,134911
21-Sep-17,8.15,8.15,7.05,7.30,277093
20-Sep-17,8.15,8.15,7.95,8.15,299029
19-Sep-17,7.75,8.15,7.65,8.10,620605
18-Sep-17,7.80,7.90,7.55,7.75,384618
15-Sep-17,7.65,7.82,7.35,7.80,167432
14-Sep-17,7.80,7.80,7.48,7.65,124284
13-Sep-17,7.95,7.95,7.40,7.70,255902
12-Sep-17,7.30,7.90,7.25,7.80,920419
11-Sep-17,6.60,7.30,6.45,7.20,551055
8-Sep-17,6.40,6.70,6.35,6.65,260040
7-Sep-17,6.40,6.50,6.40,6.45,75494
6-Sep-17,6.50,6.50,6.20,6.50,84671
5-Sep-17,6.60,6.70,6.31,6.55,69898
1-Sep-17,6.45,6.70,6.35,6.70,53041
31-Aug-17,6.70,6.80,6.50,6.50,74159
30-Aug-17,6.80,6.90,6.50,6.65,92578
29-Aug-17,7.10,7.10,6.65,6.80,95937
28-Aug-17,7.00,7.15,6.35,7.05,226178
25-Aug-17,6.95,7.00,6.65,7.00,67869
24-Aug-17,6.95,7.15,6.50,6.85,521299
23-Aug-17,6.35,6.94,6.34,6.90,834209
22-Aug-17,6.25,6.55,6.25,6.35,119742
21-Aug-17,6.60,6.60,6.20,6.25,91641
18-Aug-17,6.45,6.65,6.25,6.50,186244
17-Aug-17,6.50,6.60,6.25,6.50,303809
16-Aug-17,6.25,6.60,6.20,6.45,328661
15-Aug-17,6.05,6.30,6.00,6.20,102737
14-Aug-17,5.60,6.40,5.60,6.10,346385
11-Aug-17,5.30,5.50,5.13,5.45,35386
10-Aug-17,5.70,5.73,5.10,5.30,140731
9-Aug-17,5.40,5.80,5.36,5.55,95616
8-Aug-17,5.70,5.90,5.40,5.50,140343
7-Aug-17,5.10,6.10,4.97,5.70,249630
4-Aug-17,5.00,5.40,4.75,5.40,191070
3-Aug-17,4.50,4.60,4.25,4.25,86288
2-Aug-17,4.75,4.78,4.50,4.70,31496
1-Aug-17,4.90,4.90,4.65,4.70,39470
31-Jul-17,4.75,4.90,4.70,4.88,9560
28-Jul-17,4.70,4.75,4.65,4.75,9251
27-Jul-17,4.85,5.05,4.63,4.65,43480
26-Jul-17,5.15,5.15,4.85,4.85,111352
25-Jul-17,4.86,5.10,4.86,5.00,19868
24-Jul-17,4.95,5.00,4.85,4.85,34603
21-Jul-17,4.90,4.95,4.75,4.95,47952
20-Jul-17,4.95,5.00,4.89,4.95,11210
19-Jul-17,4.75,4.95,4.71,4.90,32972
18-Jul-17,4.55,4.75,4.55,4.70,6214
17-Jul-17,4.70,4.70,4.50,4.50,7965
14-Jul-17,4.65,4.75,4.55,4.75,52838
13-Jul-17,4.75,4.75,4.67,4.70,16281
12-Jul-17,4.70,4.75,4.65,4.75,16947
11-Jul-17,4.95,4.95,4.70,4.75,13054
10-Jul-17,4.55,4.95,4.55,4.90,68035
7-Jul-17,4.50,4.60,4.50,4.60,14486
6-Jul-17,4.45,4.58,4.40,4.45,16139
5-Jul-17,4.40,4.55,4.35,4.45,25032
3-Jul-17,4.60,4.60,4.35,4.35,29251
30-Jun-17,4.75,4.75,4.50,4.55,14128
29-Jun-17,4.90,4.95,4.65,4.75,7977
28-Jun-17,4.50,4.95,4.50,4.85,74982
27-Jun-17,4.60,4.65,4.55,4.55,27589
26-Jun-17,4.45,4.70,4.40,4.60,80120
23-Jun-17,4.80,4.80,4.40,4.50,71528
22-Jun-17,4.50,5.10,4.50,4.80,122815
21-Jun-17,4.25,4.55,4.22,4.50,97039
20-Jun-17,4.10,4.26,4.00,4.20,143013
19-Jun-17,4.10,4.20,4.05,4.05,110683
16-Jun-17,4.05,4.30,4.00,4.00,273286
15-Jun-17,4.25,4.50,4.00,4.05,1202339
14-Jun-17,4.55,4.95,4.35,4.80,75975
13-Jun-17,4.70,4.70,4.50,4.60,17541
12-Jun-17,4.65,4.70,4.50,4.65,41690
9-Jun-17,4.80,4.90,4.65,4.77,23895
8-Jun-17,4.80,4.90,4.80,4.85,11561
7-Jun-17,4.85,4.90,4.80,4.85,14095
6-Jun-17,4.82,5.05,4.80,4.80,12383
5-Jun-17,4.85,5.00,4.82,4.90,8081
2-Jun-17,4.95,5.05,4.80,4.85,15853
1-Jun-17,4.85,5.08,4.68,4.95,20130
31-May-17,4.80,4.92,4.55,4.85,71130
30-May-17,5.00,5.08,4.85,4.95,22565
26-May-17,5.15,5.15,4.95,5.05,9763
25-May-17,5.30,5.30,4.96,5.10,27415
24-May-17,5.20,5.35,5.00,5.20,63152
23-May-17,5.40,5.40,5.15,5.30,19897
22-May-17,5.25,5.45,5.15,5.42,35306
19-May-17,5.05,5.34,4.92,5.25,111121
18-May-17,4.70,5.10,4.50,5.00,144350
17-May-17,4.88,4.90,4.70,4.80,85826
16-May-17,5.20,5.28,4.90,5.10,47774
15-May-17,5.25,5.33,5.00,5.15,47886
12-May-17,5.00,5.15,4.65,5.05,94280
11-May-17,5.50,5.54,4.61,5.00,191394
10-May-17,5.55,5.55,5.05,5.25,98360
9-May-17,5.30,5.52,5.30,5.35,80745
8-May-17,5.45,5.50,5.20,5.40,83418
5-May-17,5.10,5.65,5.10,5.60,149483
4-May-17,5.06,5.20,5.05,5.20,29470
3-May-17,5.10,5.20,5.00,5.15,26886
2-May-17,5.05,5.30,5.00,5.20,39205
1-May-17,5.40,5.40,5.24,5.35,46773
28-Apr-17,5.50,5.50,5.20,5.35,42994
27-Apr-17,5.30,5.55,5.27,5.35,64637
26-Apr-17,5.45,5.45,5.17,5.30,45300
25-Apr-17,5.40,5.55,5.25,5.40,112950
24-Apr-17,5.60,5.79,5.40,5.45,55181
21-Apr-17,5.45,5.80,5.20,5.45,178404
20-Apr-17,5.25,5.51,5.10,5.30,185181
19-Apr-17,5.35,5.40,5.06,5.25,108579
18-Apr-17,5.30,5.50,4.95,5.40,117308
17-Apr-17,4.40,5.55,4.40,5.25,334635
13-Apr-17,4.15,4.49,4.15,4.45,134333
12-Apr-17,4.05,4.20,4.05,4.20,40098
11-Apr-17,4.10,4.11,4.00,4.00,9786
10-Apr-17,4.20,4.20,4.07,4.15,36398
7-Apr-17,3.85,4.10,3.80,4.10,60092
6-Apr-17,3.85,3.95,3.71,3.85,25351
5-Apr-17,4.00,4.10,3.90,3.95,33883
4-Apr-17,4.10,4.10,4.00,4.00,15712
3-Apr-17,4.20,4.20,4.10,4.10,7027
31-Mar-17,4.20,4.20,4.10,4.15,28191
30-Mar-17,4.00,4.20,4.00,4.15,23686
29-Mar-17,3.95,4.10,3.95,4.00,26088
28-Mar-17,4.20,4.30,3.90,3.95,95698
27-Mar-17,4.15,4.20,4.11,4.20,12280
24-Mar-17,4.00,4.15,3.95,4.15,22765
23-Mar-17,3.94,3.97,3.85,3.95,5618
22-Mar-17,3.90,4.00,3.70,4.00,24332
21-Mar-17,4.40,4.40,3.90,3.90,34807
20-Mar-17,4.35,4.35,4.30,4.35,6812
17-Mar-17,4.30,4.35,4.15,4.35,36321
16-Mar-17,4.20,4.35,4.10,4.30,41460
15-Mar-17,3.85,4.20,3.85,4.20,97103
14-Mar-17,3.65,4.15,3.60,4.10,68632
13-Mar-17,3.55,3.60,3.36,3.60,43844
