Date,Open,High,Low,Close,Volume
28-Feb-18,66.13,66.80,64.80,65.47,167463
27-Feb-18,65.07,66.72,65.02,65.95,101167
26-Feb-18,69.73,70.45,65.28,65.58,203955
23-Feb-18,68.65,70.17,67.28,69.57,142658
22-Feb-18,69.58,69.67,67.99,69.37,73198
21-Feb-18,68.60,70.09,68.60,69.59,95691
20-Feb-18,67.11,68.37,67.00,68.32,145612
16-Feb-18,67.00,68.26,67.00,67.85,150699
15-Feb-18,66.37,67.42,66.00,67.17,106983
14-Feb-18,64.11,66.37,64.09,65.88,201821
13-Feb-18,66.18,66.18,63.12,64.09,175927
12-Feb-18,66.78,67.99,65.85,66.31,136764
9-Feb-18,67.03,67.90,64.88,66.28,125581
8-Feb-18,67.39,68.94,66.26,66.85,257112
7-Feb-18,67.46,68.12,67.23,67.35,213910
6-Feb-18,67.07,69.00,64.02,67.80,96210
5-Feb-18,68.69,70.40,67.86,68.09,138431
2-Feb-18,70.82,70.82,68.48,69.03,94133
1-Feb-18,69.95,71.77,69.49,71.15,252160
31-Jan-18,69.88,71.35,69.72,70.09,253237
30-Jan-18,68.60,70.09,68.00,69.71,324608
29-Jan-18,69.07,69.89,68.87,68.93,141005
26-Jan-18,68.76,69.25,68.00,69.12,160822
25-Jan-18,68.35,68.42,67.97,68.21,100217
24-Jan-18,68.59,68.59,67.71,68.25,132944
23-Jan-18,68.13,68.48,67.84,68.07,280168
22-Jan-18,67.32,68.53,66.87,68.13,151642
19-Jan-18,66.81,67.79,66.70,67.00,221563
18-Jan-18,67.60,68.30,66.42,66.89,957108
17-Jan-18,67.37,67.82,66.74,67.58,65052
16-Jan-18,66.20,67.79,66.01,66.63,138745
12-Jan-18,65.16,66.23,64.85,65.64,118083
11-Jan-18,66.10,66.44,64.74,64.84,51738
10-Jan-18,65.44,66.40,65.07,66.03,133833
9-Jan-18,64.38,66.41,64.22,65.57,122978
8-Jan-18,62.63,64.66,62.63,64.17,631575
5-Jan-18,62.25,63.15,61.84,62.51,393083
4-Jan-18,61.38,62.96,61.04,61.85,148187
3-Jan-18,62.10,62.97,58.56,61.22,63870
2-Jan-18,61.36,62.66,61.36,62.09,49493
29-Dec-17,61.63,61.63,60.72,60.85,55264
28-Dec-17,62.00,62.02,60.88,61.41,44972
27-Dec-17,62.07,62.17,61.50,61.80,87874
26-Dec-17,60.80,62.14,60.22,61.71,50320
22-Dec-17,61.68,62.34,60.95,61.25,68753
21-Dec-17,61.51,62.65,59.40,61.53,104081
20-Dec-17,62.56,63.08,61.23,61.53,147322
19-Dec-17,60.72,62.88,60.00,62.52,184525
18-Dec-17,60.10,61.03,59.80,60.55,186510
15-Dec-17,59.13,60.22,57.75,59.76,197309
14-Dec-17,58.58,59.60,57.68,59.24,95606
13-Dec-17,58.25,58.76,57.17,58.48,87396
12-Dec-17,58.41,58.65,58.02,58.24,75277
11-Dec-17,58.14,59.01,58.03,58.44,95635
8-Dec-17,58.43,59.98,57.82,58.01,235276
7-Dec-17,57.94,59.13,57.94,58.57,178707
6-Dec-17,57.09,58.00,56.33,57.79,84759
5-Dec-17,57.21,57.78,56.82,57.36,148164
4-Dec-17,57.31,57.88,56.33,57.39,194884
1-Dec-17,57.61,57.84,56.22,56.90,286553
30-Nov-17,58.23,58.75,57.14,57.50,408976
29-Nov-17,59.14,59.14,56.94,58.22,1131388
28-Nov-17,60.66,61.12,58.84,59.34,112929
27-Nov-17,62.10,62.10,60.63,60.65,75051
24-Nov-17,61.56,62.06,61.13,61.95,49775
22-Nov-17,62.71,62.74,61.33,61.72,70155
21-Nov-17,62.85,63.10,62.07,62.70,83227
20-Nov-17,62.57,63.86,62.06,62.75,269749
17-Nov-17,61.99,63.00,61.80,62.57,367603
16-Nov-17,61.17,62.64,61.00,62.12,107996
15-Nov-17,61.79,62.26,60.57,60.89,53343
14-Nov-17,62.67,63.68,61.78,61.90,90223
13-Nov-17,63.77,63.98,62.58,62.99,126758
10-Nov-17,62.13,64.47,59.45,63.80,239830
9-Nov-17,61.73,62.59,61.10,62.43,138991
8-Nov-17,62.25,63.08,61.57,61.86,160589
7-Nov-17,62.04,62.70,61.98,62.42,353407
6-Nov-17,61.43,62.44,61.13,62.03,164727
3-Nov-17,61.81,62.23,60.72,61.23,200149
2-Nov-17,61.58,62.45,61.58,61.80,85084
1-Nov-17,61.68,62.50,60.96,61.26,75915
31-Oct-17,61.06,62.38,60.82,61.90,178111
30-Oct-17,62.20,62.20,60.68,60.84,238788
27-Oct-17,62.50,62.94,61.64,62.29,62117
26-Oct-17,61.67,62.63,61.51,62.36,62554
25-Oct-17,61.77,62.58,61.47,61.72,74929
24-Oct-17,61.80,62.25,61.09,61.76,114602
23-Oct-17,61.75,62.42,61.33,61.79,119223
20-Oct-17,62.71,62.95,61.54,62.05,88372
19-Oct-17,62.81,62.84,61.03,62.23,104615
18-Oct-17,63.85,64.61,63.00,63.13,315078
17-Oct-17,64.38,64.74,63.36,63.57,69620
16-Oct-17,65.10,65.10,64.46,64.74,215097
13-Oct-17,65.26,65.85,64.04,64.76,165172
12-Oct-17,61.73,64.77,61.73,64.50,747399
11-Oct-17,61.05,61.82,60.60,61.73,120157
10-Oct-17,60.95,61.24,60.66,61.04,88378
9-Oct-17,61.09,61.60,60.64,60.68,128015
6-Oct-17,60.48,61.58,60.48,60.86,89128
5-Oct-17,61.63,61.98,60.65,60.73,44662
4-Oct-17,61.70,61.90,61.14,61.64,98439
3-Oct-17,62.01,62.40,61.42,61.71,108352
2-Oct-17,61.48,62.16,60.26,61.49,113954
29-Sep-17,60.82,61.23,60.38,60.61,291162
28-Sep-17,61.37,61.37,60.46,60.60,75623
27-Sep-17,60.84,61.76,60.49,61.23,136151
26-Sep-17,59.47,60.30,58.80,60.26,189148
25-Sep-17,62.00,62.00,58.36,59.55,293909
22-Sep-17,59.02,62.00,59.02,61.75,295964
21-Sep-17,58.55,59.80,57.95,58.50,290583
20-Sep-17,60.14,60.24,58.48,58.49,126446
19-Sep-17,59.06,60.31,58.84,59.94,125751
18-Sep-17,58.70,59.46,58.02,58.68,350040
15-Sep-17,60.42,61.06,58.29,58.66,324533
14-Sep-17,59.55,60.44,59.08,60.41,248391
13-Sep-17,60.31,60.42,59.58,59.62,54670
12-Sep-17,59.67,60.59,59.47,60.39,148478
11-Sep-17,59.44,60.21,58.99,59.29,143389
8-Sep-17,60.05,60.45,58.96,58.99,156520
7-Sep-17,59.93,60.55,59.64,60.04,104362
6-Sep-17,59.52,60.07,59.39,59.86,77829
5-Sep-17,59.97,60.20,58.96,59.39,87930
1-Sep-17,59.59,60.34,59.16,59.92,88095
31-Aug-17,58.47,59.55,58.47,59.40,109926
30-Aug-17,58.06,59.32,58.06,58.87,135056
29-Aug-17,57.00,58.22,56.92,58.06,185996
28-Aug-17,57.90,58.11,57.26,57.80,83407
25-Aug-17,58.79,59.36,57.64,58.06,141604
24-Aug-17,59.55,59.59,57.96,58.40,133232
23-Aug-17,58.33,59.59,58.02,59.23,164339
22-Aug-17,59.03,59.64,58.43,58.94,220742
21-Aug-17,56.77,59.64,56.77,59.43,271387
18-Aug-17,57.47,57.72,56.61,56.68,116114
17-Aug-17,56.29,58.22,55.89,57.50,288686
16-Aug-17,56.50,56.79,56.10,56.40,86897
15-Aug-17,56.00,56.75,55.73,56.54,116951
14-Aug-17,56.00,56.77,55.49,55.71,168446
11-Aug-17,54.98,55.66,53.26,55.63,160723
10-Aug-17,56.79,56.85,54.41,55.04,135194
9-Aug-17,55.12,56.91,54.32,56.62,251670
8-Aug-17,53.60,55.16,53.57,55.12,213321
7-Aug-17,55.12,55.30,53.27,53.73,510307
4-Aug-17,51.06,56.94,51.06,55.39,456964
3-Aug-17,49.50,50.75,49.25,50.44,140105
2-Aug-17,50.49,50.80,48.86,49.67,368701
1-Aug-17,49.11,50.59,49.11,50.18,268267
31-Jul-17,48.23,49.44,48.15,49.26,135673
28-Jul-17,47.50,48.25,47.17,48.16,55993
27-Jul-17,48.00,48.20,47.12,47.79,109764
26-Jul-17,48.40,48.74,47.50,48.04,93013
25-Jul-17,48.32,48.32,47.74,48.08,54476
24-Jul-17,48.13,48.27,47.40,48.14,69664
21-Jul-17,47.98,48.44,47.94,48.12,21219
