Date,Open,High,Low,Close,Volume
28-Feb-18,6.60,6.80,6.60,6.80,6527
27-Feb-18,6.63,6.64,6.63,6.64,2569
26-Feb-18,6.80,6.85,6.60,6.70,6218
23-Feb-18,6.60,6.75,6.60,6.65,1798
22-Feb-18,6.90,6.95,6.60,6.70,12330
21-Feb-18,6.90,6.90,6.80,6.90,8330
20-Feb-18,7.10,7.10,6.90,6.95,4538
16-Feb-18,7.10,7.10,7.10,7.10,711
15-Feb-18,7.00,7.05,6.96,6.98,5164
14-Feb-18,7.05,7.15,6.95,6.95,8435
13-Feb-18,6.95,7.10,6.95,7.10,4570
12-Feb-18,7.05,7.05,6.90,6.90,1480
9-Feb-18,7.05,7.05,6.90,7.00,18790
8-Feb-18,7.00,7.25,6.95,7.05,11555
7-Feb-18,6.95,6.95,6.90,6.90,696
6-Feb-18,6.75,7.00,6.65,6.85,11853
5-Feb-18,6.70,6.75,6.60,6.70,2873
2-Feb-18,6.70,6.80,6.55,6.75,6899
1-Feb-18,6.75,6.80,6.60,6.80,5244
31-Jan-18,6.90,6.97,6.85,6.86,7277
30-Jan-18,6.85,6.85,6.80,6.80,1354
29-Jan-18,6.95,7.04,6.90,6.90,5083
26-Jan-18,6.64,7.05,6.64,7.05,1769
25-Jan-18,6.90,7.03,6.74,7.02,5345
24-Jan-18,6.90,6.91,6.85,6.90,6768
23-Jan-18,6.90,6.90,6.90,6.90,1032
22-Jan-18,7.05,7.05,6.95,7.00,464
19-Jan-18,6.80,7.00,6.78,6.95,9316
18-Jan-18,7.01,7.10,7.01,7.05,865
17-Jan-18,7.15,7.15,6.80,7.10,9683
16-Jan-18,7.15,7.15,6.93,7.15,6236
12-Jan-18,7.15,7.15,6.90,7.05,12111
11-Jan-18,7.15,7.15,7.00,7.10,6722
10-Jan-18,7.00,7.14,6.89,7.14,18870
9-Jan-18,7.05,7.10,7.00,7.10,4682
8-Jan-18,7.25,7.30,7.25,7.25,587
5-Jan-18,7.25,7.27,7.15,7.21,7081
4-Jan-18,7.10,7.20,7.10,7.20,578
3-Jan-18,7.15,7.25,7.15,7.15,1426
2-Jan-18,7.20,7.45,7.14,7.20,2513
29-Dec-17,7.15,7.25,7.15,7.25,2724
28-Dec-17,7.25,7.25,7.12,7.25,686
27-Dec-17,7.08,7.25,7.08,7.25,2745
26-Dec-17,7.25,7.30,7.09,7.30,3199
22-Dec-17,7.20,7.32,7.01,7.30,4623
21-Dec-17,7.25,7.25,7.25,7.25,307
20-Dec-17,7.10,7.30,7.10,7.30,2947
19-Dec-17,7.20,7.30,7.10,7.30,879
18-Dec-17,7.25,7.35,7.25,7.30,6460
15-Dec-17,7.05,7.30,6.85,7.20,16945
14-Dec-17,7.35,7.39,7.10,7.20,6021
13-Dec-17,7.45,7.45,7.20,7.20,11616
12-Dec-17,7.31,7.36,7.31,7.32,2936
11-Dec-17,7.30,7.45,7.26,7.45,4719
8-Dec-17,7.30,7.30,7.30,7.30,659
7-Dec-17,7.43,7.45,7.40,7.40,2620
6-Dec-17,7.37,7.45,7.29,7.45,2545
5-Dec-17,7.30,7.45,7.20,7.45,5872
4-Dec-17,7.35,7.35,7.11,7.20,4327
1-Dec-17,7.35,7.40,7.15,7.35,3004
30-Nov-17,7.40,7.40,7.30,7.30,759
29-Nov-17,7.40,7.40,7.28,7.35,9638
28-Nov-17,7.35,7.48,7.21,7.40,1906
27-Nov-17,7.20,7.55,7.20,7.35,6175
24-Nov-17,7.40,7.40,7.10,7.25,15109
22-Nov-17,7.18,7.30,7.10,7.25,2529
21-Nov-17,7.70,7.70,7.00,7.25,32475
20-Nov-17,7.45,7.75,7.40,7.56,29034
17-Nov-17,7.10,7.40,7.10,7.40,67235
16-Nov-17,7.16,7.30,7.16,7.21,6419
15-Nov-17,7.15,7.15,6.95,7.10,13647
14-Nov-17,7.15,7.24,6.95,7.10,11363
13-Nov-17,7.06,7.25,7.05,7.13,7778
10-Nov-17,6.95,7.10,6.95,7.00,1002
9-Nov-17,7.05,7.09,7.00,7.09,8390
8-Nov-17,6.95,7.15,6.95,7.00,2907
7-Nov-17,7.05,7.10,6.95,7.00,3385
6-Nov-17,7.10,7.10,7.00,7.10,10880
3-Nov-17,7.05,7.20,7.05,7.18,4825
2-Nov-17,7.24,7.24,7.05,7.10,4218
1-Nov-17,7.10,7.10,7.09,7.09,893
31-Oct-17,7.10,7.12,7.09,7.12,2541
30-Oct-17,7.15,7.15,7.00,7.09,6784
27-Oct-17,7.10,7.18,7.04,7.12,4176
26-Oct-17,7.10,7.20,7.10,7.20,3449
25-Oct-17,7.10,7.30,7.10,7.20,985
24-Oct-17,7.35,7.37,7.12,7.12,4759
23-Oct-17,7.35,7.35,7.30,7.32,2953
20-Oct-17,7.55,7.65,7.40,7.46,1435
19-Oct-17,7.45,7.56,7.35,7.44,11330
18-Oct-17,7.35,7.50,7.35,7.50,464
17-Oct-17,7.50,7.50,7.40,7.45,2106
16-Oct-17,7.30,7.45,7.30,7.45,1384
13-Oct-17,7.35,7.35,7.31,7.35,4061
12-Oct-17,7.55,7.55,7.35,7.35,4612
11-Oct-17,7.57,7.65,7.57,7.60,1084
10-Oct-17,7.61,7.68,7.61,7.68,446
9-Oct-17,7.70,7.70,7.57,7.60,2999
6-Oct-17,7.65,7.70,7.65,7.70,2048
5-Oct-17,7.75,7.75,7.68,7.70,6962
4-Oct-17,7.74,7.74,7.70,7.70,1045
3-Oct-17,7.70,7.75,7.68,7.70,1562
2-Oct-17,7.75,7.75,7.64,7.65,3661
29-Sep-17,7.60,7.84,7.60,7.70,4145
28-Sep-17,7.90,7.90,7.50,7.55,5832
27-Sep-17,7.80,8.00,7.70,8.00,2810
26-Sep-17,7.47,8.00,7.47,7.62,6173
25-Sep-17,7.67,7.67,7.55,7.55,445
22-Sep-17,7.75,7.75,7.45,7.75,4734
21-Sep-17,7.80,7.80,7.65,7.80,2798
20-Sep-17,7.80,8.00,7.70,7.85,4885
19-Sep-17,7.87,7.90,7.85,7.90,955
