Date,Open,High,Low,Close,Volume
28-Feb-18,43.50,43.88,43.38,43.85,608824
27-Feb-18,43.50,43.85,43.35,43.55,441203
26-Feb-18,43.45,43.85,43.00,43.85,801684
23-Feb-18,43.05,43.55,42.95,43.55,588521
22-Feb-18,42.90,43.15,42.60,42.95,480477
21-Feb-18,43.25,43.35,42.80,42.85,637036
20-Feb-18,42.60,43.45,42.50,43.40,1050467
16-Feb-18,42.65,42.85,42.50,42.70,1812619
15-Feb-18,43.20,43.35,42.60,42.75,5479691
14-Feb-18,36.85,38.75,36.75,38.65,207545
13-Feb-18,36.75,37.25,36.40,37.15,190791
12-Feb-18,36.55,37.25,35.85,36.90,147124
9-Feb-18,36.00,36.80,35.25,36.40,234030
8-Feb-18,36.40,36.75,35.50,35.55,228012
7-Feb-18,36.50,37.00,35.75,36.35,195108
6-Feb-18,35.20,37.00,35.20,36.60,287289
5-Feb-18,37.70,38.35,35.85,35.95,201379
2-Feb-18,38.60,38.90,37.95,38.00,163141
1-Feb-18,38.80,39.35,38.30,39.10,103224
31-Jan-18,38.85,39.40,38.55,39.00,116451
30-Jan-18,38.55,39.95,38.05,38.45,160263
29-Jan-18,40.15,40.30,38.95,39.00,181378
26-Jan-18,39.50,40.45,39.15,40.35,154822
25-Jan-18,38.70,39.50,38.65,39.35,191669
24-Jan-18,38.95,39.40,38.40,38.40,79075
23-Jan-18,38.85,39.15,38.30,38.75,54595
22-Jan-18,39.00,39.10,38.50,38.80,77221
19-Jan-18,38.20,39.15,38.00,39.15,73043
18-Jan-18,39.05,39.15,38.10,38.25,168662
17-Jan-18,38.35,39.20,38.10,39.20,130167
16-Jan-18,39.45,39.65,38.15,38.30,184148
12-Jan-18,40.00,40.50,39.20,39.25,117581
11-Jan-18,39.05,40.05,38.80,39.90,201656
10-Jan-18,37.95,39.12,36.90,38.90,335886
9-Jan-18,40.50,40.95,37.80,37.90,404079
8-Jan-18,39.15,39.35,38.40,38.90,330345
5-Jan-18,38.80,39.12,38.55,39.10,108234
4-Jan-18,38.20,39.25,38.10,38.75,153820
3-Jan-18,38.10,38.30,37.10,38.10,247100
2-Jan-18,37.30,37.55,37.05,37.35,137249
29-Dec-17,37.60,37.60,37.20,37.25,132799
28-Dec-17,37.20,37.60,37.00,37.35,53997
27-Dec-17,37.00,37.55,36.75,37.15,95811
26-Dec-17,36.85,37.55,36.65,37.00,86026
22-Dec-17,37.15,37.20,36.70,36.80,63208
21-Dec-17,37.15,37.50,37.10,37.20,156111
20-Dec-17,36.50,37.15,36.20,36.95,69234
19-Dec-17,36.45,37.05,36.45,36.50,146172
18-Dec-17,35.60,36.85,34.27,36.40,312363
15-Dec-17,35.55,36.32,34.90,35.35,816024
14-Dec-17,36.75,36.75,35.35,35.45,336592
13-Dec-17,36.40,37.00,36.40,36.70,99659
12-Dec-17,36.55,36.86,36.35,36.40,113802
11-Dec-17,36.75,37.50,36.45,36.50,109448
8-Dec-17,36.75,37.20,36.60,36.60,120480
7-Dec-17,36.90,37.85,36.70,36.75,203074
6-Dec-17,37.05,37.50,36.72,37.00,179819
5-Dec-17,37.30,37.35,36.65,37.15,110142
4-Dec-17,38.30,38.60,37.18,37.30,130460
1-Dec-17,38.05,38.30,36.65,38.00,166575
30-Nov-17,38.55,38.70,37.82,37.95,195256
29-Nov-17,38.15,38.50,38.00,38.50,150831
28-Nov-17,37.80,38.30,37.65,38.10,132071
27-Nov-17,38.10,38.25,37.70,37.80,252876
24-Nov-17,37.95,38.20,37.65,38.15,46950
22-Nov-17,38.00,38.25,37.60,37.85,123305
21-Nov-17,37.35,38.10,37.25,38.00,242078
20-Nov-17,37.15,37.30,36.80,37.25,199145
17-Nov-17,37.00,37.40,36.68,37.12,145287
16-Nov-17,36.70,37.55,36.70,37.15,176668
15-Nov-17,36.75,36.80,36.25,36.60,188632
14-Nov-17,37.00,37.25,36.70,37.00,169908
13-Nov-17,37.15,37.35,36.65,37.20,205251
10-Nov-17,37.85,38.35,37.25,37.25,123208
9-Nov-17,37.90,38.50,37.65,37.90,166737
8-Nov-17,38.10,38.70,38.02,38.30,123538
7-Nov-17,38.60,38.90,37.95,38.25,187741
6-Nov-17,39.25,39.40,38.35,38.65,146925
3-Nov-17,39.20,39.60,39.20,39.35,139736
2-Nov-17,39.60,39.80,39.10,39.35,171852
1-Nov-17,39.25,39.80,39.00,39.70,213345
31-Oct-17,38.40,39.68,38.40,39.30,286587
30-Oct-17,37.10,38.60,37.00,38.40,260692
27-Oct-17,37.00,37.15,36.45,36.90,249587
26-Oct-17,36.35,37.80,36.10,36.90,272174
25-Oct-17,36.65,37.10,35.90,36.25,144220
24-Oct-17,36.25,37.00,36.00,36.65,212372
23-Oct-17,36.10,36.10,35.55,36.00,152475
20-Oct-17,36.35,36.55,36.00,36.25,178967
19-Oct-17,36.15,36.35,35.45,36.00,170338
18-Oct-17,36.85,37.00,36.32,36.40,145238
17-Oct-17,37.45,37.65,36.75,36.85,122240
16-Oct-17,37.65,37.70,37.00,37.60,124053
13-Oct-17,37.35,37.65,37.20,37.55,117943
12-Oct-17,37.05,37.60,37.00,37.20,157027
11-Oct-17,37.05,37.65,37.00,37.10,126915
10-Oct-17,36.80,37.35,36.10,37.20,153151
9-Oct-17,36.55,36.91,36.50,36.65,130401
6-Oct-17,36.55,37.05,36.42,36.65,207071
5-Oct-17,36.90,37.00,36.15,36.80,259396
4-Oct-17,36.05,39.85,35.70,36.55,759842
3-Oct-17,35.80,36.00,35.10,35.85,165764
2-Oct-17,34.10,35.60,34.10,35.55,158887
29-Sep-17,34.70,34.75,34.10,34.15,351370
28-Sep-17,35.00,35.60,34.20,34.65,343765
27-Sep-17,34.35,35.18,34.35,34.85,466657
26-Sep-17,33.75,34.45,33.65,34.20,306621
25-Sep-17,33.95,34.18,33.30,33.60,280484
22-Sep-17,32.85,34.40,32.54,34.05,418216
21-Sep-17,32.40,33.15,32.32,32.55,318392
20-Sep-17,31.20,32.50,31.20,32.45,322724
19-Sep-17,31.30,31.50,31.15,31.25,358827
18-Sep-17,31.05,31.65,30.80,31.20,722752
15-Sep-17,30.80,31.05,30.80,31.05,537262
14-Sep-17,31.00,31.40,30.85,31.00,428227
13-Sep-17,30.80,31.28,30.80,31.15,356915
12-Sep-17,30.95,31.30,30.70,30.95,570890
11-Sep-17,30.65,31.00,30.35,30.75,196112
8-Sep-17,32.25,32.25,30.30,30.50,390434
7-Sep-17,31.15,31.45,30.85,31.25,367448
6-Sep-17,30.75,31.25,30.55,31.15,302036
5-Sep-17,31.10,31.10,30.50,30.70,272334
1-Sep-17,30.45,31.05,30.45,31.05,150841
31-Aug-17,30.25,30.75,30.20,30.40,274115
30-Aug-17,31.05,31.05,30.15,30.15,353172
29-Aug-17,30.70,31.05,29.90,30.90,255245
28-Aug-17,31.15,31.45,30.55,30.80,335843
25-Aug-17,32.25,32.25,30.60,31.00,389188
24-Aug-17,30.60,30.65,30.25,30.55,345757
23-Aug-17,29.85,30.62,29.60,30.55,565436
22-Aug-17,29.60,30.08,29.35,29.85,352800
21-Aug-17,29.30,30.30,29.30,29.40,702458
18-Aug-17,28.40,29.75,28.40,29.55,585159
17-Aug-17,28.10,28.80,27.95,28.65,527220
16-Aug-17,28.55,28.60,28.05,28.10,223843
15-Aug-17,28.65,29.00,27.95,28.35,535994
14-Aug-17,28.45,30.10,28.10,28.80,717116
11-Aug-17,27.15,27.50,26.10,26.85,378213
10-Aug-17,26.25,27.05,26.25,27.00,362033
9-Aug-17,26.20,26.55,26.00,26.45,238006
8-Aug-17,26.15,26.65,26.05,26.30,230087
7-Aug-17,26.70,27.05,26.10,26.15,176104
4-Aug-17,26.25,26.95,26.10,26.75,201925
3-Aug-17,26.30,26.48,26.05,26.25,261346
2-Aug-17,26.35,26.85,26.20,26.25,195777
1-Aug-17,26.35,26.52,26.00,26.25,252066
31-Jul-17,27.50,27.90,26.00,26.30,566195
28-Jul-17,25.80,28.10,25.78,27.45,1008072
27-Jul-17,26.10,26.10,25.25,25.95,498830
26-Jul-17,25.25,26.05,25.15,26.00,579441
25-Jul-17,25.95,25.95,25.10,25.15,397526
24-Jul-17,26.35,26.35,25.65,25.75,482904
21-Jul-17,26.05,27.00,25.90,26.62,535134
20-Jul-17,26.40,26.75,25.00,25.90,1394045
19-Jul-17,30.95,31.15,30.75,31.10,131168
18-Jul-17,30.90,31.10,30.60,31.00,122620
17-Jul-17,30.65,31.39,30.55,31.05,215487
14-Jul-17,30.80,31.20,30.75,30.80,114586
13-Jul-17,30.90,31.10,30.60,30.90,113756
12-Jul-17,30.65,31.25,30.60,31.05,210260
11-Jul-17,30.50,31.20,30.45,30.70,188473
10-Jul-17,30.50,30.80,30.25,30.40,143172
7-Jul-17,30.15,30.70,30.05,30.60,143558
6-Jul-17,30.95,31.10,30.05,30.20,323929
5-Jul-17,32.15,32.30,30.65,31.10,315055
3-Jul-17,32.05,32.45,31.75,32.25,150825
30-Jun-17,29.45,32.05,29.45,32.00,581579
29-Jun-17,28.40,30.00,27.55,29.35,1229493
28-Jun-17,27.60,28.65,27.60,28.30,640004
27-Jun-17,28.50,28.60,27.45,27.50,342895
26-Jun-17,28.80,29.05,28.35,28.55,344972
23-Jun-17,28.65,28.90,28.25,28.70,1338327
22-Jun-17,28.55,28.85,28.48,28.55,178030
21-Jun-17,29.05,29.10,28.35,28.50,207089
20-Jun-17,29.20,29.20,28.80,29.00,157235
19-Jun-17,29.15,29.35,28.90,29.20,130612
16-Jun-17,28.95,29.15,28.20,29.00,300538
15-Jun-17,29.40,29.60,28.60,29.20,196860
14-Jun-17,29.50,29.80,29.25,29.75,226525
13-Jun-17,29.25,29.80,28.68,29.35,203030
12-Jun-17,29.30,29.75,28.75,29.25,206061
9-Jun-17,29.50,29.70,29.20,29.30,247311
8-Jun-17,29.00,29.60,28.90,29.25,162104
7-Jun-17,29.15,29.50,28.90,28.95,106331
6-Jun-17,29.25,29.40,28.93,29.15,166785
5-Jun-17,30.15,30.20,29.35,29.45,126718
2-Jun-17,29.60,30.50,29.50,30.05,212749
1-Jun-17,29.35,30.10,29.25,29.55,194789
31-May-17,29.35,29.47,28.90,29.30,147348
30-May-17,29.00,29.40,28.85,29.30,106059
26-May-17,29.20,29.22,28.85,29.10,87439
25-May-17,29.50,29.55,29.10,29.25,78202
24-May-17,29.95,30.05,29.30,29.40,149162
23-May-17,29.25,30.05,29.15,29.85,216898
22-May-17,28.75,29.10,28.45,29.10,167755
19-May-17,28.15,28.85,28.15,28.60,168572
18-May-17,29.05,29.15,28.05,28.20,189901
17-May-17,29.65,29.65,29.10,29.15,204404
16-May-17,30.00,30.10,29.64,30.10,112605
15-May-17,29.80,30.31,29.75,29.80,87528
12-May-17,30.00,30.05,29.50,29.65,113262
11-May-17,30.25,30.35,29.70,30.05,91706
10-May-17,30.00,30.45,29.85,30.40,107680
9-May-17,30.05,30.40,29.85,30.05,124659
8-May-17,30.30,30.60,29.95,30.05,239351
5-May-17,31.15,31.35,30.35,30.40,215499
4-May-17,31.05,31.05,30.65,30.95,130566
3-May-17,31.10,31.10,30.60,30.80,91785
2-May-17,31.50,31.50,31.00,31.30,149496
1-May-17,31.80,31.90,31.15,31.40,164688
28-Apr-17,32.00,32.00,31.25,31.65,185940
27-Apr-17,31.75,32.15,31.65,31.90,132439
26-Apr-17,31.20,31.90,30.95,31.65,325119
25-Apr-17,30.80,31.50,30.80,31.25,264270
24-Apr-17,30.55,30.95,30.25,30.55,226256
21-Apr-17,30.10,30.25,29.80,29.95,175470
20-Apr-17,29.90,30.30,29.55,30.10,290107
19-Apr-17,29.70,29.95,29.52,29.75,124185
18-Apr-17,29.15,29.65,29.00,29.50,168543
17-Apr-17,29.80,30.05,28.95,29.30,200616
13-Apr-17,29.75,29.95,29.60,29.75,275190
12-Apr-17,30.10,30.10,29.45,29.80,291652
11-Apr-17,29.20,30.25,29.20,30.20,294211
10-Apr-17,29.60,29.95,29.35,29.60,182618
7-Apr-17,30.35,30.45,29.65,29.65,289583
6-Apr-17,29.75,30.68,29.50,30.35,419145
5-Apr-17,31.90,32.85,29.60,29.65,593861
4-Apr-17,29.95,30.20,29.59,30.00,603555
3-Apr-17,31.65,31.65,30.05,30.10,332589
31-Mar-17,31.10,31.85,30.95,31.45,545340
30-Mar-17,30.85,32.95,30.75,31.05,273157
29-Mar-17,31.05,31.25,30.70,30.80,256043
28-Mar-17,30.95,31.45,30.45,31.15,240464
27-Mar-17,30.25,31.20,30.20,31.10,182676
24-Mar-17,31.10,31.35,30.40,30.80,152669
23-Mar-17,30.90,31.12,30.80,31.05,175019
