Date,Open,High,Low,Close,Volume
28-Feb-18,50.35,50.72,49.26,49.32,62029
27-Feb-18,51.21,51.92,50.23,50.24,33571
26-Feb-18,51.33,51.44,50.90,51.30,14531
23-Feb-18,50.64,51.17,50.39,51.17,31232
22-Feb-18,51.31,51.31,50.33,50.33,29829
21-Feb-18,50.47,51.85,50.47,51.09,22549
20-Feb-18,51.15,51.52,50.27,50.48,68979
16-Feb-18,50.84,51.65,50.84,51.44,37177
15-Feb-18,50.77,50.98,50.30,50.86,39167
14-Feb-18,49.21,50.45,49.21,50.33,30123
13-Feb-18,49.28,49.99,49.28,49.59,24450
12-Feb-18,49.63,50.07,48.80,49.50,49328
9-Feb-18,49.54,50.05,48.81,49.57,84683
8-Feb-18,49.87,50.09,48.53,48.95,56861
7-Feb-18,49.39,50.02,49.32,49.78,113908
6-Feb-18,48.99,50.73,48.26,49.55,93793
5-Feb-18,51.35,52.12,49.81,49.81,39422
2-Feb-18,52.26,52.65,51.90,51.93,49789
1-Feb-18,52.10,52.88,51.66,52.78,29774
31-Jan-18,52.48,52.96,52.16,52.29,55448
30-Jan-18,52.05,52.52,51.84,52.22,58850
29-Jan-18,52.04,52.62,51.25,52.27,32518
26-Jan-18,52.50,52.50,51.88,52.20,57337
25-Jan-18,53.39,53.39,52.36,52.52,80656
24-Jan-18,54.00,54.00,52.90,52.98,64578
23-Jan-18,53.45,53.98,53.20,53.78,43704
22-Jan-18,53.01,53.44,52.62,53.34,56302
19-Jan-18,52.33,53.71,52.33,53.14,107404
18-Jan-18,52.03,52.61,51.59,52.00,47319
17-Jan-18,51.68,53.73,51.14,52.19,28029
16-Jan-18,52.50,52.96,51.25,51.40,30579
12-Jan-18,52.10,52.65,51.86,52.24,36886
11-Jan-18,51.25,52.16,51.25,52.00,23885
10-Jan-18,50.23,51.53,50.01,50.96,38049
9-Jan-18,50.09,51.13,49.98,50.48,28083
8-Jan-18,50.20,50.20,49.71,49.95,38786
5-Jan-18,49.89,50.40,49.63,50.40,45985
4-Jan-18,49.75,50.33,49.56,49.76,48948
3-Jan-18,49.57,49.99,49.42,49.56,52939
2-Jan-18,49.75,50.31,49.31,49.63,82069
29-Dec-17,50.14,50.31,49.43,49.45,45572
28-Dec-17,49.92,50.40,49.80,50.13,24201
27-Dec-17,49.73,50.53,49.73,49.90,66847
26-Dec-17,50.01,50.16,49.71,49.83,42522
22-Dec-17,50.46,50.46,49.85,50.09,30540
21-Dec-17,50.11,50.87,49.83,50.41,29957
20-Dec-17,50.20,50.58,49.96,50.04,36043
19-Dec-17,50.54,50.88,49.92,50.02,46478
18-Dec-17,50.67,51.80,50.20,50.45,57612
15-Dec-17,49.29,50.72,48.25,50.30,162425
14-Dec-17,50.27,50.48,49.05,49.31,25101
13-Dec-17,50.24,50.95,49.80,50.09,48265
12-Dec-17,50.09,50.61,49.43,50.14,24455
11-Dec-17,50.69,50.86,49.87,49.97,26367
8-Dec-17,50.98,52.20,50.61,50.72,60590
7-Dec-17,50.78,51.51,50.50,50.73,25021
6-Dec-17,50.74,51.74,50.58,50.85,46806
5-Dec-17,52.46,52.46,50.95,50.95,33107
4-Dec-17,52.23,52.84,51.64,52.29,76141
1-Dec-17,51.43,51.93,50.03,51.64,47439
30-Nov-17,53.25,53.25,51.16,51.45,88268
29-Nov-17,51.57,53.29,51.07,52.94,74129
28-Nov-17,50.22,51.42,50.00,51.32,77276
27-Nov-17,49.91,50.70,49.91,50.15,26853
24-Nov-17,50.44,50.44,49.87,50.03,20349
22-Nov-17,50.72,50.76,50.16,50.25,40276
21-Nov-17,50.48,50.91,50.34,50.64,50730
20-Nov-17,49.87,50.33,49.18,50.29,36048
17-Nov-17,49.27,50.12,49.27,49.88,35567
16-Nov-17,49.82,50.31,49.41,49.56,67779
15-Nov-17,48.94,49.99,48.94,49.57,47923
14-Nov-17,48.34,49.53,48.26,49.36,53098
13-Nov-17,47.76,48.82,47.69,48.67,35636
10-Nov-17,47.87,49.65,47.39,48.04,31973
9-Nov-17,47.59,49.05,47.45,47.89,100006
8-Nov-17,48.89,48.89,47.16,47.87,153859
7-Nov-17,50.67,50.87,49.11,49.16,27726
6-Nov-17,50.85,50.93,50.52,50.69,19375
3-Nov-17,51.37,51.37,50.61,50.86,29870
2-Nov-17,50.72,51.64,50.34,51.48,35155
1-Nov-17,51.54,51.64,50.43,50.73,24571
31-Oct-17,51.35,51.82,51.13,51.31,45161
30-Oct-17,52.52,52.52,51.14,51.35,69889
27-Oct-17,52.25,53.02,52.09,52.82,46810
26-Oct-17,52.09,52.53,51.87,52.24,28940
25-Oct-17,52.31,52.34,51.51,51.92,68102
24-Oct-17,52.51,52.78,52.00,52.28,99250
23-Oct-17,52.56,52.67,51.97,52.16,60365
20-Oct-17,52.99,52.99,51.80,52.20,103700
19-Oct-17,51.89,52.34,50.03,52.17,41560
18-Oct-17,52.12,52.40,51.71,52.17,25822
17-Oct-17,52.47,52.47,51.59,51.74,34822
16-Oct-17,52.11,52.83,51.96,52.20,32547
13-Oct-17,52.59,52.96,52.06,52.14,79700
12-Oct-17,52.72,52.77,52.36,52.67,83255
11-Oct-17,52.09,52.61,51.89,52.60,72748
10-Oct-17,51.43,52.09,51.43,52.08,58917
9-Oct-17,51.13,51.71,50.76,51.12,32064
