Date,Open,High,Low,Close,Volume
28-Feb-18,1.94,1.94,1.82,1.86,93419
27-Feb-18,1.93,2.00,1.86,1.91,137670
26-Feb-18,1.93,1.93,1.87,1.90,66632
23-Feb-18,1.89,1.94,1.87,1.92,80870
22-Feb-18,1.89,1.90,1.89,1.90,19902
21-Feb-18,1.86,1.89,1.86,1.88,12882
20-Feb-18,1.82,1.88,1.82,1.87,58013
16-Feb-18,1.80,1.80,1.76,1.78,22491
15-Feb-18,1.82,1.82,1.77,1.80,22337
14-Feb-18,1.81,1.83,1.79,1.82,17604
13-Feb-18,1.71,1.83,1.68,1.80,205786
12-Feb-18,1.75,1.76,1.70,1.71,81748
9-Feb-18,1.75,1.80,1.73,1.73,206071
8-Feb-18,1.80,1.80,1.75,1.75,143541
7-Feb-18,1.82,1.86,1.80,1.82,85831
6-Feb-18,1.78,1.84,1.75,1.82,241656
5-Feb-18,1.84,1.88,1.79,1.79,99494
2-Feb-18,1.88,1.91,1.86,1.87,95615
1-Feb-18,1.99,1.99,1.83,1.88,149988
31-Jan-18,1.96,2.00,1.96,1.99,125309
30-Jan-18,1.98,2.01,1.94,1.97,234865
29-Jan-18,2.02,2.03,2.00,2.01,314252
26-Jan-18,2.04,2.04,2.01,2.03,55942
25-Jan-18,2.04,2.04,2.03,2.04,25695
24-Jan-18,2.04,2.06,2.03,2.04,188403
23-Jan-18,2.08,2.08,2.04,2.05,82958
22-Jan-18,2.12,2.14,2.05,2.08,137223
19-Jan-18,2.14,2.14,2.06,2.12,114054
18-Jan-18,2.14,2.15,2.12,2.14,215241
17-Jan-18,2.14,2.14,2.12,2.12,65967
16-Jan-18,2.13,2.14,2.12,2.14,59577
12-Jan-18,2.12,2.14,2.10,2.10,62242
11-Jan-18,2.05,2.12,2.04,2.11,84351
10-Jan-18,2.19,2.19,2.00,2.05,287099
9-Jan-18,2.04,2.24,2.03,2.19,987775
8-Jan-18,2.05,2.05,2.03,2.04,65348
5-Jan-18,2.05,2.05,2.02,2.03,83585
4-Jan-18,2.02,2.05,2.02,2.04,62743
3-Jan-18,2.05,2.05,2.02,2.05,107100
2-Jan-18,2.00,2.05,2.00,2.04,79823
29-Dec-17,2.03,2.04,1.97,1.97,158914
28-Dec-17,2.02,2.04,2.02,2.02,88392
27-Dec-17,2.02,2.03,2.02,2.03,67025
26-Dec-17,2.04,2.04,2.02,2.03,67898
22-Dec-17,2.02,2.04,2.02,2.04,38403
21-Dec-17,2.02,2.04,2.02,2.02,48472
20-Dec-17,2.05,2.05,2.02,2.02,46905
19-Dec-17,2.04,2.05,2.02,2.03,86645
18-Dec-17,2.00,2.03,1.99,2.03,100757
15-Dec-17,1.99,2.00,1.97,1.98,55274
14-Dec-17,2.01,2.01,1.96,1.99,34755
13-Dec-17,2.00,2.00,1.96,1.98,45971
12-Dec-17,1.99,2.00,1.96,1.96,49318
11-Dec-17,1.98,2.02,1.98,2.00,142470
8-Dec-17,2.00,2.01,1.98,1.98,85369
7-Dec-17,2.02,2.02,1.96,2.00,290701
6-Dec-17,2.00,2.05,1.99,2.00,51222
5-Dec-17,2.02,2.03,1.98,2.00,109412
4-Dec-17,2.05,2.05,2.00,2.04,64550
1-Dec-17,2.04,2.05,1.92,2.02,199946
30-Nov-17,2.05,2.07,2.01,2.04,281770
29-Nov-17,2.03,2.05,2.02,2.04,105464
28-Nov-17,2.02,2.03,1.99,2.03,107837
27-Nov-17,2.06,2.09,2.03,2.03,71641
24-Nov-17,2.05,2.10,2.05,2.06,39090
22-Nov-17,2.12,2.12,2.06,2.07,26122
21-Nov-17,2.05,2.14,2.04,2.10,169794
20-Nov-17,2.02,2.13,2.02,2.06,163417
17-Nov-17,2.02,2.06,2.02,2.03,49236
16-Nov-17,2.03,2.05,2.02,2.05,48591
15-Nov-17,2.09,2.09,2.00,2.03,125727
14-Nov-17,2.07,2.13,2.04,2.06,233020
13-Nov-17,2.05,2.08,2.03,2.05,207292
10-Nov-17,2.03,2.08,1.95,2.04,70207
9-Nov-17,2.00,2.00,1.93,2.00,85923
8-Nov-17,2.03,2.04,1.93,1.97,80919
7-Nov-17,2.05,2.06,1.98,2.00,192468
6-Nov-17,2.05,2.06,2.02,2.06,106205
3-Nov-17,2.06,2.07,2.03,2.05,58534
2-Nov-17,1.92,2.07,1.88,2.03,197212
1-Nov-17,1.92,1.92,1.88,1.88,92148
31-Oct-17,1.83,1.95,1.82,1.89,111104
30-Oct-17,1.84,1.84,1.82,1.83,98432
27-Oct-17,1.87,1.88,1.83,1.84,589611
26-Oct-17,1.92,2.00,1.86,1.88,38848
25-Oct-17,1.90,1.99,1.89,1.89,43170
24-Oct-17,2.00,2.02,1.93,1.95,27101
23-Oct-17,2.10,2.14,1.95,1.99,87575
20-Oct-17,1.99,2.08,1.95,2.08,178226
19-Oct-17,1.85,2.00,1.85,1.97,103011
18-Oct-17,1.95,1.97,1.87,1.88,56458
17-Oct-17,2.02,2.08,1.90,1.92,73915
16-Oct-17,1.95,2.08,1.81,2.00,163375
13-Oct-17,2.07,2.11,1.95,2.00,214221
12-Oct-17,2.29,2.45,2.01,2.06,882821
11-Oct-17,1.95,2.23,1.89,2.23,561892
10-Oct-17,1.82,1.87,1.82,1.87,196865
9-Oct-17,1.78,1.83,1.76,1.83,118569
6-Oct-17,1.79,1.80,1.75,1.75,82330
5-Oct-17,1.74,1.80,1.73,1.78,258298
4-Oct-17,1.74,1.74,1.71,1.74,21234
3-Oct-17,1.74,1.74,1.68,1.73,28301
2-Oct-17,1.71,1.75,1.66,1.73,45025
29-Sep-17,1.72,1.75,1.70,1.74,72739
28-Sep-17,1.74,1.75,1.67,1.73,120214
27-Sep-17,1.70,1.74,1.65,1.74,47166
26-Sep-17,1.71,1.72,1.68,1.68,48025
25-Sep-17,1.68,1.71,1.68,1.70,56388
22-Sep-17,1.69,1.69,1.66,1.68,30989
21-Sep-17,1.69,1.70,1.67,1.68,27433
20-Sep-17,1.64,1.69,1.64,1.69,20789
19-Sep-17,1.62,1.64,1.62,1.64,15976
18-Sep-17,1.66,1.66,1.62,1.64,31152
15-Sep-17,1.67,1.68,1.65,1.66,20154
14-Sep-17,1.65,1.67,1.65,1.67,10911
13-Sep-17,1.67,1.68,1.64,1.66,12698
12-Sep-17,1.68,1.68,1.65,1.67,194274
11-Sep-17,1.62,1.67,1.62,1.65,88071
8-Sep-17,1.62,1.64,1.60,1.62,31041
7-Sep-17,1.62,1.67,1.62,1.63,116753
6-Sep-17,1.63,1.65,1.61,1.63,71163
5-Sep-17,1.64,1.65,1.60,1.64,59905
1-Sep-17,1.62,1.64,1.61,1.64,36899
31-Aug-17,1.63,1.65,1.60,1.65,47812
30-Aug-17,1.61,1.63,1.59,1.63,32259
29-Aug-17,1.62,1.64,1.60,1.61,12883
28-Aug-17,1.60,1.65,1.60,1.62,34508
25-Aug-17,1.62,1.64,1.60,1.62,94731
24-Aug-17,1.59,1.65,1.57,1.60,53531
23-Aug-17,1.58,1.61,1.58,1.59,55890
22-Aug-17,1.57,1.59,1.53,1.58,25644
21-Aug-17,1.58,1.60,1.56,1.58,37871
18-Aug-17,1.52,1.61,1.51,1.60,58115
17-Aug-17,1.61,1.62,1.56,1.60,33076
16-Aug-17,1.55,1.62,1.55,1.61,96021
15-Aug-17,1.58,1.61,1.55,1.56,50661
14-Aug-17,1.52,1.63,1.52,1.58,48537
11-Aug-17,1.55,1.56,1.46,1.51,134894
10-Aug-17,1.58,1.60,1.56,1.57,24603
9-Aug-17,1.61,1.63,1.56,1.62,42150
8-Aug-17,1.63,1.64,1.58,1.63,68374
7-Aug-17,1.68,1.68,1.62,1.64,34356
4-Aug-17,1.71,1.72,1.67,1.69,71386
3-Aug-17,1.68,1.72,1.65,1.67,123626
2-Aug-17,1.60,1.68,1.56,1.65,256016
1-Aug-17,1.60,1.62,1.57,1.60,44480
31-Jul-17,1.57,1.60,1.57,1.60,20740
28-Jul-17,1.57,1.60,1.57,1.58,24847
27-Jul-17,1.60,1.61,1.58,1.60,12407
26-Jul-17,1.56,1.61,1.56,1.57,41752
25-Jul-17,1.57,1.60,1.56,1.57,20228
24-Jul-17,1.61,1.61,1.56,1.58,29160
21-Jul-17,1.58,1.62,1.57,1.57,56865
20-Jul-17,1.59,1.62,1.57,1.61,106353
19-Jul-17,1.60,1.63,1.59,1.61,61394
18-Jul-17,1.61,1.62,1.59,1.62,85558
17-Jul-17,1.61,1.62,1.59,1.60,32596
14-Jul-17,1.62,1.63,1.60,1.61,75874
13-Jul-17,1.58,1.63,1.57,1.62,183465
12-Jul-17,1.60,1.60,1.56,1.57,61438
11-Jul-17,1.54,1.61,1.54,1.60,109750
10-Jul-17,1.59,1.63,1.50,1.60,135241
7-Jul-17,1.59,1.61,1.56,1.60,99406
6-Jul-17,1.63,1.63,1.59,1.60,71074
5-Jul-17,1.63,1.64,1.59,1.62,79675
3-Jul-17,1.64,1.64,1.58,1.63,35822
30-Jun-17,1.55,1.62,1.54,1.62,200737
29-Jun-17,1.55,1.57,1.53,1.57,33331
28-Jun-17,1.57,1.57,1.53,1.55,113620
27-Jun-17,1.57,1.57,1.53,1.57,93438
26-Jun-17,1.58,1.58,1.49,1.57,47912
23-Jun-17,1.55,1.55,1.48,1.55,57932
22-Jun-17,1.51,1.57,1.49,1.50,77893
21-Jun-17,1.50,1.51,1.49,1.49,46568
20-Jun-17,1.50,1.51,1.49,1.49,15231
19-Jun-17,1.50,1.50,1.47,1.50,20556
16-Jun-17,1.46,1.53,1.45,1.48,45467
15-Jun-17,1.55,1.55,1.46,1.47,57724
14-Jun-17,1.54,1.55,1.53,1.54,22753
13-Jun-17,1.55,1.56,1.54,1.55,67512
