Date,Open,High,Low,Close,Volume
28-Feb-18,84.09,86.73,82.63,82.78,564024
27-Feb-18,81.22,86.29,81.10,83.53,1271992
26-Feb-18,79.61,80.77,78.72,80.10,414324
23-Feb-18,78.58,79.21,77.42,79.10,289111
22-Feb-18,77.94,79.79,77.40,78.04,262879
21-Feb-18,76.33,79.41,76.30,77.42,719896
20-Feb-18,75.66,77.53,75.66,76.14,367990
16-Feb-18,75.86,77.25,75.01,75.94,267759
15-Feb-18,74.62,76.83,73.48,75.99,462684
14-Feb-18,71.87,74.31,71.75,73.74,423640
13-Feb-18,69.98,73.28,69.98,72.66,202743
12-Feb-18,69.45,71.45,68.49,70.42,224351
9-Feb-18,68.68,70.33,66.39,69.14,347238
8-Feb-18,69.92,70.86,68.03,68.06,279431
7-Feb-18,69.38,70.64,68.76,69.76,342789
6-Feb-18,67.23,69.93,66.70,69.43,517025
5-Feb-18,71.52,72.78,69.09,69.10,522583
2-Feb-18,73.08,73.95,72.30,72.50,266314
1-Feb-18,73.63,74.21,72.63,73.53,323651
31-Jan-18,75.62,76.50,74.00,74.27,267178
30-Jan-18,73.35,75.66,72.73,75.13,281380
29-Jan-18,75.46,75.73,73.74,73.82,226240
26-Jan-18,74.11,75.96,73.82,75.50,394058
25-Jan-18,73.61,74.43,72.23,73.54,303222
24-Jan-18,74.29,74.77,72.51,72.84,273808
23-Jan-18,73.96,75.80,73.71,73.76,338248
22-Jan-18,72.38,74.38,71.88,73.95,350559
19-Jan-18,70.89,72.65,70.89,72.38,433456
18-Jan-18,69.60,71.84,69.48,70.89,280876
17-Jan-18,69.37,69.61,68.63,69.47,429001
16-Jan-18,69.76,71.06,68.77,69.00,552240
12-Jan-18,67.97,69.47,66.61,69.32,390990
11-Jan-18,65.52,68.26,65.12,67.70,378548
10-Jan-18,64.41,65.44,64.15,65.42,235715
9-Jan-18,63.27,65.10,63.17,64.90,275352
8-Jan-18,63.45,63.99,62.56,63.36,373278
5-Jan-18,64.26,64.51,63.20,63.70,247169
4-Jan-18,63.64,64.33,63.60,64.17,216522
