Date,Open,High,Low,Close,Volume
28-Feb-18,7.51,7.75,7.48,7.63,255278
27-Feb-18,7.86,7.86,7.47,7.48,300570
26-Feb-18,7.99,8.06,7.78,7.91,321868
23-Feb-18,8.09,8.09,7.92,7.98,242092
22-Feb-18,8.20,8.20,8.03,8.03,478017
21-Feb-18,8.23,8.55,8.23,8.33,291327
20-Feb-18,8.11,8.20,8.07,8.17,358238
16-Feb-18,8.11,8.31,8.11,8.21,298660
15-Feb-18,8.16,8.24,8.03,8.15,190724
14-Feb-18,7.89,8.11,7.88,8.09,394327
13-Feb-18,7.93,7.97,7.77,7.87,216712
12-Feb-18,7.60,7.98,7.60,7.97,375406
9-Feb-18,7.71,7.87,7.35,7.53,707400
8-Feb-18,7.81,8.04,7.76,7.77,691431
7-Feb-18,8.13,8.28,7.76,7.77,402958
6-Feb-18,8.10,8.30,7.87,8.18,706837
5-Feb-18,8.47,8.47,8.21,8.25,590807
2-Feb-18,8.89,8.95,8.46,8.48,395661
1-Feb-18,9.00,9.12,8.92,8.95,403162
31-Jan-18,9.01,9.13,8.92,9.11,333634
30-Jan-18,9.15,9.15,8.82,8.93,368357
29-Jan-18,9.52,9.59,9.06,9.24,589631
26-Jan-18,8.83,9.57,8.78,9.47,1132685
25-Jan-18,8.72,8.83,8.68,8.79,245333
24-Jan-18,8.50,8.73,8.48,8.66,371131
23-Jan-18,8.62,8.76,8.47,8.60,442639
22-Jan-18,8.56,8.67,8.47,8.62,300383
19-Jan-18,8.50,8.64,8.33,8.57,406216
18-Jan-18,8.37,8.52,8.13,8.47,334827
17-Jan-18,8.27,8.50,8.01,8.42,704977
16-Jan-18,8.71,8.74,8.17,8.27,462864
12-Jan-18,8.88,8.97,8.64,8.67,240851
11-Jan-18,8.63,8.97,8.63,8.89,252537
10-Jan-18,8.73,8.87,8.50,8.69,436829
9-Jan-18,9.00,9.00,8.60,8.77,728304
8-Jan-18,9.16,9.20,9.01,9.14,540193
5-Jan-18,9.14,9.42,9.01,9.16,901209
4-Jan-18,9.00,9.12,8.67,8.97,1093821
3-Jan-18,8.47,9.00,8.38,9.00,1156545
