Date,Open,High,Low,Close,Volume
28-Feb-18,44.95,45.87,40.69,41.93,364650
27-Feb-18,45.10,45.34,43.45,43.54,231825
26-Feb-18,45.24,46.74,44.28,44.74,528406
23-Feb-18,42.43,42.94,40.82,42.91,294418
22-Feb-18,42.42,43.00,41.85,42.00,267938
21-Feb-18,42.74,43.53,41.93,42.01,263129
20-Feb-18,41.72,43.27,40.18,42.55,359372
16-Feb-18,42.34,42.75,41.70,41.97,152267
15-Feb-18,42.09,43.06,41.20,42.47,276494
14-Feb-18,41.15,42.14,40.63,41.59,311944
13-Feb-18,40.62,42.20,40.10,41.47,304090
12-Feb-18,39.38,41.36,37.15,40.98,269615
9-Feb-18,39.66,40.07,37.02,39.23,298387
8-Feb-18,42.34,42.37,38.89,38.97,339350
7-Feb-18,40.95,42.44,40.92,41.87,290285
6-Feb-18,37.81,41.42,37.33,41.17,509284
5-Feb-18,40.38,41.29,38.55,38.92,426027
2-Feb-18,41.16,42.00,40.62,40.81,205453
1-Feb-18,41.43,42.81,40.59,41.71,339629
31-Jan-18,43.34,43.60,41.49,41.51,227269
30-Jan-18,43.11,44.43,42.69,43.22,226980
29-Jan-18,44.03,44.88,43.95,44.20,283288
26-Jan-18,43.91,44.12,43.42,43.97,176872
25-Jan-18,43.75,44.73,42.96,43.82,309471
24-Jan-18,44.57,44.57,42.26,43.03,303100
23-Jan-18,44.63,45.13,43.79,44.50,453803
22-Jan-18,43.06,45.06,42.61,44.50,355641
19-Jan-18,42.29,43.41,41.56,43.04,197438
18-Jan-18,45.17,45.17,42.25,42.35,273984
17-Jan-18,45.94,46.93,44.72,44.99,378547
16-Jan-18,45.15,46.54,44.93,45.02,350651
12-Jan-18,43.80,45.52,43.35,45.12,666831
11-Jan-18,44.01,44.65,43.65,43.91,258553
10-Jan-18,43.27,44.08,42.66,44.01,274843
9-Jan-18,42.48,44.12,41.84,43.80,486583
8-Jan-18,42.28,42.41,40.57,42.02,487843
5-Jan-18,43.00,43.09,41.68,42.11,231542
4-Jan-18,44.65,44.65,42.72,42.94,332656
3-Jan-18,42.45,44.80,40.85,44.40,257566
2-Jan-18,42.85,43.01,41.95,42.66,237128
29-Dec-17,43.44,43.68,42.38,42.44,197250
28-Dec-17,43.23,43.49,42.42,43.29,175605
27-Dec-17,42.69,43.37,42.04,43.15,218304
26-Dec-17,42.19,43.19,41.46,42.78,364628
22-Dec-17,41.53,42.35,40.78,42.19,322136
21-Dec-17,38.43,42.81,38.18,41.68,621952
20-Dec-17,37.75,38.34,37.17,38.24,280241
19-Dec-17,37.22,37.75,36.56,37.06,332158
18-Dec-17,36.01,37.43,35.84,37.29,210470
15-Dec-17,36.10,36.10,35.39,35.92,1100623
14-Dec-17,37.60,38.04,35.59,36.00,278928
13-Dec-17,36.43,38.04,36.43,37.65,316620
12-Dec-17,35.92,36.79,35.66,36.40,363678
11-Dec-17,36.16,36.96,35.46,35.92,306654
8-Dec-17,35.35,35.78,35.20,35.68,203239
7-Dec-17,35.45,35.78,34.67,35.10,338407
6-Dec-17,34.86,35.99,34.41,35.85,263887
5-Dec-17,34.83,35.99,34.83,35.12,233987
4-Dec-17,35.96,36.39,34.50,34.81,344682
1-Dec-17,36.48,36.50,34.78,35.54,239760
30-Nov-17,35.05,36.81,34.78,36.49,310888
29-Nov-17,36.17,36.78,34.82,34.89,215111
28-Nov-17,36.96,36.96,35.58,36.12,214877
27-Nov-17,37.30,37.61,36.65,36.67,160512
24-Nov-17,36.79,37.52,36.21,37.18,82388
22-Nov-17,37.05,37.68,36.47,36.49,198016
21-Nov-17,37.89,38.01,36.81,36.90,163518
20-Nov-17,38.84,38.84,36.69,37.44,223787
17-Nov-17,36.70,38.86,36.70,38.71,284820
16-Nov-17,35.34,37.00,34.56,36.97,329114
15-Nov-17,34.05,35.96,34.05,35.34,368143
14-Nov-17,35.07,35.66,33.37,34.12,287426
13-Nov-17,34.63,35.57,34.63,35.02,199087
10-Nov-17,35.08,35.45,34.74,35.09,223776
9-Nov-17,35.72,36.06,34.92,35.14,187857
8-Nov-17,35.33,36.62,35.33,35.95,261093
7-Nov-17,38.00,38.65,34.49,35.23,466831
6-Nov-17,37.28,37.95,37.27,37.33,189203
3-Nov-17,36.96,37.76,36.73,37.04,376967
2-Nov-17,37.69,38.52,36.93,37.03,221480
1-Nov-17,39.40,39.42,37.56,37.83,211745
31-Oct-17,38.40,39.20,37.91,39.00,247110
30-Oct-17,38.09,39.61,37.32,38.33,266310
27-Oct-17,36.99,38.29,36.38,38.12,377360
26-Oct-17,36.67,37.36,36.01,36.77,503534
25-Oct-17,36.62,37.09,36.24,36.83,340722
24-Oct-17,36.58,37.44,36.49,36.85,285783
23-Oct-17,36.57,37.00,35.79,36.47,502587
20-Oct-17,37.59,37.59,36.20,36.57,434002
19-Oct-17,38.97,39.23,36.75,37.31,615068
18-Oct-17,39.06,39.33,38.86,39.20,194096
17-Oct-17,38.80,39.09,37.96,39.03,173949
16-Oct-17,39.04,39.86,37.67,38.01,207381
13-Oct-17,38.82,39.51,38.77,38.83,190662
12-Oct-17,39.08,39.21,38.58,38.88,358491
11-Oct-17,39.62,39.74,38.67,38.76,269709
10-Oct-17,38.82,39.68,38.59,39.49,202508
9-Oct-17,38.32,38.97,38.22,38.78,305048
6-Oct-17,38.43,39.04,37.53,38.15,771234
5-Oct-17,38.65,38.72,37.69,38.43,279061
4-Oct-17,37.69,38.52,37.49,38.30,239978
3-Oct-17,37.82,38.04,37.30,37.88,539714
2-Oct-17,37.45,37.95,36.88,37.81,1050217
29-Sep-17,35.75,37.53,35.43,37.32,757174
28-Sep-17,35.41,35.91,34.77,35.79,437019
27-Sep-17,35.22,36.10,35.22,35.28,452784
26-Sep-17,35.29,35.65,34.91,35.10,388974
25-Sep-17,34.60,35.31,34.43,34.92,526082
22-Sep-17,35.00,35.46,34.36,34.83,961324
21-Sep-17,36.75,36.75,34.75,35.05,4168416
20-Sep-17,38.92,39.66,37.64,37.73,617493
19-Sep-17,39.79,40.35,38.54,38.97,327377
18-Sep-17,40.01,40.35,39.04,39.38,351744
15-Sep-17,39.68,40.00,38.50,39.91,528858
14-Sep-17,39.84,40.25,39.55,39.90,494271
13-Sep-17,38.34,39.96,38.02,39.74,480191
12-Sep-17,39.75,40.00,37.76,38.09,688770
11-Sep-17,38.59,38.59,37.45,37.77,204535
8-Sep-17,38.38,38.97,37.71,37.94,144819
7-Sep-17,38.16,38.77,37.68,38.45,167070
6-Sep-17,38.70,39.12,37.11,38.14,267471
5-Sep-17,38.48,38.76,37.68,38.31,237509
1-Sep-17,38.76,39.15,37.73,38.69,329264
31-Aug-17,37.01,39.09,36.70,38.76,488078
30-Aug-17,36.52,37.17,36.39,36.75,392320
29-Aug-17,35.68,36.90,35.68,36.51,206778
28-Aug-17,35.40,36.91,35.01,36.27,266920
25-Aug-17,35.67,35.67,34.66,34.75,156540
24-Aug-17,34.41,35.75,34.25,35.72,223485
