Date,Open,High,Low,Close,Volume
25-Jan-18,36.10,36.20,35.85,36.05,176703
24-Jan-18,36.20,36.28,35.85,36.05,172717
23-Jan-18,36.30,36.30,35.90,36.05,152381
22-Jan-18,37.20,37.20,36.15,36.35,120090
19-Jan-18,36.10,37.30,36.05,37.30,184421
18-Jan-18,36.25,36.38,35.95,36.10,158004
17-Jan-18,36.30,36.48,35.95,36.30,177809
16-Jan-18,36.75,36.95,35.85,36.05,133183
12-Jan-18,36.40,36.68,35.25,36.55,223710
11-Jan-18,36.15,36.55,35.95,36.20,306497
10-Jan-18,36.90,37.25,36.00,36.10,305100
9-Jan-18,37.45,37.45,36.70,37.10,219132
8-Jan-18,37.95,38.15,37.30,37.45,220756
5-Jan-18,37.55,38.25,37.55,38.05,136225
4-Jan-18,37.70,38.00,37.00,37.45,230052
3-Jan-18,36.95,37.90,36.75,37.60,163574
2-Jan-18,36.95,37.05,36.65,36.95,151849
29-Dec-17,36.90,37.15,36.70,36.70,167379
28-Dec-17,36.70,36.85,35.80,36.80,123168
27-Dec-17,36.65,36.80,36.45,36.50,119393
26-Dec-17,36.70,36.95,36.30,36.60,143262
22-Dec-17,36.50,36.85,36.30,36.75,152123
21-Dec-17,36.05,36.65,35.95,36.50,117809
20-Dec-17,35.50,36.15,35.25,35.95,125522
19-Dec-17,36.00,36.05,35.30,35.35,102778
18-Dec-17,35.50,36.55,35.45,35.95,177133
15-Dec-17,34.65,35.30,34.65,35.20,718091
14-Dec-17,35.20,35.25,34.40,34.55,127312
13-Dec-17,34.85,35.60,34.85,35.15,142986
12-Dec-17,35.10,35.45,34.75,34.85,207181
11-Dec-17,35.75,35.80,34.85,35.05,147228
8-Dec-17,36.55,36.55,35.70,35.70,102565
7-Dec-17,36.15,36.80,36.15,36.25,136271
6-Dec-17,37.45,37.85,36.12,36.30,208441
5-Dec-17,37.50,38.10,37.30,37.55,253858
4-Dec-17,36.75,37.85,36.60,37.45,254633
1-Dec-17,36.45,36.45,34.80,36.35,175014
30-Nov-17,36.95,36.95,36.35,36.45,161961
29-Nov-17,35.85,36.86,35.85,36.75,127202
28-Nov-17,35.45,36.00,35.30,36.00,129357
27-Nov-17,35.80,35.85,35.20,35.25,101074
24-Nov-17,35.75,35.85,35.35,35.85,55450
22-Nov-17,35.75,35.85,35.38,35.70,90156
21-Nov-17,35.05,35.90,35.00,35.80,229381
20-Nov-17,34.55,35.00,34.50,34.95,114058
17-Nov-17,34.05,34.80,33.60,34.45,122757
16-Nov-17,34.10,35.11,33.90,34.25,205898
15-Nov-17,34.05,34.20,33.65,33.90,117771
14-Nov-17,33.65,34.45,33.45,34.30,122506
13-Nov-17,33.60,34.25,33.45,33.80,91582
10-Nov-17,33.25,34.15,33.25,33.80,134502
9-Nov-17,34.15,34.50,33.30,33.35,151438
8-Nov-17,34.50,35.25,34.10,34.40,104603
7-Nov-17,34.65,34.75,34.40,34.60,180383
6-Nov-17,34.50,34.75,34.25,34.70,107802
3-Nov-17,34.30,34.70,33.95,34.45,151794
2-Nov-17,34.30,34.76,34.15,34.35,139086
1-Nov-17,35.25,35.25,34.10,34.40,118289
31-Oct-17,34.50,35.40,34.50,35.00,183281
30-Oct-17,34.55,34.70,33.95,34.30,176796
27-Oct-17,34.80,35.15,34.50,34.80,101936
26-Oct-17,35.00,35.12,34.75,34.75,73151
25-Oct-17,35.15,35.52,34.45,34.90,117973
24-Oct-17,34.60,35.52,34.60,35.10,162305
23-Oct-17,34.55,35.70,34.35,34.65,120751
20-Oct-17,34.55,35.10,34.40,34.60,134106
19-Oct-17,34.05,34.27,33.80,34.20,96730
18-Oct-17,33.85,34.45,33.80,34.25,84206
17-Oct-17,34.20,34.40,33.65,33.75,76359
16-Oct-17,33.95,35.15,33.80,34.30,106172
13-Oct-17,34.15,34.45,33.75,33.85,183352
12-Oct-17,34.20,34.50,34.05,34.15,190054
11-Oct-17,34.75,35.00,34.10,34.25,164340
10-Oct-17,35.45,35.55,34.55,34.80,167612
9-Oct-17,35.45,35.75,33.04,35.40,111739
6-Oct-17,34.95,35.55,34.80,35.45,145263
5-Oct-17,35.40,35.40,34.95,35.15,102879
4-Oct-17,35.40,35.60,34.95,35.35,97247
3-Oct-17,35.20,35.50,34.75,35.45,151513
2-Oct-17,34.50,35.15,34.30,35.15,170185
29-Sep-17,34.90,35.00,34.40,34.48,238787
28-Sep-17,34.95,35.02,34.45,34.85,111536
27-Sep-17,33.90,35.20,33.80,34.95,156407
26-Sep-17,33.45,34.00,33.35,33.70,85716
25-Sep-17,33.25,33.50,33.05,33.40,86081
22-Sep-17,33.15,33.60,33.10,33.30,138343
21-Sep-17,33.55,33.70,33.20,33.35,135551
20-Sep-17,33.10,33.85,32.39,33.45,125866
19-Sep-17,33.15,33.20,32.90,33.20,104326
18-Sep-17,33.05,33.35,32.75,33.15,99377
15-Sep-17,32.70,33.00,32.40,32.95,314200
14-Sep-17,32.60,32.65,32.20,32.65,68424
13-Sep-17,31.95,32.80,31.90,32.60,129051
12-Sep-17,31.95,32.45,31.85,31.95,148170
11-Sep-17,32.00,32.18,31.75,31.90,119698
8-Sep-17,31.75,32.28,31.60,31.85,228282
7-Sep-17,32.75,32.75,31.80,31.85,126841
6-Sep-17,32.50,32.78,32.40,32.55,108256
5-Sep-17,32.65,33.00,32.30,32.35,105203
1-Sep-17,32.70,32.95,32.55,32.75,89868
31-Aug-17,32.40,32.90,32.35,32.60,96934
30-Aug-17,31.95,32.40,31.95,32.30,106856
29-Aug-17,31.80,32.20,31.60,32.00,127073
28-Aug-17,31.85,32.00,31.50,31.90,124527
25-Aug-17,31.85,32.05,31.45,31.80,81401
24-Aug-17,31.90,32.00,31.45,31.80,74328
23-Aug-17,32.15,32.15,31.75,31.85,67309
22-Aug-17,31.95,32.40,31.82,32.25,60146
21-Aug-17,31.70,31.95,31.35,31.70,158102
18-Aug-17,31.30,32.05,31.30,31.65,118746
17-Aug-17,32.25,32.45,31.52,31.65,180516
16-Aug-17,32.90,33.00,32.40,32.40,163084
15-Aug-17,33.80,33.95,32.68,32.70,96086
14-Aug-17,33.25,33.80,33.25,33.70,72868
11-Aug-17,33.55,33.70,33.05,33.10,111224
10-Aug-17,33.60,33.65,33.05,33.40,117644
9-Aug-17,34.75,34.75,33.65,33.80,142467
8-Aug-17,34.85,35.15,34.60,34.90,175956
7-Aug-17,35.10,35.45,34.40,34.95,220148
4-Aug-17,33.65,35.30,32.85,35.20,248511
3-Aug-17,33.40,33.80,29.95,33.70,688466
2-Aug-17,33.95,34.05,33.35,33.75,89116
